,gene_short_name,V515-06187-A1,TNT-53,TNT-6,17-00280-7_S4Aligned_cufflinks,TNT-49,TNT-177,TNT-304,17-00214-4_S8Aligned_cufflinks,17-00107-9_S10Aligned_cufflinks,TNT-288,TNT-152
0,ABCA8,1.07397,12.7482,9.6574,1.9610400000000001,46.919,9.29659,3.65161,11.9716,54.7654,10.8786,28.3027
1,ADRA2A,0.196819,0.09945930000000001,1.3579299999999999,0.330945,0.128019,0.268389,0.0,0.345093,2.2659,0.283499,0.562541
2,AKAP12,3.7524300000000004,2.72579,11.312000000000001,1.98968,3.20903,2.95332,1.8245099999999999,3.78327,17.232,16.0737,19.0715
3,ALDH3B2,34.613,0.586071,433.61300000000006,75.8959,9.3486,8.06703,1.69334,2.57587,1.86159,0.561817,134.872
4,APOD,101.54799999999999,108.63600000000001,13601.3,25.2137,473.105,139.493,171.87900000000002,26.8391,39.7176,110.571,3238.15
5,ART3,19.2103,384.85,0.0,0.025776499999999997,31.5205,4.00471,181.128,6.02904,0.0,3.3811199999999997,0.0
6,ASPN,31.1651,30.5316,106.78,12.2085,46.012,37.577,54.125,30.315,238.97400000000002,117.07,89.7133
7,AZGP1,64.9749,239.112,1632.76,140.03,53.7874,95.197,300.948,38.5871,22.0611,19.9515,678.875
8,BLVRB,6.57613,2.26478,17.4411,4.51035,0.257732,3.74146,4.18302,2.90951,3.8647,3.17771,9.51428
9,C7,0.29143,2.08852,3.8300199999999998,1.8111099999999998,3.14767,0.643378,1.8841599999999998,2.65029,2.4199599999999997,2.26989,41.1971
10,CCL5,1.03708,29.3619,5.02728,0.0,50.3871,7.50898,9.38296,0.0,0.0,1.4270200000000002,12.9609
11,CD36,36.5005,35.2486,52.468,13.3628,71.9816,57.821000000000005,40.2595,25.0631,34.8926,21.039,35.2708
12,CD52,5.15236,13.2733,20.3981,23.5318,92.3369,35.5903,85.9483,7.459810000000001,30.9282,1.79485,82.2545
13,CDC20,19.1111,16.9774,6.40956,8.15715,4.09511,29.8034,16.8101,13.8681,5.44464,35.8456,4.505269999999999
14,CHI3L1,52.4824,47.8151,0.854684,3.3229800000000003,14.0802,11.0398,5.51471,43.1058,9.49815,14.8201,0.786117
15,COL2A1,124.822,31.4125,0.407516,0.019504300000000002,26.9015,246.99099999999999,219.15099999999998,38.3583,0.12629100000000001,59.1868,0.0
16,COL5A1,145.37,57.393,210.775,44.028,37.8918,179.114,19.8955,117.96799999999999,413.834,299.16700000000003,108.13799999999999
17,COL5A2,202.313,62.0196,301.151,82.8314,53.004,152.07399999999998,47.714,94.7823,461.219,316.313,322.448
18,CRAT,3.09639,4.58664,270.69,24.1691,1.2801200000000001,0.280142,1.28039,9.62832,25.2676,6.107480000000001,31.2169
19,CROT,17.2031,3.7599699999999996,71.4203,15.8075,0.6217159999999999,10.992,4.937469999999999,4.8099300000000005,6.63046,10.527000000000001,26.5717
20,CXCL10,2.29941,1027.76,6.60035,50.6872,73.1395,36.2774,191.918,17.2238,2.41063,4.03918,11.4495
21,CXCL11,0.642556,117.484,0.934983,10.4707,12.7646,1.8448200000000001,27.7435,7.14727,0.0,1.12534,0.0
22,CXCL13,0.0413495,13.8145,1.54946,11.7207,61.183,0.0,38.1041,4.41918,10.4913,3.11947,15.7339
23,CYP4F8,0.048019099999999995,0.446875,30.0292,0.562419,0.0,2.7660400000000003,0.0,0.0,0.0,0.703976,15.6348
24,DBI,412.371,341.228,646.11,128.964,51.5853,138.371,151.89700000000002,68.0057,99.9534,91.1501,565.778
25,DEFB1,3.16262,1.69422,0.0,1.20338,0.0,0.0,3.25182,0.21700300000000003,0.0,0.348327,0.0
26,DHCR24,38.1374,20.8399,231.222,57.3044,31.3659,18.1352,9.19186,48.2115,10.5088,23.7835,94.5633
27,DUSP5,2.6614299999999997,4.52794,20.7856,1.67691,5.478680000000001,9.42159,0.5457,2.85197,14.5782,3.3292699999999997,2.4487099999999997
28,FABP7,2.25652,0.566084,461.68699999999995,2.61417,0.829984,9.038260000000001,18.7847,1.79528,0.0,20.3719,235.75900000000001
29,FASN,124.609,10.4043,619.2719999999999,284.185,37.1964,22.3397,2.77579,46.6293,45.8677,18.5795,218.648
30,FGFR4,2.32432,0.23045100000000002,23.8482,7.213310000000001,0.0,4.81442,0.0,1.46328,1.6992900000000002,3.6499900000000003,15.2911
31,FGL2,2.48121,5.875319999999999,2.74346,9.03129,7.103689999999999,3.7914,4.1749,3.71159,12.1398,2.4655,11.0158
32,FOXA1,1.38574,0.2382,193.55200000000002,166.25599999999997,23.1953,7.3197,2.8839599999999996,0.913379,22.1995,0.323396,26.0362
33,FOXC1,9.10755,34.1132,3.31141,1.5149299999999999,14.3622,108.721,23.4572,62.6473,9.456539999999999,73.7762,0.79214
34,GABRP,8.66089,837.778,0.739897,5.342890000000001,498.221,602.953,963.3739999999999,38.9273,16.6435,16.815,18.8446
35,GALNT7,12.4003,12.0992,166.072,58.7644,21.4797,5.39991,22.0505,22.3963,30.8292,5.88805,26.0401
36,GBP1,41.394,169.81099999999998,72.8056,101.148,257.26599999999996,153.465,130.41299999999998,330.43199999999996,81.1056,217.05700000000002,80.4756
37,GCHFR,0.42253100000000005,0.0,0.5545329999999999,0.7385430000000001,0.118621,0.0,0.0,0.469542,0.0,0.0,1.02698
38,GPR87,0.9514879999999999,0.6578970000000001,0.480814,0.14515,0.0,8.35425,11.4268,0.20525100000000002,0.0,0.8004439999999999,0.0
39,GZMB,1.4986,5.61985,0.835723,3.9882400000000002,7.11879,1.7166,2.90341,3.3492,1.17603,0.375847,0.0
40,HGD,4.21735,0.533701,22.4211,83.8595,0.0,0.0,0.424599,4.26171,0.0,1.9272200000000002,92.87100000000001
41,HTRA1,91.2943,18.0935,151.88,47.9654,33.8866,78.6975,30.6134,68.2334,226.924,82.3084,142.922
42,IDO1,0.29142399999999996,14.6102,3.83281,4.65914,0.588023,10.2732,6.730410000000001,22.6298,0.0,2.89899,0.843558
43,IGFBP4,13.3498,2.04998,6.3947,6.40402,3.3940099999999997,9.74421,0.532935,20.0795,63.5614,5.49812,7.366410000000001
44,IGHM,55.218999999999994,45.6794,37.4842,125.662,353.006,14.0452,58.2375,0.0,119.759,1.60124,329.702
45,IGJ,20.0186,140.38299999999998,13.2475,139.326,545.047,44.6267,358.417,94.8326,35.7426,4.11939,568.173
46,IGKC,182.34599999999998,503.449,532.116,1796.2,3743.13,102.77600000000001,2858.74,5541.41,1401.24,30.4239,12039.2
47,IL23A,0.049007300000000004,0.253118,0.130425,0.158848,0.890747,0.0,0.20618899999999998,0.0,0.0,0.195698,0.0
48,IL33,0.8833290000000001,0.556894,1.10622,0.668787,0.0,0.0,0.159485,0.15948800000000002,7.387639999999999,0.20175,9.99245
49,INPP4B,37.1722,7.195010000000001,45.7751,28.0165,34.4208,1.63841,7.3277,11.7989,18.2547,2.2043,40.6346
50,ITM2A,5.13433,12.1728,25.4941,17.5325,11.7709,0.0,14.73,2.32602,34.7873,7.76191,61.5291
51,JAM2,11.2143,4.91331,8.80717,25.3646,7.401839999999999,0.0,3.37066,4.97098,26.791999999999998,13.6999,14.2398
52,KCNK5,7.320460000000001,0.602485,0.0,0.34133600000000003,0.0,9.51881,0.620442,4.70967,0.0,1.51053,0.0
53,KIAA1324,6.46799,10.5274,151.768,106.109,21.4507,52.1132,17.9592,13.901,2.8806700000000003,33.3498,70.4997
