,gene_short_name,V515-06187-A1,TNT-115,TNT-71,TNT-49,TNT-297,TNT-56,TNT-16,TNT-166,17-00212-8_S3Aligned_cufflinks,17-00131-5_S8Aligned_cufflinks,17-00105-7_S10_cufflinks
0,ABCA8,1.07397,1.17188,12.9025,46.919,17.0174,53.5647,16.1221,8.041939999999999,10.9008,3.02603,15.2433
1,ADRA2A,0.196819,0.172526,0.12659700000000002,0.128019,0.223559,0.818513,1.7823,0.17244400000000001,0.804,0.42561099999999996,1.61281
2,AKAP12,3.7524300000000004,2.9281200000000003,3.09258,3.20903,31.1722,7.0299,14.6167,11.4176,6.45585,0.384289,20.4997
3,ALDH3B2,34.613,7.47531,24.6302,9.3486,0.0910294,2.74039,303.041,11.936,54.5406,15.5005,2.3132599999999996
4,APOD,101.54799999999999,39.9082,769.0139999999999,473.105,190.081,3331.85,3948.76,59.2515,1024.91,1.2395399999999999,82.3389
5,ART3,19.2103,121.99700000000001,47.9684,31.5205,22.3735,4.69583,0.0,20.1966,0.0878982,0.635686,0.37242600000000003
6,ASPN,31.1651,9.31432,21.4233,46.012,14.1299,27.5234,169.588,58.4273,191.273,2.46604,41.4929
7,AZGP1,64.9749,239.31900000000002,39.1429,53.7874,130.727,112.811,362.406,279.16200000000003,257.36400000000003,5.0511099999999995,5.05436
8,BLVRB,6.57613,3.141,2.8226,0.257732,2.3692900000000003,1.36521,6.560339999999999,3.27208,80.8059,2.44601,2.24939
9,C7,0.29143,1.27179,0.8062819999999999,3.14767,12.4278,9.02806,16.1138,1.81001,4.5721099999999995,0.593221,18.676
10,CCL5,1.03708,11.9906,7.98503,50.3871,2.5106599999999997,15.388,2.45249,2.824,5.79704,5.70474,5.25453
11,CD36,36.5005,12.2627,18.241,71.9816,12.2558,1102.89,33.7502,87.4212,59.1195,9.64332,26.3072
12,CD52,5.15236,76.2585,27.5781,92.3369,9.062439999999999,120.281,9.981489999999999,16.3847,31.8435,3.68263,2.1478599999999997
13,CDC20,19.1111,14.9562,7.511880000000001,4.09511,42.1959,15.8234,4.69409,15.1124,3.74191,8.15222,2.38084
