,gene_short_name,V515-06187-A1,TNT-201,TNT-177,TNT-322,17-00157-0_S11Aligned_cufflinks,TNT-313,TNT-311,17-00113-4_S11_cufflinks,TNT-152,TNT-45,17-00139-2_S9Aligned_cufflinks
61,LBP,0.573258,0.99451,4.68855,0.742749,2.2198900000000004,7.3772899999999995,0.15220699999999998,0.52182,44.4286,0.49678100000000003,1.8779
62,LHFP,2.0952,0.828257,0.100909,0.848601,1.74013,0.571099,0.938242,0.965126,10.9071,0.711071,0.5028779999999999
63,MFAP4,1.60954,5.27245,2.17422,0.9165989999999999,7.002680000000001,3.3160000000000003,2.46772,8.52027,15.2427,1.58376,0.451396
64,MIA,21.0747,9.45003,138.006,37.434,91.9118,29.0599,0.679179,5.36339,0.0,18.2909,0.9413440000000001
65,MID1,36.2366,69.4015,14.6245,25.2335,38.3648,13.7536,20.1731,19.5958,19.3272,26.6167,7.90995
66,MYBL1,4.603619999999999,42.8867,10.595999999999998,49.1399,14.6385,3.25228,35.6761,34.5411,2.0165,2.2844,74.6586
67,NEK2,17.1321,21.1913,77.8594,19.8866,9.50352,20.5716,26.2121,35.7282,2.07293,13.142000000000001,41.9777
68,NTN3,0.023557599999999998,0.0,0.0,0.0,0.0290064,0.0,0.0,0.0,0.0,0.0,0.0
69,OGN,1.27872,8.84056,16.3848,23.0471,8.20645,11.9837,19.2765,9.560789999999999,23.045,6.62343,2.70269
70,PI3,0.0,0.0,0.0,0.17783,1.08444,11.4592,0.104431,14.1712,0.0,39.2395,1.9945599999999999
71,PLEKHB1,14.583,4.582730000000001,3.74115,0.544358,5.81267,1.67582,0.0,1.27312,0.0,2.29668,0.203369
72,PMAIP1,1.6239299999999999,5.0563199999999995,0.0,5.091019999999999,1.60111,0.08315700000000001,4.56386,13.1758,0.0,1.8095400000000001,12.390999999999998
73,PSMB9,0.0,5.581869999999999,5.711130000000001,4.20788,9.59711,16.605999999999998,4.98019,0.0,13.2313,12.4823,0.0
74,PTGDS,1.49063,0.552674,2.28153,0.515843,8.94655,1.52534,0.644267,4.56134,4.11461,0.506409,1.11693
75,RARRES3,10.7933,16.6005,0.518451,4.93264,5.33786,18.192999999999998,11.1266,5.6112,83.1112,19.0444,6.2457
76,RTP4,0.772275,2.4659999999999997,0.0,3.03186,0.359175,0.515246,1.10953,3.38501,0.0,3.73465,1.01529
77,S100A1,196.638,58.3911,36.82,36.3341,43.4994,38.1213,2.51417,4.30015,0.0,3.91214,2.49971
78,S100A7,6.579160000000001,0.0,0.0,0.0,1.15754,22.1324,305.178,0.277898,6.7927800000000005,5.92037,0.849959
79,S100A8,3.4999599999999997,0.64226,0.0,0.869452,2.80385,77.2175,25.4144,5.84994,29.2772,35.7846,2.9412599999999998
80,SCRG1,23.221999999999998,26.926,6.31794,24.5745,5.63649,1.39991,2.59455,0.0855807,6.28695,2.241,0.0
81,SEMA3C,89.189,7.6334,38.0269,24.3407,113.926,19.0473,13.1071,31.7723,68.4341,66.4924,38.9655
82,SERHL2,5.02658,4.88326,11.314,6.08545,3.74914,0.238502,2.84307,1.81287,270.47900000000004,1.33335,4.63755
83,SFRP1,35.3095,44.181000000000004,4.2594,26.554000000000002,15.0663,14.1765,36.9399,1.9379099999999998,8.47137,21.9643,1.51994
84,SIDT1,0.9090090000000001,2.67896,0.0,1.7792599999999998,1.31951,3.7081800000000005,1.0950799999999998,1.03892,30.1822,3.27007,0.872016
85,SOX10,3.84721,4.45913,1.8337,2.17461,6.6931199999999995,0.290165,0.974734,1.62839,0.0,1.7930400000000002,0.24186300000000002
86,SPDEF,0.141878,1.48852,0.0,0.516921,0.09151419999999999,0.328509,0.13159,0.0,4.88874,0.33255100000000004,0.058434900000000005
87,SPRR1B,0.09447810000000001,1.12615,0.0,0.0,0.35722600000000004,0.0,0.0,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,55.1168,17.4346,35.8602,40.6082,27.6522,32.6182,37.4772,82.23200000000001,47.2347,24.144000000000002
