,gene_short_name,V515-06187-A1,TNT-82,TNT-100,17-00103-7_S3Aligned_cufflinks,TNT-98,17-00121-8_S12_cufflinks,17-00107-9_S10Aligned_cufflinks,17-00271-8_S16Aligned_cufflinks,TNT-217,TNT-201,TNT-81
52,KCNK5,7.320460000000001,1.02101,0.647269,0.8063140000000001,0.592298,0.897058,0.0,0.399446,0.535433,1.1265100000000001,1.13588
53,KIAA1324,6.46799,43.3188,22.5117,0.733045,18.4207,51.9074,2.8806700000000003,28.2916,8.98162,17.717,19.5404
54,KMO,1.44589,2.22004,4.03722,7.711989999999999,5.56081,0.307289,3.68603,11.095999999999998,11.5546,5.45015,3.92246
55,KRT14,118.37100000000001,4.04266,17.7406,0.0353425,10.8085,616.609,30.8586,111.476,0.375188,150.591,2.13292
56,KRT16,91.0343,47.1869,26.5273,0.109901,53.1245,44.915,68.4428,6.562539999999999,0.0,70.8838,20.101
57,KRT17,105.34700000000001,92.72399999999999,32.7619,888.039,24.3857,1050.05,48.4916,169.488,4.22886,169.791,46.0299
58,KRT6A,54.2242,80.6555,46.8005,14.0728,776.28,159.842,48.3622,26.0383,4.91217,13.4392,0.884666
59,KRT6B,86.6584,47.1176,77.5874,25.4113,46.1464,109.40100000000001,20.933000000000003,11.7636,0.0,14.2342,5.002669999999999
60,KYNU,14.7879,5.72783,8.12335,14.0936,34.9034,10.171,2.84132,91.1552,16.5639,2.62625,5.33408
61,LBP,0.573258,1.98815,0.0556399,18.0162,6.07525,0.029158999999999997,0.0,30.34,1.05449,0.99451,0.150571
62,LHFP,2.0952,0.48752700000000004,1.13224,1.44218,0.42182200000000003,5.71544,5.20087,6.7217,5.05722,0.828257,0.672579
63,MFAP4,1.60954,2.20211,4.33022,11.969000000000001,1.8283599999999998,25.4246,57.6063,41.3266,8.69345,5.27245,1.4602
64,MIA,21.0747,100.141,1.9664400000000002,0.0,0.0,20.5634,7.688160000000001,0.9598,0.0,9.45003,0.780207
65,MID1,36.2366,29.3436,10.3217,16.711,26.0626,19.6636,8.02387,14.4386,8.06621,69.4015,14.4472
66,MYBL1,4.603619999999999,39.9538,28.7094,2.44602,4.37374,2.9388799999999997,0.866525,1.7769099999999998,17.1522,42.8867,99.5216
67,NEK2,17.1321,17.8017,17.3282,16.632,6.4425300000000005,0.954536,1.70088,2.752,5.67865,21.1913,58.8953
68,NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.115061,0.0,0.0437792,0.0,0.0,0.0
69,OGN,1.27872,16.5448,16.1288,33.1891,30.8342,59.6459,74.2179,87.9032,18.8553,8.84056,6.716810000000001
70,PI3,0.0,11.2038,4.06093,56.2403,24.7948,4.09301,4.586790000000001,0.0,0.0,0.0,0.210946
71,PLEKHB1,14.583,4.0029699999999995,0.902408,7.593939999999999,0.0,1.9737900000000002,0.0,0.6133390000000001,1.13715,4.582730000000001,1.09671
72,PMAIP1,1.6239299999999999,8.2696,2.55461,1.49607,0.0,0.931723,0.0,2.49894,0.0,5.0563199999999995,4.08651
73,PSMB9,0.0,8.1736,17.9413,0.0,22.5962,0.0,0.0,0.0,36.9087,5.581869999999999,20.2986
74,PTGDS,1.49063,0.36189299999999996,2.2711799999999998,1.97478,9.09855,21.2047,6.37324,32.4277,30.906,0.552674,3.21588
75,RARRES3,10.7933,11.6381,34.1245,16.534000000000002,32.007,41.5227,12.6041,31.4226,14.4303,16.6005,17.2398
76,RTP4,0.772275,0.418178,4.4314599999999995,0.8455010000000001,1.8151,0.45024200000000003,0.803098,0.11482,9.09239,2.4659999999999997,4.62512
77,S100A1,196.638,6.23529,17.2424,0.319159,0.38298899999999997,7.334110000000001,0.0,8.57125,1.4650299999999998,58.3911,7.54413
78,S100A7,6.579160000000001,11.175999999999998,90.8251,0.0,55.8724,0.154637,6.51391,116.993,0.0,0.0,2.0460599999999998
79,S100A8,3.4999599999999997,8.25177,24.8285,7.16315,18.9458,4.58775,27.7981,98.5857,1.84107,0.64226,3.0133799999999997
80,SCRG1,23.221999999999998,16.9336,0.134701,0.0,0.540506,0.037281800000000004,0.0,0.162206,0.0,26.926,48.1519
81,SEMA3C,89.189,59.9662,25.4714,30.594,61.4877,122.44,63.9728,68.2334,0.384932,7.6334,6.0655
82,SERHL2,5.02658,6.880610000000001,1.91457,2.41013,8.79175,22.6899,1.83139,574.127,6.733789999999999,4.88326,2.5315
83,SFRP1,35.3095,11.0022,18.3509,2.36344,3.23093,22.2943,1.20859,4.8108900000000006,3.47615,44.181000000000004,12.993
84,SIDT1,0.9090090000000001,1.21553,6.621589999999999,3.21991,18.52,9.90997,24.0965,8.51488,41.6228,2.67896,4.2779300000000005
85,SOX10,3.84721,2.68954,1.58692,0.0,0.545676,5.7557,0.0,0.7094550000000001,0.696051,4.45913,3.87501
86,SPDEF,0.141878,0.0,0.40413899999999997,0.08195319999999999,0.787379,3.26226,0.0,3.8249800000000005,0.452909,1.48852,0.0297448
87,SPRR1B,0.09447810000000001,0.0,0.0,0.38435199999999997,0.0,0.10971800000000001,7.9079,0.0,0.0,1.12615,0.0
88,SPTLC2,28.7351,31.9076,47.0239,36.1338,27.576,47.5721,20.6055,49.9711,37.9831,55.1168,32.8837
89,SRPX,12.4869,3.4502,3.69887,6.0477,3.13155,14.9014,9.574110000000001,30.9274,3.18607,4.59853,2.22247
90,TCF7L1,11.751,5.74527,12.9741,4.27525,6.33703,18.4465,5.48526,6.54781,4.03289,18.7519,9.41361
91,TFAP2B,1.18026,0.378274,0.287497,0.374233,1.95417,5.71247,0.202828,8.73733,0.0,0.514811,0.25997
92,THBS4,8.67223,5.24717,8.393239999999999,5.72026,5.17795,2.38517,33.2562,11.9439,8.61506,13.2923,1.31731
93,TNFAIP8,5.97248,12.5866,48.5812,16.8954,32.1947,9.13379,5.88908,10.2542,114.787,10.9691,19.5884
94,TNFSF10,24.8142,9.16731,108.079,77.0824,88.3038,39.5965,27.9843,18.0931,38.1127,31.0437,29.7736
95,TRIM68,7.67148,0.680226,0.272175,1.7915,3.16214,3.06494,7.91414,5.80638,2.09101,0.516001,0.859196
96,TSC22D3,7.24202,16.1831,10.1657,28.9859,13.0232,52.071999999999996,13.8724,125.664,49.9032,7.32937,13.9806
97,UBD,0.0,1.03575,41.9058,0.0,90.6399,0.0,0.0,0.0,47.6368,3.42841,51.0129
98,UGT2B28,0.0,0.0,0.0,0.0,0.0,2.56628,0.0,533.419,0.0,1.67524,0.0
99,XBP1,26.3139,13.4489,163.35,71.1081,162.27700000000002,159.843,20.5809,71.8158,35.8761,37.2038,57.2937
100,ZCCHC24,0.75321,0.289876,0.65349,1.05722,0.351353,1.6559099999999998,1.1772,2.3669,1.33689,0.154573,0.298537
