,gene_short_name,V515-06187-A1,TNT-225,TNT-209,TNT-8,TNT-152,TNT-278,TNT-194,TNT-71,17-00139-2_S9Aligned_cufflinks,TNT-139,TNT-122
59,KRT6B,86.6584,137.366,35.6332,5.9322099999999995,2.5441599999999998,0.0,92.3174,9.681510000000001,23.0478,73.2841,18.1158
60,KYNU,14.7879,19.8934,20.5119,16.8208,107.061,42.7789,3.65505,87.4812,3.3467599999999997,2.42706,106.193
61,LBP,0.573258,0.033786500000000004,0.266536,1.17723,44.4286,0.812294,0.8388760000000001,0.103459,1.8779,0.856867,9.0043
62,LHFP,2.0952,0.92133,0.986658,0.13617100000000001,10.9071,0.438417,0.339519,0.813163,0.5028779999999999,0.7534930000000001,2.36497
63,MFAP4,1.60954,2.7118700000000002,1.31587,6.52457,15.2427,1.54269,2.27238,5.00249,0.451396,1.29656,9.003919999999999
64,MIA,21.0747,3.69805,2.02941,34.1576,0.0,0.0,29.91,14.7819,0.9413440000000001,42.9602,0.200932
65,MID1,36.2366,31.1013,13.1301,24.2185,19.3272,7.24832,20.3668,11.2812,7.90995,13.3447,26.9929
66,MYBL1,4.603619999999999,11.1978,20.9162,376.286,2.0165,5.53364,10.1981,191.485,74.6586,54.0697,10.8959
67,NEK2,17.1321,16.6841,8.198960000000001,14.7718,2.07293,6.9343,25.116,51.1749,41.9777,89.38,5.502330000000001
68,NTN3,0.023557599999999998,0.0,0.0,0.217783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,OGN,1.27872,18.6864,16.9272,20.2289,23.045,21.2801,18.5507,12.4251,2.70269,11.8601,65.0528
70,PI3,0.0,0.351765,36.0043,0.0,0.0,0.0,0.8458530000000001,5.31341,1.9945599999999999,0.749434,4.50633
71,PLEKHB1,14.583,0.585629,0.9378920000000001,3.62724,0.0,0.284093,3.57226,6.5829,0.203369,1.25768,0.09812080000000001
72,PMAIP1,1.6239299999999999,4.02694,3.86427,1.17994,0.0,0.808025,3.5289800000000002,12.9616,12.390999999999998,5.27086,2.0992
73,PSMB9,0.0,6.16222,39.4181,4.06649,13.2313,4.4101,10.4857,5.38454,0.0,8.619110000000001,6.54708
74,PTGDS,1.49063,1.7367599999999999,10.7944,0.848852,4.11461,1.8187200000000001,0.669607,1.4413,1.11693,3.6436800000000003,4.698980000000001
75,RARRES3,10.7933,10.7116,21.1557,8.06708,83.1112,13.9324,7.320310000000001,12.5633,6.2457,18.0742,14.3735
76,RTP4,0.772275,1.9361599999999999,4.54023,2.07602,0.0,0.08686039999999999,2.22149,4.32465,1.01529,6.42063,2.3561799999999997
77,S100A1,196.638,16.3815,2.1962200000000003,31.9064,0.0,0.915583,19.5795,0.8991629999999999,2.49971,45.0482,2.8046599999999997
78,S100A7,6.579160000000001,0.36267,1.53294,3.72373,6.7927800000000005,2.87785,0.538471,330.407,0.849959,7.319660000000001,4709.52
79,S100A8,3.4999599999999997,1.96069,71.2434,0.35623299999999997,29.2772,3.13544,6.44369,34.2738,2.9412599999999998,2.84797,479.663
80,SCRG1,23.221999999999998,19.2951,0.817431,53.977,6.28695,4.0824300000000004,56.2852,0.787397,0.0,0.985764,7.695880000000001
81,SEMA3C,89.189,29.3055,13.7044,22.714000000000002,68.4341,21.9546,8.37491,32.5338,38.9655,22.0941,121.884
82,SERHL2,5.02658,1.0714700000000001,1.66477,16.1385,270.47900000000004,23.6951,5.66259,2.12248,4.63755,2.80262,33.662
83,SFRP1,35.3095,11.2392,1.9717,42.6241,8.47137,0.24418499999999999,9.52922,5.5372900000000005,1.51994,15.2094,11.1975
84,SIDT1,0.9090090000000001,2.56792,28.4101,0.644053,30.1822,19.3007,0.8704559999999999,2.0698,0.872016,1.9708900000000003,14.3831
85,SOX10,3.84721,1.3665100000000001,0.28170300000000004,1.87999,0.0,0.0,1.39412,0.10395599999999999,0.24186300000000002,3.85785,0.074546
86,SPDEF,0.141878,0.060040699999999995,0.04498080000000001,0.869403,4.88874,1.6802599999999999,0.123991,0.214666,0.058434900000000005,0.6927949999999999,5.45354
87,SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.1324,0.0,0.0,0.0
88,SPTLC2,28.7351,50.3319,66.6195,27.8543,82.23200000000001,47.7442,19.9639,41.79600000000001,24.144000000000002,99.0664,60.5191
89,SRPX,12.4869,5.6770000000000005,1.62465,3.72588,7.045730000000001,1.06881,5.00084,1.4254,1.27999,7.10769,10.919
90,TCF7L1,11.751,4.43431,5.12794,87.3457,3.5148800000000002,0.853785,26.9459,9.74195,11.0243,12.025,3.87754
