,gene_short_name,V515-06187-A1,TNT-304,17-00149-2_S3_cufflinks,TNT-293,TNT-49,17-00152-9_S4Aligned_cufflinks,17-00111-2_S4_cufflinks,TNT-328,TNT-98,TNT-104,TNT-265
85,SOX10,3.84721,0.549191,0.28732800000000003,0.0,0.8943270000000001,2.5556799999999997,1.2086,0.8844200000000001,0.545676,0.0,1.01938
86,SPDEF,0.141878,0.485162,0.506156,5.742999999999999,0.043974099999999995,4.64858,0.735854,0.061257900000000004,0.787379,4.93238,0.07995880000000001
87,SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,93.0754,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,22.3435,62.1005,165.09400000000002,8.47609,0.0,32.5144,10.6137,27.576,128.374,39.5264
89,SRPX,12.4869,1.7645400000000002,38.6601,1.01191,10.3912,0.0,8.0017,11.3068,3.13155,8.902000000000001,0.232665
90,TCF7L1,11.751,9.31606,18.683,2.2856099999999997,39.6384,43.2203,5.32251,8.466569999999999,6.33703,4.8579099999999995,5.04884
91,TFAP2B,1.18026,0.318333,9.60052,93.3454,3.7353400000000003,0.0,1.07807,0.8045359999999999,1.95417,92.3299,0.0699716
92,THBS4,8.67223,5.10417,15.0262,5.02284,1.3951200000000001,0.0,2.1271400000000003,6.2626,5.17795,219.377,1.1335600000000001
93,TNFAIP8,5.97248,31.3755,17.7323,9.34912,9.34008,0.0,14.427999999999999,5.01769,32.1947,15.4619,93.1282
94,TNFSF10,24.8142,16.7768,63.7544,83.9819,49.6164,1.52524,21.9902,4.20929,88.3038,138.21200000000002,48.2169
95,TRIM68,7.67148,1.0104600000000001,0.46161800000000003,2.4563200000000003,0.0474908,0.0,4.82695,0.21750500000000003,3.16214,0.8044979999999999,1.8199400000000001
96,TSC22D3,7.24202,3.52469,95.8656,10.5057,18.7024,0.0,105.06700000000001,6.003909999999999,13.0232,20.2465,13.4299
97,UBD,0.0,5.88761,0.0,3.7799999999999995e-11,60.5991,0.0,0.0,0.0,90.6399,5.86496,25.0035
98,UGT2B28,0.0,0.0,0.0,0.08143539999999999,0.0,0.0,0.0354788,0.0,0.0,2.69945,0.0886665
99,XBP1,26.3139,47.3865,67.0486,139.92,44.2997,116.27,74.46600000000001,16.6502,162.27700000000002,740.561,42.5204
100,ZCCHC24,0.75321,0.0,5.41346,0.298602,0.0,0.0,3.40631,0.0197941,0.351353,0.0629094,0.39827399999999996
