,gene_short_name,V515-06187-A1,17-00108-5_S18Aligned_cufflinks,TNT-202,TNT-157,TNT-322,TNT-62,TNT-100,TNT-166,TNT-2,TNT-183,TNT-270
85,SOX10,3.84721,6.35197,0.713127,0.515416,2.17461,2.12555,1.58692,4.69807,0.0,0.464487,0.0149695
86,SPDEF,0.141878,0.443012,0.0501171,0.352868,0.516921,0.125309,0.404139,1.81419,4.22867,8.69953,2.37184
87,SPRR1B,0.0944781,0.0,0.731959,0.0,0.0,0.0,0.0,0.0,0.0,0.103411,0.0
88,SPTLC2,28.7351,22.9936,23.592,23.1361,35.8602,30.4717,47.0239,44.4199,51.4217,75.6745,55.7678
89,SRPX,12.4869,2.07515,2.13951,3.4083,3.19103,3.95488,3.69887,6.65442,2.93003,1.61665,0.486246
90,TCF7L1,11.751,14.3223,12.4548,19.2652,12.017,18.6337,12.9741,16.6514,2.31134,15.0091,1.81681
91,TFAP2B,1.18026,0.213072,0.0439049,0.0,5.67484,1.32869,0.287497,0.0,1.66301,12.5701,69.5657
92,THBS4,8.67223,6.26509,9.82113,10.2009,39.4894,2.546,8.39324,39.9089,9.77135,8.89122,6.98055
93,TNFAIP8,5.97248,13.7328,11.4387,37.2349,14.2634,17.2372,48.5812,9.97907,42.9762,22.5994,30.4225
94,TNFSF10,24.8142,8.582,53.0847,37.5497,11.1771,6.9446,108.079,30.8127,17.5029,69.7579,27.4538
95,TRIM68,7.67148,1.92945,2.25688,0.674364,2.0345,2.36306,0.272175,3.2868,5.19011,3.20096,7.58654
96,TSC22D3,7.24202,7.39285,5.32342,9.78657,21.122,6.88048,10.1657,13.0726,39.5943,19.8955,13.8279
97,UBD,0.0,0.0,19.2552,30.8208,1.2589,17.5477,41.9058,3.85e-284,68.3213,9.87965,3.01e-28
98,UGT2B28,0.0,0.0,0.0,0.532721,0.696688,1.48948,0.0,0.0429629,1.13481,23.7089,520.496
99,XBP1,26.3139,132.852,36.7108,51.8027,39.6349,85.7476,163.35,31.0008,142.807,278.695,195.259
100,ZCCHC24,0.75321,0.410678,0.0990294,1.25974,0.51401,0.124046,0.65349,1.46109,1.45581,2.17403,0.313679
