,gene_short_name,V515-06187-A1,TNT-113,17-00113-4_S11_cufflinks,TNT-81,17-00269-8_S12Aligned_cufflinks,17-00119-5_S5_cufflinks,TNT-152,TNT-1,TNT-18,17-00124-3_S12Aligned_cufflinks,17-00099-0_S15_cufflinks
82,SERHL2,5.02658,3.6563,1.81287,2.5315,1.56572,7.02274,270.479,0.603352,0.0,0.0,11.3393
83,SFRP1,35.3095,5.04083,1.93791,12.993,2.3822,1.51569,8.47137,0.445617,3.7535,7.28486,0.259724
84,SIDT1,0.909009,19.857,1.03892,4.27793,1.95399,21.6157,30.1822,14.2356,4.20869,30.0365,14.5501
85,SOX10,3.84721,0.112743,1.62839,3.87501,0.878964,0.786433,0.0,0.283338,0.339244,4.99757,0.0
86,SPDEF,0.141878,0.0,0.0,0.0297448,0.105713,4.46731,4.88874,10.6382,0.0,1.174,0.731248
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.0,0.0,5.85202,0.192372,23.7501,6.10713
88,SPTLC2,28.7351,30.3911,37.4772,32.8837,24.273,46.6552,82.232,32.4383,16.2373,48.7606,46.0317
89,SRPX,12.4869,1.47954,4.32891,2.22247,4.76311,4.45723,7.04573,3.72821,2.91963,8.0311,0.586912
90,TCF7L1,11.751,33.2491,12.1978,9.41361,13.2797,8.2904,3.51488,2.02222,13.6733,4.91668,6.95985
91,TFAP2B,1.18026,0.0,0.300197,0.25997,21.966,2.94134,41.8386,0.0,0.0264427,0.0,1.62638
92,THBS4,8.67223,13.0656,2.00873,1.31731,6.7119,0.898207,80.985,0.761345,24.2912,37.7683,3.04118
93,TNFAIP8,5.97248,25.5365,12.079,19.5884,8.86002,45.9788,33.7402,12.598,30.5044,26.3933,33.5137
94,TNFSF10,24.8142,45.1035,20.4693,29.7736,42.7859,74.206,54.9682,34.7003,65.3121,13.0099,12.9194
95,TRIM68,7.67148,4.45127,2.78882,0.859196,2.03574,1.85303,10.6999,6.65522,3.00034,2.84572,2.67702
96,TSC22D3,7.24202,4.53729,6.2024,13.9806,21.2128,21.5401,85.877,19.0169,3.91348,5.4525,26.8364
97,UBD,0.0,128.718,57.6173,51.0129,0.0,0.0,4.33349,28.7398,30.6124,10.425,14.5019
98,UGT2B28,0.0,0.0,0.0,0.0,0.447108,0.0,60.8148,0.0,3.15284,0.0,0.0
99,XBP1,26.3139,91.84,31.089,57.2937,25.9862,74.226,158.579,50.1395,30.2895,31.529,79.0623
100,ZCCHC24,0.75321,0.0,0.503292,0.298537,0.0829296,0.877364,4.15671,0.502634,0.120759,3.48435,0.100439
