,gene_short_name,V515-06187-A1,TNT-104,TNT-76,17-00152-9_S4Aligned_cufflinks,TNT-45,TNT-259,17-00143-5_S2Aligned_cufflinks,TNT-313,TNT-157,TNT-278,TNT-18
55,KRT14,118.371,7.57929,96.6137,34.0491,3.86085,0.595829,0.980966,2.3244,48.6854,0.0,94.5936
56,KRT16,91.0343,2.51083,90.576,0.0,16.9141,32.6636,9.40847,20.3289,29.9302,0.0,18.4317
57,KRT17,105.347,5.32091,166.12,0.0,73.8602,23.5076,60.619,37.6519,93.4954,0.0,40.1927
58,KRT6A,54.2242,1.85392,134.951,34.9635,8.03037,132.032,2.72352,10.2522,114.328,12.7373,41.4118
59,KRT6B,86.6584,1.52658,530.787,0.0,63.3655,152.121,1.03456,8.01256,58.34,0.0,18.6307
60,KYNU,14.7879,4.02898,9.09878,0.0,11.9074,28.7073,71.5981,7.4756,10.0651,42.7789,6.18662
61,LBP,0.573258,0.0,0.510202,0.0,0.496781,0.126927,0.830781,7.37729,10.5957,0.812294,4.28908
62,LHFP,2.0952,1.52339,1.54434,0.0,0.711071,0.675045,0.411592,0.571099,0.326932,0.438417,0.921726
63,MFAP4,1.60954,5.78497,2.12753,0.0,1.58376,1.72318,0.410963,3.316,5.34585,1.54269,1.8374
64,MIA,21.0747,0.0,6.86349,0.0,18.2909,8.68449,0.0,29.0599,1.63317,0.0,14.3171
65,MID1,36.2366,11.3684,43.0015,0.0,26.6167,14.7907,24.8579,13.7536,9.65455,7.24832,8.87254
66,MYBL1,4.60362,3.33825,16.8039,0.0,2.2844,15.8264,1.8149,3.25228,114.391,5.53364,13.5046
67,NEK2,17.1321,5.31843,29.3384,0.0,13.142,7.06742,27.4882,20.5716,25.8249,6.9343,7.85741
68,NTN3,0.0235576,0.0,0.0,1.92163,0.0,0.0,0.0585428,0.0,0.0,0.0,0.0
69,OGN,1.27872,75.4417,11.7997,0.0,6.62343,15.1809,0.0757681,11.9837,24.9941,21.2801,42.3317
70,PI3,0.0,0.0,74.0994,86.9353,39.2395,84.1807,0.0,11.4592,17.863,0.0,0.105544
71,PLEKHB1,14.583,0.0,3.5639,0.0,2.29668,4.05949,0.903185,1.67582,0.0,0.284093,3.08625
72,PMAIP1,1.62393,0.0,0.979012,0.0,1.80954,3.94632,0.161,0.083157,1.51596,0.808025,2.0914
73,PSMB9,0.0,1.03818,14.6465,0.0,12.4823,29.5826,0.0,16.606,9.36826,4.4101,12.9038
74,PTGDS,1.49063,3.24923,1.42082,0.0,0.506409,4.47236,0.64403,1.52534,7.61933,1.81872,1.80836
75,RARRES3,10.7933,0.484158,13.0092,0.0,19.0444,27.7703,49.0465,18.193,22.5854,13.9324,22.4368
76,RTP4,0.772275,0.141051,1.6689,0.0,3.73465,6.60475,0.152572,0.515246,4.38526,0.0868604,0.788525
77,S100A1,196.638,0.42918,2.02478,0.0,3.91214,2.36985,0.934611,38.1213,0.0,0.915583,2.43927
78,S100A7,6.57916,1.58306,1.74903,186.014,5.92037,0.0,2.94811,22.1324,7.96798,2.87785,0.0
79,S100A8,3.49996,0.543271,8.5793,0.0,35.7846,14.6467,9.1996,77.2175,1.94246,3.13544,2.46168
80,SCRG1,23.222,0.0664366,0.15075,0.0,2.241,12.0923,0.0,1.39991,0.697447,4.08243,3.5533
81,SEMA3C,89.189,302.366,31.7132,13.8256,66.4924,46.0447,17.3161,19.0473,20.029,21.9546,31.6493
82,SERHL2,5.02658,185.863,2.36334,0.0,1.33335,0.0,16.2918,0.238502,2.29392,23.6951,0.0
83,SFRP1,35.3095,1.4594,10.8045,0.0,21.9643,0.399455,0.528364,14.1765,5.69443,0.244185,3.7535
84,SIDT1,0.909009,37.3052,2.9025,147.595,3.27007,18.1512,14.89,3.70818,5.13203,19.3007,4.20869
85,SOX10,3.84721,0.0,4.68407,2.55568,1.79304,0.0,0.0,0.290165,0.515416,0.0,0.339244
86,SPDEF,0.141878,4.93238,0.0,4.64858,0.332551,0.0,15.935,0.328509,0.352868,1.68026,0.0
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192372
88,SPTLC2,28.7351,128.374,40.9352,0.0,47.2347,51.5029,94.7651,27.6522,23.1361,47.7442,16.2373
89,SRPX,12.4869,8.902,8.16291,0.0,3.68179,6.79803,0.776788,3.32821,3.4083,1.06881,2.91963
90,TCF7L1,11.751,4.85791,26.0239,43.2203,8.33778,2.74681,14.8675,11.0725,19.2652,0.853785,13.6733
91,TFAP2B,1.18026,92.3299,0.0480311,0.0,0.199188,0.0328593,34.9977,0.0319616,0.0,82.1722,0.0264427
92,THBS4,8.67223,219.377,26.1723,0.0,2.1029,13.4075,0.592485,7.02478,10.2009,6.88127,24.2912
93,TNFAIP8,5.97248,15.4619,13.5345,0.0,27.8568,33.4226,7.87435,23.985,37.2349,31.3622,30.5044
94,TNFSF10,24.8142,138.212,11.8922,1.52524,22.0889,54.1136,18.7849,8.09372,37.5497,57.7496,65.3121
95,TRIM68,7.67148,0.804498,1.46487,0.0,1.82696,1.62023,6.18412,0.829583,0.674364,0.478931,3.00034
96,TSC22D3,7.24202,20.2465,27.685,0.0,5.14667,17.584,43.2554,8.6376,9.78657,20.532,3.91348
97,UBD,0.0,5.86496,15.4731,0.0,35.8375,86.1823,0.0,40.1572,30.8208,6.17614,30.6124
98,UGT2B28,0.0,2.69945,0.0,0.0,0.236981,0.0,0.0956985,0.0,0.532721,23.4067,3.15284
99,XBP1,26.3139,740.561,64.7398,116.27,94.0816,27.2668,330.697,116.723,51.8027,130.299,30.2895
100,ZCCHC24,0.75321,0.0629094,1.41876,0.0,0.53233,0.0,0.280101,0.578819,1.25974,0.0790894,0.120759
