,gene_short_name,V515-06187-A1,TNT-277,TNT-117,TNT-98,TNT-224,TNT-217,TNT-245,17-00123-8_S16Aligned_cufflinks,TNT-220,17-00243-6_S9Aligned_cufflinks,TNT-85
91,TFAP2B,1.18026,8.63893,0.301744,1.95417,18.2922,0.0,0.586359,0.268108,3.98359,6.80933,0.306106
92,THBS4,8.67223,20.1354,8.9054,5.17795,43.7954,8.61506,1.9508900000000002,6.37277,29.7523,12.7354,13.8041
93,TNFAIP8,5.97248,99.2981,23.5476,32.1947,26.8295,114.787,68.8324,15.8607,45.6794,14.1535,22.5981
94,TNFSF10,24.8142,34.8402,31.8891,88.3038,27.5024,38.1127,44.0606,39.6627,33.2544,35.1596,15.7083
95,TRIM68,7.67148,0.298528,1.91052,3.16214,1.52447,2.09101,1.58243,3.50305,1.17435,2.74792,2.11095
96,TSC22D3,7.24202,9.40428,42.852,13.0232,21.898000000000003,49.9032,13.0707,23.0082,5.49314,25.3356,2.68451
97,UBD,0.0,30.8867,109.931,90.6399,1.80785,47.6368,35.3229,0.0,16.25,15.4556,5.77332
98,UGT2B28,0.0,1.2680200000000001,0.0,0.0,1.0239200000000002,0.0,0.617993,0.053475,0.0,0.44190799999999997,0.0
99,XBP1,26.3139,32.9098,41.2359,162.27700000000002,54.6752,35.8761,112.54299999999999,49.1615,26.5347,91.5877,41.7376
100,ZCCHC24,0.75321,0.173812,0.17028800000000002,0.351353,0.847806,1.33689,0.0,1.25453,0.641638,2.24439,0.259422
