,gene_short_name,V515-06187-A1,17-00104-2_S7Aligned_cufflinks,TNT-58,17-00121-8_S12_cufflinks,TNT-138,TNT-259,TNT-53,TNT-71,17-00174-6_S15Aligned_cufflinks,TNT-141,TNT-50
44,IGHM,55.219,0.0,1.92816,0.0,2048.59,136.843,45.6794,232.999,13.6533,32.3916,119.376
45,IGJ,20.0186,4.29243,1.072,1857.11,667.293,120.395,140.383,506.164,20.4514,151.693,101.14
46,IGKC,182.346,66.0953,8.48629,5230.68,12117.4,1516.83,503.449,2492.68,533.576,368.829,1160.89
47,IL23A,0.0490073,0.0,0.0,0.0,0.0,0.0,0.253118,0.520363,0.294789,0.0,0.391571
48,IL33,0.883329,1.19507,0.0,15.1477,0.0,0.602038,0.556894,3.52311,2.28455,2.97647,0.928946
49,INPP4B,37.1722,7.46138,7.69827,42.4202,16.7371,13.6166,7.19501,8.29696,19.0709,49.4555,17.8934
50,ITM2A,5.13433,3.30896,0.0,109.881,42.6476,18.4724,12.1728,17.6113,5.51003,0.0,4.17182
51,JAM2,11.2143,3.64272,0.212544,43.4717,0.342646,2.31682,4.91331,6.04114,5.43396,2.19326,6.59347
52,KCNK5,7.32046,0.209398,0.19696,0.897058,1.87699,0.449249,0.602485,0.887702,3.38603,0.0817072,0.660506
53,KIAA1324,6.46799,20.8609,22.2454,51.9074,10.5216,1.34983,10.5274,5.69649,7.09193,24.0352,4.37915
54,KMO,1.44589,2.52806,0.0,0.307289,21.1807,8.82002,14.9961,7.64368,1.93187,13.9778,11.1279
55,KRT14,118.371,25.0605,263.761,616.609,12.127,0.595829,0.707408,6.66913,708.661,19.0054,1233.01
56,KRT16,91.0343,134.622,394.447,44.915,186.521,32.6636,18.87,17.0193,2146.49,0.0,553.128
57,KRT17,105.347,37.2395,219.698,1050.05,58.2138,23.5076,16.6569,51.9748,1735.05,3.52294,379.872
58,KRT6A,54.2242,43.5373,25.8248,159.842,86.6856,132.032,17.2934,27.6608,3704.04,20.8774,1349.87
59,KRT6B,86.6584,43.8515,73.8423,109.401,18.7345,152.121,35.8075,9.68151,1377.33,0.0228997,247.092
60,KYNU,14.7879,21.581,9.77141,10.171,8.65265,28.7073,16.0255,87.4812,23.7252,11.4561,7.27038
61,LBP,0.573258,0.118287,0.0,0.029159,0.0563157,0.126927,2.55733,0.103459,17.4641,0.403369,0.417463
62,LHFP,2.0952,0.875301,0.0553289,5.71544,0.295337,0.675045,0.0936955,0.813163,1.14329,0.261223,2.67659
63,MFAP4,1.60954,1.09546,0.0,25.4246,2.89731,1.72318,1.21515,5.00249,0.591203,16.8245,5.69762
64,MIA,21.0747,1.31154,8.05077,20.5634,9.04942,8.68449,8.06811,14.7819,4.79669,0.0,3.17113
65,MID1,36.2366,7.25231,23.0528,19.6636,40.5075,14.7907,10.9874,11.2812,30.2772,5.32941,33.7614
66,MYBL1,4.60362,4.57247,23.7178,2.93888,41.9956,15.8264,145.508,191.485,7.91887,1.07033,31.0013
67,NEK2,17.1321,16.4332,101.637,0.954536,25.5223,7.06742,78.344,51.1749,6.29062,12.3271,14.2564
68,NTN3,0.0235576,0.175048,0.0,0.115061,0.0,0.0,0.0499616,0.0,0.0,0.0,0.0
69,OGN,1.27872,0.290385,15.4139,59.6459,9.72322,15.1809,18.1887,12.4251,0.432418,26.7541,7.41343
70,PI3,0.0,0.239799,1.67842,4.09301,0.0,84.1807,4.59305,5.31341,224.86,0.0,0.342042
71,PLEKHB1,14.583,0.980703,3.98637,1.97379,8.74156,4.05949,0.313393,6.5829,0.316141,0.0,0.336417
72,PMAIP1,1.62393,2.90099,0.0,0.931723,0.75427,3.94632,3.49543,12.9616,4.27063,13.7808,1.51222
73,PSMB9,0.0,0.0,1.84833,0.0,16.2295,29.5826,6.66335,5.38454,0.0,4.59655,3.58191
74,PTGDS,1.49063,2.26397,0.0,21.2047,0.0,4.47236,0.588428,1.4413,11.0692,0.0,1.76951
75,RARRES3,10.7933,1.89975,0.0,41.5227,32.1944,27.7703,7.36159,12.5633,17.8571,51.7933,6.06596
76,RTP4,0.772275,0.151952,0.0,0.450242,3.70618,6.60475,2.73071,4.32465,1.87541,1.13918,2.39764
77,S100A1,196.638,0.0,5.76327,7.33411,10.0642,2.36985,28.8386,0.899163,33.4893,0.0,57.1312
78,S100A7,6.57916,45.4113,5.43066,0.154637,0.0,0.0,226.527,330.407,854.889,19.2989,21.4672
79,S100A8,3.49996,19.8689,0.0,4.58775,3.70699,14.6467,44.2431,34.2738,589.559,3.4862,4.79337
80,SCRG1,23.222,0.0,6.73151,0.0372818,9.10434,12.0923,6.45002,0.787397,0.046442,0.0,0.967221
81,SEMA3C,89.189,42.2899,5.29232,122.44,48.4115,46.0447,8.49986,32.5338,30.0744,156.839,140.37
82,SERHL2,5.02658,3.21186,0.873811,22.6899,0.0,0.0,0.96246,2.12248,16.4697,3.32934,12.6058
83,SFRP1,35.3095,1.06089,1.5655,22.2943,29.8529,0.399455,17.0348,5.53729,6.85617,1.24034,16.7954
84,SIDT1,0.909009,8.90804,0.0,9.90997,4.34556,18.1512,1.47696,2.0698,1.85686,72.2701,1.63791
85,SOX10,3.84721,0.270609,3.62671,5.7557,2.89194,0.0,2.81897,0.103956,0.0243124,2.96958,0.0526336
86,SPDEF,0.141878,0.0699543,0.0,3.26226,3.11461,0.0,0.0299376,0.214666,0.604543,1.04922,3.06071
87,SPRR1B,0.0944781,7.66609,0.0,0.109718,0.0,0.0,0.0,4.1324,267.837,0.0,0.104007
88,SPTLC2,28.7351,27.6182,4.23276,47.5721,28.2666,51.5029,25.3893,41.796,60.9163,39.1107,168.345
89,SRPX,12.4869,1.56102,0.102861,14.9014,3.70946,6.79803,1.37933,1.4254,13.6723,2.33744,3.51456
90,TCF7L1,11.751,4.27422,22.6994,18.4465,39.6483,2.74681,23.572,9.74195,3.74559,5.11118,8.4502
91,TFAP2B,1.18026,0.615416,2.55401,5.71247,1.48915,0.0328593,0.612569,4.96422,11.5213,5.01163,6.84501
92,THBS4,8.67223,3.75493,1.68743,2.38517,24.1,13.4075,5.73771,5.57063,2.54931,63.14,6.72779
93,TNFAIP8,5.97248,8.91414,8.26238,9.13379,28.0107,33.4226,18.9355,19.1099,14.5558,12.9335,16.5976
94,TNFSF10,24.8142,7.52508,9.4525,39.5965,37.2177,54.1136,29.5446,73.0496,48.0731,72.8703,21.0228
95,TRIM68,7.67148,0.670595,0.251423,3.06494,5.03407,1.62023,0.2459,0.502216,7.05044,0.048427,2.09031
96,TSC22D3,7.24202,2.00415,0.0487917,52.072,13.725,17.584,11.5905,2.83116,19.1824,3.74531,16.4595
97,UBD,0.0,0.0,0.0,0.0,9.7009,86.1823,146.91,188.513,0.0,3.378,1.46836
98,UGT2B28,0.0,0.0,0.0,2.56628,0.0,0.0,1.3952,0.679177,0.0391407,0.0,0.036528
99,XBP1,26.3139,18.1345,29.2347,159.843,133.375,27.2668,37.965,61.7748,57.3706,222.104,53.3026
100,ZCCHC24,0.75321,0.13893,0.00572394,1.65591,0.0,0.0,0.0592135,0.12222,0.433047,0.0,2.49551
