,gene_short_name,V515-06187-A1,TNT-311,TNT-13,TNT-272,TNT-132,TNT-304,TNT-4,17-00212-8_S3Aligned_cufflinks,TNT-104,TNT-245,17-00097-1_S9_cufflinks
52,KCNK5,7.32046,0.383991,0.0,1.87473,0.0,0.620442,0.166799,0.226162,0.138828,0.478414,2.19827
53,KIAA1324,6.46799,7.69644,24.4954,5.59984,26.2765,17.9592,15.1323,22.5651,94.4477,11.1041,0.469548
54,KMO,1.44589,0.66819,5.24219,6.06652,42.1064,5.78913,7.90998,51.953,84.6825,14.3286,5.2506
55,KRT14,118.371,7.60157,123.369,4.91264,18.8049,8.99563,3.8259,13.2923,7.57929,3.29522,62.9592
56,KRT16,91.0343,29.1762,32.6146,126.281,2.54488,29.6355,9.11002,5.29504,2.51083,72.4084,26.2046
57,KRT17,105.347,16.9229,44.3352,447.583,15.6965,10.112,15.2766,25.5607,5.32091,50.6806,9.91211
58,KRT6A,54.2242,1.96056,112.715,215.078,0.0533936,1.43897,43.7876,18.327,1.85392,501.908,5.23452
59,KRT6B,86.6584,4.66101,13.9964,228.079,0.838378,9.09909,10.2424,7.05858,1.52658,57.1734,3.50011
60,KYNU,14.7879,6.33676,22.9316,17.0448,145.011,4.4863,69.6869,97.4717,4.02898,51.3641,5.392
61,LBP,0.573258,0.152207,0.0,3.33742,5.49965,0.307366,183.902,18.7281,0.0,3.30363,0.652367
62,LHFP,2.0952,0.938242,0.0,0.78988,3.70533,0.0947361,2.3965,2.08498,1.52339,0.786022,0.932149
63,MFAP4,1.60954,2.46772,8.21735,3.68584,19.215,0.0,20.6016,6.34898,5.78497,3.01022,0.288673
64,MIA,21.0747,0.679179,1.61864,16.5155,0.0,13.4175,0.0,2.07213,0.0,2.50099,0.845535
65,MID1,36.2366,20.1731,4.53203,35.9257,22.0039,11.3562,24.7647,11.1729,11.3684,53.1071,13.0013
66,MYBL1,4.60362,35.6761,97.8265,8.01273,9.64146,64.9785,3.44517,4.7565,3.33825,24.6381,88.7484
67,NEK2,17.1321,26.2121,13.8283,14.4268,3.18495,21.4632,3.7872,4.37693,5.31843,10.7359,23.2843
