,gene_short_name,V515-06187-A1,17-00121-8_S12_cufflinks,TNT-202,TNT-133,TNT-270,TNT-183,TNT-69,TNT-45,17-00252-2_S13Aligned_cufflinks,TNT-57,17-00212-8_S3Aligned_cufflinks
89,SRPX,12.4869,14.9014,2.13951,4.51251,0.486246,1.61665,3.8546400000000003,3.6817900000000003,2.65072,7.25335,3.76485
90,TCF7L1,11.751,18.4465,12.4548,1.12875,1.8168099999999998,15.0091,21.0061,8.33778,5.74571,51.5262,2.6816
91,TFAP2B,1.18026,5.71247,0.043904900000000004,19.6431,69.5657,12.5701,1.01875,0.199188,22.5216,0.631304,28.0595
92,THBS4,8.67223,2.38517,9.82113,129.305,6.98055,8.89122,18.6862,2.1029,15.5802,6.38016,10.1305
93,TNFAIP8,5.97248,9.13379,11.4387,6.36265,30.4225,22.5994,11.3972,27.8568,11.3768,12.7164,23.0422
94,TNFSF10,24.8142,39.5965,53.0847,49.6478,27.4538,69.7579,9.12321,22.0889,41.5292,14.0494,48.7501
95,TRIM68,7.67148,3.06494,2.2568799999999998,5.30821,7.586539999999999,3.20096,1.05924,1.82696,5.67096,3.50355,7.4270000000000005
96,TSC22D3,7.24202,52.071999999999996,5.32342,33.7243,13.8279,19.8955,2.52544,5.146669999999999,17.9219,9.533710000000001,18.1725
97,UBD,0.0,0.0,19.2552,3.4039699999999997,3.0099999999999997e-28,9.87965,20.0174,35.8375,0.0,1.25475,0.0
98,UGT2B28,0.0,2.56628,0.0,0.0,520.496,23.7089,2.47028,0.236981,1.4067,0.803126,2.89132
99,XBP1,26.3139,159.843,36.7108,168.671,195.25900000000001,278.695,21.5179,94.0816,392.314,62.5597,136.75
100,ZCCHC24,0.75321,1.6559099999999998,0.0990294,3.33165,0.313679,2.17403,0.144769,0.53233,1.66041,0.80106,1.17116
