,gene_short_name,V515-06187-A1,17-00269-8_S12Aligned_cufflinks,17-00119-5_S5_cufflinks,TNT-26,TNT-115,TNT-50,17-00212-8_S3Aligned_cufflinks,TNT-81,17-00243-6_S9Aligned_cufflinks,TNT-252,TNT-35
0,ABCA8,1.07397,10.5754,4.389390000000001,4.23117,1.17188,6.27059,10.9008,1.02282,39.5772,8.54573,16.6291
1,ADRA2A,0.196819,0.23155900000000001,1.83867,0.999606,0.172526,0.613286,0.804,0.0734277,2.18221,0.30338699999999996,0.9818889999999999
2,AKAP12,3.7524300000000004,3.77041,12.7491,16.1452,2.9281200000000003,15.7193,6.45585,3.7395099999999997,18.6305,3.3419300000000005,12.7669
3,ALDH3B2,34.613,3.69538,2.7095700000000003,2.6644200000000002,7.47531,19.4221,54.5406,3.9866300000000003,6.116709999999999,0.0,73.376
4,APOD,101.54799999999999,55.1521,24.8244,23.2556,39.9082,34.8661,1024.91,14.2743,222.14700000000002,7.803389999999999,4574.95
5,ART3,19.2103,42.777,0.22605,11.4363,121.99700000000001,0.6718649999999999,0.0878982,495.44800000000004,0.6155229999999999,0.337303,0.887626
6,ASPN,31.1651,28.712,12.4372,99.8197,9.31432,72.6274,191.273,10.681,114.85700000000001,15.8789,16.949
7,AZGP1,64.9749,109.38799999999999,8.47719,8.42855,239.31900000000002,94.0011,257.36400000000003,482.125,63.7556,7.40158,367.6
8,BLVRB,6.57613,3.27189,2.12154,1.8821400000000001,3.141,4.2330000000000005,80.8059,1.83979,4.7669999999999995,0.871201,4.5501
9,C7,0.29143,9.23125,415.24,1.5576299999999998,1.27179,5.63905,4.5721099999999995,0.195679,24.3373,24.0301,24.8307
10,CCL5,1.03708,16.1353,0.0,0.328596,11.9906,2.46692,5.79704,8.62397,11.5664,2.64418,20.5653
11,CD36,36.5005,88.0077,39.1275,27.8522,12.2627,17.4704,59.1195,13.4593,228.418,13.2741,17.7795
12,CD52,5.15236,16.4224,114.693,2.72588,76.2585,26.2153,31.8435,16.5691,53.8862,437.32099999999997,127.084
13,CDC20,19.1111,24.4458,2.32812,14.2065,14.9562,6.633089999999999,3.74191,22.4607,0.705943,7.2855,6.233619999999999
14,CHI3L1,52.4824,49.4362,1.54651,20.8098,32.3937,23.1543,3.5127800000000002,147.222,20.1565,0.06820520000000001,8.07722
15,COL2A1,124.822,0.383356,0.0473942,105.473,0.0,0.7584,0.029408999999999998,0.299693,0.413376,0.0,0.182251
16,COL5A1,145.37,46.8246,23.2912,269.70099999999996,23.0038,129.285,109.637,24.3791,204.403,2.7804599999999997,63.0796
17,COL5A2,202.313,95.8911,27.0054,409.89,62.6035,232.429,225.09400000000002,58.7019,352.65,6.948989999999999,92.2053
18,CRAT,3.09639,5.729019999999999,3.2336400000000003,3.7270300000000005,2.79293,9.18802,37.2093,2.0533799999999998,9.947460000000001,0.663326,21.7538
19,CROT,17.2031,5.47545,10.7352,5.29179,9.149460000000001,5.88813,55.8078,4.48754,15.6503,14.7668,11.1741
20,CXCL10,2.29941,109.851,17.0314,4.175669999999999,324.884,15.6837,10.818,121.374,15.3334,12.4893,75.8828
21,CXCL11,0.642556,38.6206,11.8683,0.0,47.492,1.4391100000000001,2.1760200000000003,8.79376,8.71699,2.66393,14.3433
