,gene_short_name,V515-06187-A1,TNT-73,TNT-92,TNT-289,17-00132-8_S16Aligned_cufflinks,TNT-277,TNT-296,TNT-288,TNT-265,TNT-225,TNT-326
83,SFRP1,35.3095,0.100459,20.5385,29.3637,0.651243,5.73362,11.6134,35.9048,0.189268,11.2392,10.1147
84,SIDT1,0.909009,3.01369,3.70809,0.705832,8.83893,24.6341,1.30631,0.292844,23.2043,2.56792,3.11273
85,SOX10,3.84721,0.00900422,0.205921,1.40946,0.189706,0.0,0.0,2.0321,1.01938,1.36651,0.241657
86,SPDEF,0.141878,0.0,0.113258,0.139067,0.0,0.146751,0.0,0.191122,0.0799588,0.0600407,0.0
87,SPRR1B,0.0944781,0.0,0.0,0.0,7.15657,0.0,0.0,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,13.6311,34.9804,40.9009,23.3392,43.5769,17.2495,37.3837,39.5264,50.3319,19.0873
89,SRPX,12.4869,1.04663,6.28365,14.1535,11.9724,6.43555,0.0834734,13.0041,0.232665,5.677,2.17439
90,TCF7L1,11.751,28.8742,11.4878,13.4957,7.31608,1.6715,11.2977,13.6998,5.04884,4.43431,27.8505
91,TFAP2B,1.18026,0.89359,1.46155,0.445715,0.0,8.63893,0.187122,1.27913,0.0699716,0.551706,9.64635
92,THBS4,8.67223,4.65828,20.4333,25.1457,9.82158,20.1354,7.62169,28.9139,1.13356,57.9839,1.19803
93,TNFAIP8,5.97248,17.1811,27.0821,15.142,25.2074,99.2981,15.7102,21.5253,93.1282,17.7713,29.3606
94,TNFSF10,24.8142,172.615,52.0291,14.0271,8.99834,34.8402,38.096,12.1125,48.2169,15.0652,37.3773
95,TRIM68,7.67148,1.01622,2.9636,7.17307,1.59547,0.298528,6.33707,6.38965,1.81994,2.18322,0.822314
96,TSC22D3,7.24202,8.0713,13.8093,22.6667,18.3978,9.40428,7.56735,20.7125,13.4299,21.8741,1.96725
97,UBD,0.0,73.4598,81.9667,0.301306,13.8943,30.8867,189.131,5.42e-51,25.0035,3.05274,2.44506
98,UGT2B28,0.0,0.0132192,0.0313859,1.26947,0.0,1.26802,10.9314,0.678299,0.0886665,1.0251,0.0
99,XBP1,26.3139,62.3238,44.0054,37.5827,45.1453,32.9098,27.0571,39.1318,42.5204,46.1754,99.6604
100,ZCCHC24,0.75321,0.534347,0.674429,1.77067,3.27612,0.173812,0.0278627,1.3042,0.398274,0.562095,0.015883
