,gene_short_name,V515-06187-A1,TNT-238,TNT-239,TNT-209,TNT-224,TNT-33,17-00252-2_S13Aligned_cufflinks,17-00124-3_S12Aligned_cufflinks,TNT-138,TNT-328,TNT-304
0,ABCA8,1.07397,3.0725,6.3693599999999995,5.75345,11.0932,42.1504,10.1006,19.1922,12.6791,9.23817,3.65161
1,ADRA2A,0.196819,1.4667,0.621933,1.18075,0.5215270000000001,0.7035100000000001,0.666199,0.730596,1.91297,0.0,0.0
2,AKAP12,3.7524300000000004,3.91094,7.243539999999999,5.17876,12.9614,6.5784,3.59153,8.16971,7.20418,9.39584,1.8245099999999999
3,ALDH3B2,34.613,3.84186,6.832489999999999,5.1982800000000005,4.94473,19.4297,57.0737,0.523783,12.4995,14.562000000000001,1.69334
4,APOD,101.54799999999999,8.408,13.232000000000001,12.3961,72.6231,462.319,2264.75,26.8377,27.4739,32.4682,171.87900000000002
5,ART3,19.2103,3.04012,0.155376,1.0586,2.7877400000000003,29.9479,2.61983,28.6469,0.47330600000000006,13.5651,181.128
6,ASPN,31.1651,7.42943,7.229310000000001,14.174000000000001,241.52200000000002,23.2841,17.5097,11.0376,46.9364,15.9623,54.125
7,AZGP1,64.9749,15.3658,20.3111,10.708,3.9754199999999997,146.048,375.78,51.8361,30.0339,39.4368,300.948
8,BLVRB,6.57613,0.465605,1.9114400000000002,0.623746,3.5285300000000004,3.32387,9.26335,1.62151,9.23049,1.26662,4.18302
9,C7,0.29143,22.8424,63.4141,31.5904,1.91188,16.7384,11.5843,17.412,0.29318,0.0,1.8841599999999998
10,CCL5,1.03708,17.8954,6.15495,9.20102,3.2060000000000004,55.5323,0.0,4.40667,5.65268,1.60917,9.38296
11,CD36,36.5005,17.0593,25.2455,18.8618,20.0619,32.6821,40.6657,19.8167,30.2316,18.5983,40.2595
12,CD52,5.15236,394.82099999999997,884.803,472.935,21.1463,360.04699999999997,19.3989,23.7771,35.721,0.0,85.9483
13,CDC20,19.1111,3.99635,8.33313,7.589060000000001,10.5139,5.45902,2.81438,7.086989999999999,7.318789999999999,10.2348,16.8101
14,CHI3L1,52.4824,0.843568,5.80837,0.796208,3.66954,5.50906,2.7861,4.73689,4.73091,30.5357,5.51471
15,COL2A1,124.822,0.0,0.441904,0.0,0.014313,0.0,0.157048,0.0,28.685,147.203,219.15099999999998
16,COL5A1,145.37,5.3667300000000004,4.27042,6.43656,156.747,32.1906,57.8154,58.7164,104.083,38.532,19.8955
17,COL5A2,202.313,8.552589999999999,7.0651600000000006,6.4269300000000005,292.85200000000003,45.924,105.309,38.1792,180.77900000000002,25.6229,47.714
18,CRAT,3.09639,5.162000000000001,1.24437,2.4713,4.7487900000000005,3.40098,30.4788,14.2827,21.3933,3.56428,1.28039
19,CROT,17.2031,8.11357,13.1914,9.5381,20.3725,8.39303,37.0803,12.7956,25.7858,8.11488,4.937469999999999
