,gene_short_name,V515-06187-A1,TNT-223,TNT-325,TNT-238,TNT-267,17-00109-8_S14Aligned_cufflinks,TNT-85,TNT-209,TNT-195,17-00118-2_S5Aligned_cufflinks,17-00165-0_S10Aligned_cufflinks
64,MIA,21.0747,0.0,0.0,3.15825,0.0,0.0,20.3728,2.02941,0.558431,10.3012,26.5327
65,MID1,36.2366,6.94282,13.4752,15.5065,1.0105,24.305,16.0742,13.1301,16.7236,13.2023,10.6828
66,MYBL1,4.60362,6.41105,6.89166,13.2892,6.36047,9.16538,48.2984,20.9162,57.5484,1.04872,27.0975
67,NEK2,17.1321,1.32151,31.5251,13.6131,0.0,0.0,45.9645,8.19896,22.1877,0.0,16.908
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.164755,0.0,0.0,0.0,0.103636,0.0908004
69,OGN,1.27872,23.7732,31.1962,10.1206,77.2047,69.1051,19.6786,16.9272,40.6724,18.294,8.87661
70,PI3,0.0,0.0,151.462,45.6396,0.0,42.1368,12.9848,36.0043,0.198315,12.3687,4.34973
71,PLEKHB1,14.583,0.0,0.0,0.233445,0.0,0.0,1.19545,0.937892,0.389207,2.82605,8.26421
72,PMAIP1,1.62393,0.0,5.23496,4.70499,0.0,0.0,0.0,3.86427,2.54785,1.26956,0.650526
73,PSMB9,0.0,2.2066,24.3438,36.7315,10.8514,0.0,1.28821,39.4181,22.4078,7.70055,0.0
74,PTGDS,1.49063,0.0464106,0.0,15.4675,4.4359,15.7746,1.50469,10.7944,17.0388,15.6347,14.0798
75,RARRES3,10.7933,5.72557,51.3022,25.5765,0.643687,4.08928,5.74631,21.1557,39.2069,1.02773,23.4369
76,RTP4,0.772275,0.0,0.0,3.27616,0.0,0.0,0.0949046,4.54023,2.39704,0.0,1.85726
77,S100A1,196.638,11.2886,0.0,1.30119,0.0,0.0,12.5233,2.19622,8.99812,3.69956,103.93
78,S100A7,6.57916,2883.09,150.357,1.91106,0.0,800.868,1.3312,1.53294,10.7501,37.0075,17.0718
79,S100A8,3.49996,208.519,72.5769,64.4657,7.82419,356.125,2.91237,71.2434,16.3063,37.781,20.8239
80,SCRG1,23.222,0.0,0.0,0.609802,0.0,0.0,44.7074,0.817431,5.83464,0.0,5.45342
81,SEMA3C,89.189,182.94,17.0593,5.10211,22.9813,84.3966,41.3754,13.7044,37.1668,46.8309,24.187
82,SERHL2,5.02658,5.80047,0.0,2.94451,7.63659,0.0,0.700095,1.66477,1.57418,9.31367,11.0512
83,SFRP1,35.3095,0.0,4.72912,3.25499,0.0948535,4.28439,7.5595,1.9717,5.84876,13.2394,14.3896
84,SIDT1,0.909009,84.0145,43.0664,32.8407,14.4285,1.81069,0.900163,28.4101,4.88103,21.2172,4.71277
85,SOX10,3.84721,0.0,0.0,0.824529,0.824018,0.0,0.780131,0.281703,1.49964,6.1676,6.15337
86,SPDEF,0.141878,2.58808,0.983012,0.268316,0.0,0.790368,0.268385,0.0449808,1.43333,1.19861,2.14608
87,SPRR1B,0.0944781,0.0,0.512416,0.47054,0.0,408.354,0.0,0.0,0.0,0.0,0.669671
88,SPTLC2,28.7351,55.0856,8.20777,46.953,7.86529,11.6443,27.1889,66.6195,44.4492,10.1009,36.9972
89,SRPX,12.4869,3.35209,0.476734,1.62707,0.0,6.32479,2.96741,1.62465,13.5443,7.35316,7.7255
90,TCF7L1,11.751,1.08168,5.27969,5.73333,6.91885,8.40343,10.6981,5.12794,6.93266,15.4859,12.2126
91,TFAP2B,1.18026,83.7343,1.15901,0.0,53.7207,3.19162,0.306106,0.315354,4.9751,10.5496,1.31903
92,THBS4,8.67223,87.3978,2.09302,5.51876,1.26627,1.54847,13.8041,11.9925,19.324,0.844511,9.05913
93,TNFAIP8,5.97248,41.4164,45.8522,103.533,29.2799,24.3064,22.5981,134.107,63.4308,12.507,19.7065
94,TNFSF10,24.8142,55.0767,57.3512,60.8272,1.91878,17.6515,15.7083,74.1737,44.5186,13.4055,15.2118
95,TRIM68,7.67148,5.11825,0.415434,2.7255,0.0,0.409947,2.11095,0.417851,2.8009,0.51408,4.55783
96,TSC22D3,7.24202,11.1697,8.92594,9.88904,0.0,6.55994,2.68451,6.98571,30.3757,41.9399,47.9444
97,UBD,0.0,0.267461,74.485,63.7004,1.80293,0.319009,5.77332,70.7467,22.4284,0.0,12.4914
98,UGT2B28,0.0,0.26037,0.0,0.0371477,0.0,0.0,0.0,0.0,0.0,0.0,0.0330028
99,XBP1,26.3139,421.015,38.2012,27.5281,5.91547,34.5791,41.7376,30.3003,124.742,82.6609,87.5133
100,ZCCHC24,0.75321,0.0473286,0.0,0.0,0.0,0.781416,0.259422,0.354545,1.40477,1.23345,1.67888
