,gene_short_name,V515-06187-A1,TNT-209,TNT-134,17-00165-0_S10Aligned_cufflinks,TNT-282,17-00139-2_S9Aligned_cufflinks,17-00123-8_S16Aligned_cufflinks,TNT-186,TNT-2,TNT-278,17-00105-7_S10_cufflinks
0,ABCA8,1.07397,5.75345,17.1376,16.9844,4.67702,3.6460000000000004,6.17733,7.3715399999999995,11.3424,6.094869999999999,15.2433
1,ADRA2A,0.196819,1.18075,0.053118399999999996,0.861454,0.0181278,0.21834,0.984298,0.8646780000000001,0.725975,0.0,1.61281
2,AKAP12,3.7524300000000004,5.17876,10.3489,6.211130000000001,3.3799099999999997,2.68102,6.51828,15.2398,4.33016,4.77909,20.4997
3,ALDH3B2,34.613,5.1982800000000005,3.8153599999999996,1.1644700000000001,14.2492,27.7129,8.4669,4.60629,59.8633,1.8783400000000001,2.3132599999999996
4,APOD,101.54799999999999,12.3961,108.917,126.973,1.37445,8.01472,38.787,97.3845,61.0149,86.3132,82.3389
5,ART3,19.2103,1.0586,35.8609,44.8952,1.17116,1.5872,1.05535,63.2559,1.16911,0.0,0.37242600000000003
6,ASPN,31.1651,14.174000000000001,54.5702,13.6802,10.9442,9.948369999999999,60.2143,390.19,8.070269999999999,11.8417,41.4929
7,AZGP1,64.9749,10.708,113.833,200.774,58.3199,1.50857,11.2503,1.162,166.081,134.856,5.05436
8,BLVRB,6.57613,0.623746,0.356298,4.50545,2.42049,1.37106,2.48037,0.0,3.12197,0.0,2.24939
9,C7,0.29143,31.5904,0.40929,14.7516,0.311238,0.645289,11.3646,9.532119999999999,2.34158,19.5287,18.676
10,CCL5,1.03708,9.20102,5.13551,12.1232,7.18878,2.11983,10.7819,13.7499,69.8738,8.68593,5.25453
11,CD36,36.5005,18.8618,14.3846,83.1513,31.9388,14.3767,14.5033,39.8265,39.5145,36.6558,26.3072
12,CD52,5.15236,472.935,13.0453,40.0504,28.9883,2.72221,18.0695,29.1361,205.11599999999999,147.046,2.1478599999999997
13,CDC20,19.1111,7.589060000000001,15.5522,9.73773,16.4631,34.2285,27.82,11.82,7.6301,1.44794,2.38084
14,CHI3L1,52.4824,0.796208,37.3706,37.6528,10.2047,127.334,3.6709,4.8263300000000005,84.8944,0.1863,4.30004
15,COL2A1,124.822,0.0,74.0814,1.3761700000000001,0.205631,0.569296,0.522,8.11158,0.062383,0.0171505,0.613052
16,COL5A1,145.37,6.43656,94.0041,43.5904,8.00722,28.6234,137.917,194.264,43.5105,27.0808,145.623
17,COL5A2,202.313,6.4269300000000005,148.505,65.8261,9.29631,24.2914,174.571,232.826,58.4864,52.0394,236.74099999999999
18,CRAT,3.09639,2.4713,13.9288,5.4019,1.76532,1.5318200000000002,4.87752,4.23051,3.44216,0.810681,10.8298
19,CROT,17.2031,9.5381,20.8546,8.936739999999999,17.5883,2.58029,18.6583,17.5123,10.2353,24.511999999999997,13.6305
20,CXCL10,2.29941,44.9135,28.1758,19.6909,44.8489,20.0542,30.3093,6.97502,100.163,105.664,3.5350699999999997
21,CXCL11,0.642556,11.491,4.69776,7.802810000000001,6.8698,6.05504,15.3951,4.2247,8.15934,8.25464,1.68925
22,CXCL13,0.0413495,48.6593,5.0147699999999995,17.615,41.0339,0.924701,14.290999999999999,2.33203,48.4832,50.2738,1.16042
23,CYP4F8,0.048019099999999995,0.0,0.0,0.362664,8.548969999999999,0.0,0.09912339999999999,0.358575,0.73018,3.90855,0.0
24,DBI,412.371,62.2924,162.915,113.507,94.6861,77.3433,64.7748,100.988,140.363,90.4076,24.5286
25,DEFB1,3.16262,7.6855899999999995,0.0,0.49630100000000005,39.0385,0.254765,0.544689,0.0,21.423000000000002,0.0,0.0
26,DHCR24,38.1374,12.4287,25.671,28.1741,103.38,41.1448,53.6317,3.76716,56.9426,7.5602,10.2971
27,DUSP5,2.6614299999999997,13.6718,3.62035,3.21569,1.47901,3.5133400000000004,8.27994,1.65471,13.1152,1.86001,7.9805600000000005
28,FABP7,2.25652,0.38502800000000004,18.6299,1.89392,254.77900000000002,0.100483,0.668057,6.08378,0.0,0.47545699999999996,0.132922
29,FASN,124.609,2.64918,21.6596,103.23200000000001,13.0917,96.6952,147.439,21.0554,30.5933,1.5303,33.3583
30,FGFR4,2.32432,0.229108,1.26755,2.18025,0.356516,0.655992,7.51737,0.5648810000000001,7.583880000000001,0.381338,6.27721
31,FGL2,2.48121,18.6347,5.45068,11.3333,10.6796,1.62525,8.57437,3.35606,13.7442,6.265630000000001,1.65977
32,FOXA1,1.38574,0.921874,1.2293,2.3287299999999997,6.46327,0.595121,4.29772,0.0,55.8235,70.669,2.09953
33,FOXC1,9.10755,6.7351,35.6002,49.3215,17.1276,26.9418,131.829,30.2613,2.45497,0.656008,8.20116
34,GABRP,8.66089,463.37300000000005,1009.38,213.666,471.699,383.281,277.334,336.445,0.9442809999999999,17.6287,25.1786
35,GALNT7,12.4003,15.0174,12.1341,30.3282,26.6716,25.8265,26.1286,17.261,57.6309,177.51,11.0325
36,GBP1,41.394,181.239,193.236,174.017,203.558,102.725,185.822,31.443,297.692,53.7536,291.445
37,GCHFR,0.42253100000000005,0.152916,0.0,0.13203900000000002,0.0,0.312517,0.7959890000000001,0.0,0.886545,0.0,0.0
38,GPR87,0.9514879999999999,0.611755,1.02462,0.09515549999999999,2.89692,0.0,0.40366199999999997,0.0,0.0,0.0,0.160558
39,GZMB,1.4986,12.1013,5.879519999999999,23.5314,3.2459599999999997,2.88385,8.73698,1.2492299999999998,29.9223,8.82977,1.21038
40,HGD,4.21735,0.0,0.0,1.4383299999999999,10.2078,0.178331,0.826148,0.0,6.07336,2.51632,10.300999999999998
41,HTRA1,91.2943,4.805219999999999,62.1455,52.5467,4.14392,12.2357,151.22299999999998,107.346,34.4731,26.2691,146.35299999999998
42,IDO1,0.29142399999999996,40.1029,0.0,16.5229,39.4807,5.62665,13.8538,4.64251,30.9316,3.05783,1.67701
43,IGFBP4,13.3498,0.523827,5.52265,20.4877,0.515297,4.64699,18.2695,11.6178,3.4229199999999995,0.34994000000000003,52.3011
44,IGHM,55.218999999999994,143.454,20.2621,0.0,466.11400000000003,0.0,0.0,35.694,1396.31,94.4486,0.0
45,IGJ,20.0186,278.422,53.8699,254.797,419.336,13.1953,136.656,13.7983,761.952,361.046,234.137
46,IGKC,182.34599999999998,1074.44,1214.16,9760.16,4173.32,146.428,4362.61,604.516,30004.8,1159.8,3004.06
47,IL23A,0.049007300000000004,0.0,0.0,0.15506,0.0,0.0988448,0.164242,0.0,1.4892,0.0,0.0
48,IL33,0.8833290000000001,11.9004,2.26428,5.68884,7.39602,0.441675,1.91067,9.130989999999999,1.94905,1.50942,2.46716
49,INPP4B,37.1722,56.2819,7.97554,32.4208,3.2087,2.05355,9.8588,38.1567,40.8309,31.4489,30.0611
50,ITM2A,5.13433,31.2676,4.3337900000000005,23.9956,28.7268,6.84793,21.2797,20.666999999999998,68.16,18.3801,19.0463
51,JAM2,11.2143,8.83228,8.43175,11.0835,1.8003799999999999,1.87263,12.335,9.36512,7.89353,14.3004,18.7018
52,KCNK5,7.320460000000001,0.888863,2.40978,3.1827099999999997,1.10293,1.85105,2.75802,4.7119800000000005,0.187149,0.0171516,2.18497
53,KIAA1324,6.46799,7.930689999999999,11.1121,26.1019,28.5795,1.06691,20.5598,23.6354,55.1968,46.4182,1.93052
54,KMO,1.44589,15.3557,1.7682799999999999,3.64952,2.02878,1.54732,5.00099,0.0,15.1833,103.88600000000001,0.752159
55,KRT14,118.37100000000001,2.35315,397.356,120.57,4.47365,25.7243,30.3446,115.40700000000001,0.0,0.0,75.4352
56,KRT16,91.0343,18.1525,59.6753,40.376,85.9574,102.08200000000001,61.873000000000005,80.1762,0.579715,0.0,52.2307
57,KRT17,105.34700000000001,14.5962,765.1010000000001,147.688,109.236,178.695,101.258,252.606,21.4388,0.0,336.69300000000004
58,KRT6A,54.2242,23.0089,247.12400000000002,13.0532,81.6097,99.8324,124.455,11.3892,5.09093,12.7373,27.6181
59,KRT6B,86.6584,35.6332,93.2796,102.079,27.4725,23.0478,43.6084,14.0925,0.33282399999999995,0.0,8.2555
