,gene_short_name,V515-06187-A1,TNT-138,TNT-105,TNT-141,TNT-208,TNT-26,17-00104-2_S7Aligned_cufflinks,17-00100-2_S17Aligned_cufflinks,TNT-24,TNT-214,TNT-117
0,ABCA8,1.07397,12.6791,31.9528,68.4435,16.3134,4.23117,7.99826,2.66909,4.7176,6.30619,14.5549
1,ADRA2A,0.196819,1.91297,0.0701431,1.30754,0.492345,0.999606,0.145057,0.798061,0.167515,0.53439,1.06228
2,AKAP12,3.75243,7.20418,9.49149,7.14621,22.9325,16.1452,0.644769,2.76503,3.76727,6.27307,1.69174
3,ALDH3B2,34.613,12.4995,0.0,2.52334,7.12214,2.66442,28.0666,8.7501,0.891775,5.43093,20.3454
4,APOD,101.548,27.4739,114.32,265.929,55.8797,23.2556,6.77016,62.3337,95.7435,78.8272,63.9205
5,ART3,19.2103,0.473306,17.1801,0.0,0.39968,11.4363,6.09762,1.80536,20.4122,92.4518,17.0419
6,ASPN,31.1651,46.9364,168.207,101.719,21.4995,99.8197,3.64492,28.774,29.0862,5.46924,23.7047
7,AZGP1,64.9749,30.0339,9.073,113.574,170.612,8.42855,56.5053,6.16124,54.919,603.787,11.4011
8,BLVRB,6.57613,9.23049,0.431008,1.96374,2.03717,1.88214,1.03463,1.94294,5.63407,2.09444,1.52703
9,C7,0.29143,0.29318,5.95524,3.17775,35.7726,1.55763,0.923272,1.22548,3.52878,19.8767,0.964774
10,CCL5,1.03708,5.65268,6.45283,13.5378,3.74656,0.328596,0.26264,10.7786,34.721,9.4678,24.8368
11,CD36,36.5005,30.2316,49.5897,83.8034,21.7614,27.8522,96.9286,9.62158,13.4455,20.8269,19.3201
12,CD52,5.15236,35.721,19.3671,19.6056,78.3063,2.72588,0.315542,8.39226,55.9095,80.1085,108.542
13,CDC20,19.1111,7.31879,3.94257,0.0477458,5.1962,14.2065,15.73,16.0755,27.8803,33.0613,11.3241
14,CHI3L1,52.4824,4.73091,5.77056,0.177651,22.6745,20.8098,3.18682,6.07407,31.8305,1.5293,49.0583
15,COL2A1,124.822,28.685,4.95583,0.0,0.281686,105.473,0.0598273,1.0013,111.174,0.0,0.0492249
16,COL5A1,145.37,104.083,51.5344,76.7943,161.51,269.701,12.4204,75.7083,80.0339,23.8546,36.8377
17,COL5A2,202.313,180.779,93.8971,68.5018,119.762,409.89,14.4705,115.303,150.156,19.3943,37.1575
18,CRAT,3.09639,21.3933,3.66532,17.8855,5.62084,3.72703,12.0212,1.61387,8.24192,0.567394,2.27399
19,CROT,17.2031,25.7858,11.0311,5.49525,21.1445,5.29179,20.2671,12.8803,3.43788,12.2198,7.60702
20,CXCL10,2.29941,27.7287,20.2306,28.4844,21.9312,4.17567,0.414279,33.681,216.143,45.9677,122.946
21,CXCL11,0.642556,11.7097,4.08811,17.67,2.78925,0.0,0.0733103,13.7347,61.4537,17.161,9.78471
22,CXCL13,0.0413495,47.9078,5.10819,0.0,13.4793,1.4694,0.20138,12.9616,102.936,24.9894,37.6351
23,CYP4F8,0.0480191,0.0,1.98386,0.0,11.5078,0.0,0.0,0.0,0.444958,0.0,0.355451
24,DBI,412.371,140.302,33.3223,89.2729,363.298,99.8671,51.5305,82.3534,169.278,624.36,76.2147
25,DEFB1,3.16262,0.0,1.66839,0.0,1.37071,0.0,6.74654,2.1062,2.59478,0.0,1.98514
26,DHCR24,38.1374,10.8436,4.70632,49.9297,112.684,15.2315,67.6527,60.8572,37.4488,7.07305,32.4208
27,DUSP5,2.66143,12.0054,2.66086,20.0687,13.306,4.38127,2.25617,2.8738,10.3833,0.619154,8.2184
28,FABP7,2.25652,3.49154,5.16667,0.0,0.301185,1.10902,16.3438,10.516,0.489068,2.13492,0.985374
29,FASN,124.609,84.7906,0.486821,74.7024,9.89772,5.82045,49.9543,77.1645,41.3008,1.35786,9.33763
30,FGFR4,2.32432,0.23882,0.581223,0.0,0.446859,0.560783,0.516594,1.22252,2.47027,0.290372,0.0
31,FGL2,2.48121,8.12581,3.36412,5.29114,6.86792,1.51398,0.393938,8.12208,8.67615,7.35359,10.2123
32,FOXA1,1.38574,0.90897,6.09365,208.476,139.02,0.363042,7.66108,0.469399,1.60243,5.57404,0.275353
33,FOXC1,9.10755,22.5072,61.004,0.0,2.76586,62.2426,21.056,88.3177,88.3583,48.272,43.8821
34,GABRP,8.66089,866.449,176.336,29.198,2.12072,138.871,26.6801,227.371,896.727,124.557,1315.98
35,GALNT7,12.4003,6.7878,29.8458,26.2825,67.8158,19.6479,26.588,18.5846,24.1949,8.64044,12.4562
36,GBP1,41.394,235.575,96.5449,80.0908,105.891,54.4518,12.1963,194.719,317.85,174.836,140.223
37,GCHFR,0.422531,0.115251,0.0,0.0,0.306355,0.1355,0.190252,0.19724,0.280473,0.096755,0.348706
38,GPR87,0.951488,0.255178,4.51039,1.54697,0.183902,0.826563,21.0117,0.98858,4.14233,1.90972,1.68203
39,GZMB,1.4986,1.47182,10.8126,0.816927,12.2091,0.119188,0.0,8.62832,18.8047,3.38941,24.1368
40,HGD,4.21735,1.58196,17.1976,28.3891,2.81248,0.244245,2.79309,0.449058,3.29947,0.0,0.958811
41,HTRA1,91.2943,69.6612,22.7408,57.1879,73.8624,169.942,6.07297,55.8889,59.9396,15.8426,17.8627
42,IDO1,0.291424,5.92848,21.6275,0.0,9.37852,0.879626,0.0,48.9137,44.933,40.6568,24.9349
43,IGFBP4,13.3498,3.77543,2.69498,2.98923,1.30095,1.37054,9.80542,18.1202,5.12951,0.927897,1.75791
44,IGHM,55.219,2048.59,7.7482,32.3916,463.994,3.04095,0.0,0.0,187.014,111.369,803.919
45,IGJ,20.0186,667.293,30.9685,151.693,406.113,21.932,4.29243,238.876,472.398,159.628,225.572
46,IGKC,182.346,12117.4,125.6,368.829,6576.43,127.93,66.0953,6672.11,11973.6,2153.64,5939.7
47,IL23A,0.0490073,0.0,0.0,0.0,0.0,0.083901,0.0,0.209331,0.229037,0.0,0.872439
48,IL33,0.883329,0.0,4.22781,2.97647,8.27799,1.17252,1.19507,0.665625,1.20917,2.23115,1.801
49,INPP4B,37.1722,16.7371,15.5322,49.4555,29.8777,13.2894,7.46138,10.2353,13.4709,11.1627,14.0739
50,ITM2A,5.13433,42.6476,6.29941,0.0,14.9446,6.31847,3.30896,8.71832,17.2039,11.7579,27.0888
51,JAM2,11.2143,0.342646,8.82946,2.19326,6.14658,10.5988,3.64272,8.92198,5.36198,3.4278,2.2762
52,KCNK5,7.32046,1.87699,0.482227,0.0817072,0.205791,8.64592,0.209398,0.700376,3.72339,0.293235,1.19372
53,KIAA1324,6.46799,10.5216,7.33534,24.0352,109.379,31.4718,20.8609,8.7735,15.5619,49.3905,14.9899
54,KMO,1.44589,21.1807,8.78243,13.9778,9.14121,0.646642,2.52806,6.65857,5.29445,7.21326,7.10748
55,KRT14,118.371,12.127,49.623,19.0054,0.181523,491.849,25.0605,1582.72,11.775,2.48054,25.0607
56,KRT16,91.0343,186.521,14.973,0.0,3.55465,147.095,134.622,577.869,156.186,33.9761,72.4501
57,KRT17,105.347,58.2138,73.9639,3.52294,0.600122,165.311,37.2395,905.348,237.929,15.0611,278.511
58,KRT6A,54.2242,86.6856,49.8643,20.8774,8.43293,1080.32,43.5373,1570.27,12.9195,16.797,424.358
59,KRT6B,86.6584,18.7345,8.31075,0.0228997,0.298235,476.639,43.8515,239.098,75.9562,12.4539,210.189
60,KYNU,14.7879,8.65265,17.2198,11.4561,26.8288,4.17852,21.581,26.6823,11.8771,13.6376,9.99619
61,LBP,0.573258,0.0563157,0.669962,0.403369,3.46219,0.125061,0.118287,0.867213,0.114002,0.0,1.21431
62,LHFP,2.0952,0.295337,0.906886,0.261223,2.59058,3.19932,0.875301,1.0104,1.22997,0.275027,0.853878
63,MFAP4,1.60954,2.89731,0.276358,16.8245,6.0048,6.91442,1.09546,1.15642,4.47361,1.37538,2.21432
64,MIA,21.0747,9.04942,4.42199,0.0,0.82752,40.5309,1.31154,2.57247,9.45441,0.0,23.6586
65,MID1,36.2366,40.5075,17.306,5.32941,26.7608,18.2572,7.25231,19.8566,24.9344,32.5246,10.9271
66,MYBL1,4.60362,41.9956,29.0446,1.07033,6.48734,5.37248,4.57247,7.93711,50.6087,25.1219,10.1601
67,NEK2,17.1321,25.5223,21.2469,12.3271,4.71088,6.49804,16.4332,13.3532,7.70819,72.595,19.7613
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0,0.175048,0.0,0.0,0.0,0.0
69,OGN,1.27872,9.72322,24.8683,26.7541,5.90913,41.2163,0.290385,1.71931,7.16578,2.94053,17.9973
70,PI3,0.0,0.0,3.87613,0.0,0.538994,3.94404,0.239799,35.6836,0.310929,0.0,31.1569
71,PLEKHB1,14.583,8.74156,0.410186,0.0,0.410719,1.02927,0.980703,0.354532,3.86976,3.27526,1.84595
72,PMAIP1,1.62393,0.75427,4.45515,13.7808,0.108547,5.10806,2.90099,5.2159,2.36075,0.0,3.58485
73,PSMB9,0.0,16.2295,4.74485,4.59655,10.6131,3.97282,0.0,0.0,49.1147,21.5042,25.6842
74,PTGDS,1.49063,0.0,1.51005,0.0,7.60203,0.735852,2.26397,1.79285,2.5061,2.59815,3.76609
75,RARRES3,10.7933,32.1944,0.474576,51.7933,59.575,3.30263,1.89975,33.1648,45.1789,11.8512,39.6772
76,RTP4,0.772275,3.70618,3.08054,1.13918,0.763183,0.268113,0.151952,1.65069,8.94065,2.50685,6.17068
77,S100A1,196.638,10.0642,1.14229,0.0,12.8427,4.30791,0.0,9.94192,88.1761,11.3813,3.45831
78,S100A7,6.57916,0.0,0.287052,19.2989,0.836478,4.43188,45.4113,171.572,4.37861,2.55438,109.561
79,S100A8,3.49996,3.70699,2.19215,3.4862,3.90436,4.205,19.8689,37.7124,6.0969,0.498256,7.94437
80,SCRG1,23.222,9.10434,8.46354,0.0,1.54064,28.1591,0.0,0.0207609,8.62836,5.00511,1.41262
81,SEMA3C,89.189,48.4115,11.2917,156.839,89.8808,41.0773,42.2899,52.284,11.163,11.3266,40.4564
82,SERHL2,5.02658,0.0,1.23294,3.32934,23.9761,3.61966,3.21186,1.62858,1.56208,1.63512,1.42352
83,SFRP1,35.3095,29.8529,9.92695,1.24034,2.97351,4.2071,1.06089,0.983299,22.0046,25.2839,4.88652
84,SIDT1,0.909009,4.34556,7.38206,72.2701,17.9819,1.23219,8.90804,2.97838,3.34404,4.16664,8.4761
85,SOX10,3.84721,2.89194,0.136748,2.96958,0.200058,2.23205,0.270609,0.0116108,3.58091,0.462377,0.401648
86,SPDEF,0.141878,3.11461,0.170057,1.04922,4.01216,0.592224,0.0699543,0.0,0.433642,0.552673,0.172244
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.0,7.66609,0.0649554,0.0,0.0,1.02934
88,SPTLC2,28.7351,28.2666,17.4526,39.1107,177.357,38.188,27.6182,34.5352,59.4068,58.1008,32.9667
89,SRPX,12.4869,3.70946,1.86908,2.33744,2.6516,10.7936,1.56102,2.21329,5.28882,0.900945,1.55964
90,TCF7L1,11.751,39.6483,7.84506,5.11118,4.7443,4.24741,4.27422,7.3748,13.9768,5.49553,16.3451
91,TFAP2B,1.18026,1.48915,3.45665,5.01163,63.8229,0.561269,0.615416,1.80719,0.236124,0.0,0.301744
92,THBS4,8.67223,24.1,6.39966,63.14,17.0684,10.4444,3.75493,3.80087,4.62645,9.84095,8.9054
93,TNFAIP8,5.97248,28.0107,14.0833,12.9335,34.1046,5.72812,8.91414,11.0254,29.7009,15.2486,23.5476
94,TNFSF10,24.8142,37.2177,14.3237,72.8703,26.7468,11.9174,7.52508,45.96,125.454,16.9577,31.8891
95,TRIM68,7.67148,5.03407,6.16653,0.048427,2.18424,2.65182,0.670595,5.43264,3.02313,2.6401,1.91052
96,TSC22D3,7.24202,13.725,1.22046,3.74531,32.9086,11.3808,2.00415,6.84425,28.3699,7.05311,42.852
97,UBD,0.0,9.7009,11.7216,3.378,13.3971,1.8393,0.0,0.0,82.3521,28.6271,109.931
98,UGT2B28,0.0,0.0,22.5777,0.0,1.10677,0.0,0.0,0.0,0.0,0.0,0.0
99,XBP1,26.3139,133.375,17.2361,222.104,148.802,30.2075,18.1345,66.946,91.0118,46.6396,41.2359
100,ZCCHC24,0.75321,0.0,0.624831,0.0,1.13434,1.37962,0.13893,1.10658,1.52345,0.00335999,0.170288
