,gene_short_name,V515-06187-A1,17-00271-8_S16Aligned_cufflinks,TNT-281,TNT-158,17-00174-6_S15Aligned_cufflinks,TNT-187,17-00104-2_S7Aligned_cufflinks,17-00149-2_S3_cufflinks,17-00123-8_S16Aligned_cufflinks,TNT-16,17-00269-8_S12Aligned_cufflinks
81,SEMA3C,89.189,68.2334,32.1716,60.6751,30.0744,38.5855,42.2899,27.6404,60.4379,79.0897,30.6454
82,SERHL2,5.02658,574.127,0.112596,0.80852,16.4697,0.464766,3.21186,1.3887,4.08928,185.252,1.56572
83,SFRP1,35.3095,4.81089,4.82991,22.7723,6.85617,16.0133,1.06089,19.716,2.2113,1.82529,2.3822
84,SIDT1,0.909009,8.51488,5.19909,0.340445,1.85686,2.00952,8.90804,5.21851,5.97505,17.5978,1.95399
85,SOX10,3.84721,0.709455,0.0,3.99361,0.0243124,0.0943175,0.270609,0.287328,0.258799,0.0722504,0.878964
86,SPDEF,0.141878,3.82498,0.0,0.803342,0.604543,0.0,0.0699543,0.506156,0.409478,16.2187,0.105713
87,SPRR1B,0.0944781,0.0,0.0904638,12.3582,267.837,0.0,7.66609,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,49.9711,43.3611,48.0065,60.9163,43.004,27.6182,62.1005,30.4775,298.634,24.273
89,SRPX,12.4869,30.9274,0.0,3.10999,13.6723,10.878,1.56102,38.6601,5.96584,10.7163,4.76311
90,TCF7L1,11.751,6.54781,4.37187,23.0176,3.74559,19.9522,4.27422,18.683,20.1422,6.46698,13.2797
91,TFAP2B,1.18026,8.73733,0.00802045,0.650862,11.5213,1.45806,0.615416,9.60052,0.268108,34.228,21.966
92,THBS4,8.67223,11.9439,2.93782,4.14394,2.54931,22.4667,3.75493,15.0262,6.37277,10.0685,6.7119
93,TNFAIP8,5.97248,10.2542,22.9848,20.5731,14.5558,15.8983,8.91414,17.7323,15.8607,28.6406,8.86002
94,TNFSF10,24.8142,18.0931,43.6615,8.43641,48.0731,21.6716,7.52508,63.7544,39.6627,158.82,42.7859
95,TRIM68,7.67148,5.80638,13.5519,3.30925,7.05044,3.24729,0.670595,0.461618,3.50305,5.53874,2.03574
96,TSC22D3,7.24202,125.664,6.87321,1.19647,19.1824,8.56875,2.00415,95.8656,23.0082,35.7546,21.2128
97,UBD,0.0,0.0,137.485,3.13763,0.0,42.741,0.0,0.0,0.0,2.09e-27,0.0
98,UGT2B28,0.0,533.419,5.3234,1.31145,0.0391407,1.01673,0.0,0.0,0.053475,4.88119,0.447108
99,XBP1,26.3139,71.8158,35.2366,31.5778,57.3706,31.217,18.1345,67.0486,49.1615,282.606,25.9862
100,ZCCHC24,0.75321,2.3669,0.0,0.0,0.433047,1.74651,0.13893,5.41346,1.25453,2.67221,0.0829296
