,gene_short_name,V515-06187-A1,TNT-54,TNT-67,TNT-217,TNT-53,TNT-195,TNT-92,TNT-275,TNT-33,17-00123-8_S16Aligned_cufflinks,TNT-182
0,ABCA8,1.07397,58.0877,38.3062,13.4229,12.7482,30.7235,32.1067,4.6609,42.1504,6.17733,5.738980000000001
1,ADRA2A,0.196819,0.409427,0.801187,1.51081,0.09945930000000001,0.22465,0.187864,0.629714,0.7035100000000001,0.984298,0.0891861
2,AKAP12,3.7524300000000004,14.9386,27.6458,11.1246,2.72579,21.7435,5.51587,4.96091,6.5784,6.51828,13.2235
3,ALDH3B2,34.613,9.506730000000001,33.9557,0.0,0.586071,1.14113,8.09628,4.76105,19.4297,8.4669,0.223333
4,APOD,101.54799999999999,745.2,850.293,29.5742,108.63600000000001,604.388,227.12400000000002,27.9631,462.319,38.787,108.309
5,ART3,19.2103,3.22085,0.535039,9.09987,384.85,9.550980000000001,1.03436,30.6309,29.9479,1.05535,39.255
6,ASPN,31.1651,17.7205,175.454,13.1715,30.5316,55.6316,108.54700000000001,30.936,23.2841,60.2143,102.374
7,AZGP1,64.9749,84.4769,391.01300000000003,0.26194,239.112,268.497,23.496,0.675944,146.048,11.2503,87.2981
8,BLVRB,6.57613,1.03403,3.14037,0.6578510000000001,2.26478,4.4294,2.3271,0.581462,3.32387,2.48037,1.3189899999999999
9,C7,0.29143,70.8319,52.2921,94.6797,2.08852,32.9843,5.15895,4.90062,16.7384,11.3646,4.2449
10,CCL5,1.03708,27.218000000000004,15.48,21.6272,29.3619,35.4418,5.3861,15.9024,55.5323,10.7819,9.13623
11,CD36,36.5005,53.4162,175.37400000000002,26.1072,35.2486,82.4024,13.668,28.1601,32.6821,14.5033,31.6866
12,CD52,5.15236,206.158,39.5948,592.516,13.2733,161.817,51.077,41.958,360.04699999999997,18.0695,63.4951
13,CDC20,19.1111,3.85495,0.48260699999999995,11.5408,16.9774,6.47849,2.62069,12.0694,5.45902,27.82,8.12888
14,CHI3L1,52.4824,7.7664,4.42293,1.3713799999999998,47.8151,23.4869,93.8031,67.2472,5.50906,3.6709,54.8576
15,COL2A1,124.822,0.348718,0.0,1.01694,31.4125,2.00073,0.14571900000000002,0.23309499999999997,0.0,0.522,7.765639999999999
16,COL5A1,145.37,20.0147,143.662,14.6414,57.393,144.053,32.6411,48.0836,32.1906,137.917,91.7031
17,COL5A2,202.313,24.5429,330.43,14.9289,62.0196,131.694,57.8362,82.2014,45.924,174.571,167.34400000000002
18,CRAT,3.09639,8.035219999999999,8.76498,2.88125,4.58664,8.42276,5.01356,2.18717,3.40098,4.87752,4.193169999999999
19,CROT,17.2031,7.78597,12.809000000000001,7.566439999999999,3.7599699999999996,21.0095,13.2484,6.23139,8.39303,18.6583,4.71211
20,CXCL10,2.29941,37.7643,8.316880000000001,41.7207,1027.76,96.1112,60.784,69.4529,101.54799999999999,30.3093,167.102
21,CXCL11,0.642556,14.0366,1.3431600000000001,15.1105,117.484,15.4312,3.28281,15.7259,19.4311,15.3951,20.1739
22,CXCL13,0.0413495,33.4686,2.82177,157.641,13.8145,37.6107,10.8363,95.0912,85.5384,14.290999999999999,8.864289999999999
23,CYP4F8,0.048019099999999995,0.990511,0.0558274,0.0,0.446875,0.439154,0.0470314,0.043461400000000004,0.00161719,0.09912339999999999,0.0
24,DBI,412.371,101.01,146.65200000000002,54.1796,341.228,141.929,62.0434,83.2867,238.327,64.7748,255.49599999999998
25,DEFB1,3.16262,0.0,0.5832109999999999,0.0,1.69422,2.00535,6.211,0.0,1.17739,0.544689,0.832102
26,DHCR24,38.1374,8.20185,58.5741,1.9453900000000002,20.8399,15.8205,18.6696,3.7026199999999996,3.82499,53.6317,57.4009
27,DUSP5,2.6614299999999997,6.61308,10.2672,6.536919999999999,4.52794,4.06994,7.785639999999999,3.8547300000000004,5.034,8.27994,8.58565
28,FABP7,2.25652,5.1336699999999995,0.504147,1.1618700000000002,0.566084,3.66641,15.3098,2.26773,0.341104,0.668057,0.320356
29,FASN,124.609,14.5167,33.9861,8.13079,10.4043,3.79399,3.44193,2.4485200000000003,8.31724,147.439,2.86796
30,FGFR4,2.32432,0.111696,2.0723599999999998,3.89774,0.23045100000000002,1.3025,0.5438390000000001,0.464383,1.9194,7.51737,0.0
31,FGL2,2.48121,14.4419,8.229280000000001,24.3703,5.875319999999999,13.2934,13.8813,6.60571,16.6367,8.57437,9.52411
32,FOXA1,1.38574,14.8548,41.2711,0.0,0.2382,11.4149,4.61343,2.06513,36.9889,4.29772,8.27237
33,FOXC1,9.10755,10.7698,9.42451,5.21185,34.1132,27.8721,15.6674,35.8189,21.2141,131.829,15.3841
34,GABRP,8.66089,10.0879,101.90700000000001,12.3893,837.778,255.80599999999998,1884.93,2.98012,8.236239999999999,277.334,1005.45
35,GALNT7,12.4003,29.2673,43.7686,27.3677,12.0992,18.406,28.7253,25.0354,18.1979,26.1286,12.5692
36,GBP1,41.394,112.329,116.33,212.554,169.81099999999998,180.14700000000002,144.004,129.284,179.69400000000002,185.822,698.158
37,GCHFR,0.42253100000000005,0.0,0.176906,0.383667,0.0,0.0,0.154028,0.0,0.130833,0.7959890000000001,0.0
38,GPR87,0.9514879999999999,0.13426400000000002,0.16933,1.7766400000000002,0.6578970000000001,0.499684,1.65936,1.75632,0.702407,0.40366199999999997,0.516754
