,gene_short_name,V515-06187-A1,TNT-92,TNT-177,17-00270-5_S14Aligned_cufflinks,TNT-214,TNT-224,17-00165-0_S10Aligned_cufflinks,17-00112-1_S7_cufflinks,TNT-133,TNT-1,TNT-48
57,KRT17,105.34700000000001,130.131,538.0169999999999,11.1817,15.0611,93.2654,147.688,1.45916,3.03741,25.951999999999998,55.6381
58,KRT6A,54.2242,2.8535,53.19,10.0987,16.797,408.949,13.0532,2.22255,20.4893,1012.79,28.3598
59,KRT6B,86.6584,9.26859,256.01599999999996,0.778724,12.4539,24.2595,102.079,6.2199,0.0,30.131999999999998,17.7626
60,KYNU,14.7879,12.4711,14.4053,173.37,13.6376,20.3852,11.1346,2.99107,6.90752,371.408,2.85669
61,LBP,0.573258,0.143624,4.68855,45.7908,0.0,3.627,0.460236,0.15826099999999999,0.0,0.31748899999999997,0.0904382
62,LHFP,2.0952,0.553532,0.100909,1.6577,0.275027,1.07754,1.9569299999999998,1.0540200000000002,1.2399200000000001,0.81526,2.6772
63,MFAP4,1.60954,4.86294,2.17422,3.46351,1.3753799999999998,1.8773799999999998,6.5050300000000005,0.217392,20.6094,0.5645439999999999,21.5243
64,MIA,21.0747,21.7525,138.006,0.9026719999999999,0.0,0.9400120000000001,26.5327,13.1502,0.0,0.406346,7.72348
65,MID1,36.2366,22.1864,14.6245,8.682839999999999,32.5246,19.0041,10.6828,33.329,23.5989,34.466,29.1145
66,MYBL1,4.603619999999999,59.4487,10.595999999999998,2.82383,25.1219,3.09212,27.0975,24.2743,3.46601,1.11174,11.4978
67,NEK2,17.1321,6.27886,77.8594,4.76394,72.595,11.4109,16.908,15.7279,10.8658,8.00005,4.81712
68,NTN3,0.023557599999999998,0.0,0.0,0.0590009,0.0,0.0,0.09080039999999999,0.06245459999999999,0.0,0.0,0.0
69,OGN,1.27872,38.5116,16.3848,4.2767599999999995,2.94053,45.6164,8.876610000000001,2.06137,87.2186,3.9428199999999998,106.76799999999999
70,PI3,0.0,4.07739,0.0,0.256457,0.0,1.89675,4.34973,0.38461599999999996,0.0,1.17309,0.0
71,PLEKHB1,14.583,1.19539,3.74115,0.641142,3.27526,0.140173,8.26421,1.02114,0.0,1.82197,1.01819
72,PMAIP1,1.6239299999999999,0.914623,0.0,1.25437,0.0,13.1738,0.650526,0.170902,0.0,1.5458100000000001,1.4620799999999998
73,PSMB9,0.0,15.3154,5.711130000000001,0.0,21.5042,10.1559,0.0,10.1796,8.88371,51.6017,6.53207
74,PTGDS,1.49063,1.74508,2.28153,5.13184,2.59815,0.288846,14.0798,0.737796,2.50168,0.0,7.0991800000000005
75,RARRES3,10.7933,21.3796,0.518451,44.979,11.8512,18.9184,23.4369,12.5541,1.1592799999999999,214.764,3.7106
76,RTP4,0.772275,3.1673,0.0,0.695095,2.50685,2.87871,1.85726,0.44722,0.8344229999999999,1.68055,0.348383
77,S100A1,196.638,8.06103,36.82,0.862762,11.3813,38.8232,103.93,188.155,2.52791,0.0,6.33437
78,S100A7,6.579160000000001,9.78629,0.0,27.158,2.55438,80.8664,17.0718,0.0,0.0,1.695,5.704359999999999
79,S100A8,3.4999599999999997,17.065,0.0,34.8612,0.49825600000000003,275.425,20.8239,0.0,0.0,6.869330000000001,2.22548
80,SCRG1,23.221999999999998,0.673348,6.31794,0.0,5.00511,1.7016200000000001,5.4534199999999995,0.7337100000000001,0.08771330000000001,1.2327299999999999,8.00871
81,SEMA3C,89.189,67.1468,38.0269,57.9119,11.3266,45.6935,24.186999999999998,11.1491,120.15799999999999,26.6623,60.8777
82,SERHL2,5.02658,1.4759200000000001,11.314,544.137,1.6351200000000001,1.8443200000000002,11.0512,33.4034,15.5356,0.603352,0.107499
83,SFRP1,35.3095,20.5385,4.2594,0.39879000000000003,25.2839,0.31843499999999997,14.3896,20.9305,8.57477,0.445617,16.8272
84,SIDT1,0.9090090000000001,3.7080900000000003,0.0,15.0462,4.16664,13.8929,4.71277,2.31862,19.9844,14.2356,8.993319999999999
85,SOX10,3.84721,0.205921,1.8337,0.075293,0.46237700000000004,0.0,6.15337,7.675260000000001,0.0,0.28333800000000003,1.82181
86,SPDEF,0.141878,0.113258,0.0,7.91627,0.552673,2.45309,2.14608,3.7099300000000004,3.02298,10.6382,1.17641
87,SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,19.5733,0.669671,0.0,0.0,5.8520199999999996,0.0
88,SPTLC2,28.7351,34.9804,17.4346,85.9094,58.1008,52.7982,36.9972,50.6829,69.4324,32.4383,38.3509
89,SRPX,12.4869,6.28365,8.21848,4.128819999999999,0.9009450000000001,5.92513,7.7255,3.0148200000000003,4.51251,3.72821,18.5705
90,TCF7L1,11.751,11.4878,12.356,1.68946,5.4955300000000005,3.49831,12.2126,9.5899,1.12875,2.02222,22.2101
91,TFAP2B,1.18026,1.46155,0.0,18.7696,0.0,18.2922,1.31903,0.508347,19.6431,0.0,7.76836
92,THBS4,8.67223,20.4333,22.2968,25.4608,9.84095,43.7954,9.05913,1.5826200000000001,129.305,0.7613449999999999,53.9149
93,TNFAIP8,5.97248,27.0821,10.7572,23.6526,15.2486,26.8295,19.7065,10.0954,6.36265,12.597999999999999,20.3114
94,TNFSF10,24.8142,52.0291,37.211,29.2146,16.9577,27.5024,15.2118,4.87246,49.6478,34.7003,23.6433
95,TRIM68,7.67148,2.9636,5.86097,12.3542,2.6401,1.52447,4.55783,0.32358400000000004,5.30821,6.65522,1.04887
96,TSC22D3,7.24202,13.8093,8.69121,18.2165,7.05311,21.898000000000003,47.9444,9.21764,33.7243,19.0169,6.22922
97,UBD,0.0,81.9667,26.4524,0.0,28.6271,1.80785,12.4914,0.0,3.4039699999999997,28.7398,1.0295299999999998
98,UGT2B28,0.0,0.0313859,0.0,1018.86,0.0,1.0239200000000002,0.0330028,0.0,0.0,0.0,0.0
99,XBP1,26.3139,44.0054,11.0742,143.30200000000002,46.6396,54.6752,87.5133,135.78,168.671,50.1395,27.9336
100,ZCCHC24,0.75321,0.674429,0.08366749999999999,1.29529,0.00335999,0.847806,1.67888,0.520299,3.33165,0.502634,1.27114
