,gene_short_name,V515-06187-A1,17-00125-8_S13Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-274,TNT-297,TNT-288,TNT-313,TNT-13,17-00258-5_S5Aligned_cufflinks,TNT-56,17-00159-1_S1Aligned_cufflinks
82,SERHL2,5.02658,44.4878,2.4453,0.250193,3.68198,5.57275,0.238502,0.361312,14.0748,12.1442,1.77492
83,SFRP1,35.3095,9.57648,3.78211,9.59906,40.8617,35.9048,14.1765,26.1441,20.2949,4.78919,5.7912
84,SIDT1,0.909009,10.0237,2.94982,5.93605,2.16657,0.292844,3.70818,0.557344,6.00681,24.3258,3.49898
85,SOX10,3.84721,3.93353,1.75675,2.35841,2.94014,2.0321,0.290165,0.79293,10.7546,0.0,6.33002
86,SPDEF,0.141878,3.79168,0.0,1.32696,0.387559,0.191122,0.328509,0.365963,0.68243,1.59912,0.23276
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66537
88,SPTLC2,28.7351,31.9106,15.1177,28.8158,36.4933,37.3837,27.6522,11.7933,36.547,52.2154,39.8789
89,SRPX,12.4869,11.316,10.6326,3.21448,2.91066,13.0041,3.32821,5.93244,3.4638,5.61139,1.90092
90,TCF7L1,11.751,17.9877,13.3002,5.90954,11.6125,13.6998,11.0725,14.4279,9.43708,5.55876,7.08186
91,TFAP2B,1.18026,3.92227,1.07282,6.5627,0.54202,1.27913,0.0319616,4.86966,0.438146,34.3267,0.0
92,THBS4,8.67223,17.7867,4.27227,1.26906,11.2152,28.9139,7.02478,13.4366,5.44268,23.8532,1.58316
93,TNFAIP8,5.97248,11.2917,6.5877,21.9263,20.7664,21.5253,23.985,6.38458,14.6041,38.1764,14.9388
94,TNFSF10,24.8142,18.0064,8.1043,43.8558,18.3052,12.1125,8.09372,38.3791,16.7985,102.78,22.6113
95,TRIM68,7.67148,18.792,2.83981,0.938093,4.2845,6.38965,0.829583,4.08395,3.20251,0.825205,2.67506
96,TSC22D3,7.24202,28.8027,25.9435,2.93125,24.3684,20.7125,8.6376,15.0742,11.6497,28.3239,6.06061
97,UBD,0.0,0.0,0.0,0.0,1.14499,5.42e-51,40.1572,1.88869,0.0,13.7983,0.0
98,UGT2B28,0.0,0.392821,0.0,1.94622,2.27661,0.678299,0.0,0.567944,0.0,4.22517,0.0552717
99,XBP1,26.3139,63.704,24.8762,67.6655,30.2841,39.1318,116.723,29.0285,61.1886,65.331,111.005
100,ZCCHC24,0.75321,5.12318,3.84146,0.0424641,1.45124,1.3042,0.578819,0.0,1.27759,0.152013,0.399621
