,gene_short_name,V515-06187-A1,TNT-288,TNT-14,17-00166-3_S11Aligned_cufflinks,TNT-259,TNT-313,TNT-30,17-00214-4_S8Aligned_cufflinks,17-00165-0_S10Aligned_cufflinks,TNT-194,17-00141-7_S14Aligned_cufflinks
81,SEMA3C,89.189,24.9641,7.38516,13.7459,46.0447,19.0473,72.1543,55.6406,24.187,8.37491,75.3746
82,SERHL2,5.02658,5.57275,11.0643,17.3606,0.0,0.238502,2.18186,2.18722,11.0512,5.66259,5.89006
83,SFRP1,35.3095,35.9048,12.4205,9.12729,0.399455,14.1765,17.7648,16.7218,14.3896,9.52922,6.9682
84,SIDT1,0.909009,0.292844,4.10468,2.2453,18.1512,3.70818,1.85744,2.41022,4.71277,0.870456,5.71251
85,SOX10,3.84721,2.0321,3.30603,7.36076,0.0,0.290165,4.68053,7.53359,6.15337,1.39412,5.33047
86,SPDEF,0.141878,0.191122,1.77865,0.251675,0.0,0.328509,0.263268,0.147078,2.14608,0.123991,1.26166
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.0,0.494599,2.41108,0.669671,0.0,0.0
88,SPTLC2,28.7351,37.3837,50.5338,34.4548,51.5029,27.6522,40.6402,25.4354,36.9972,19.9639,37.3209
89,SRPX,12.4869,13.0041,1.23219,1.95249,6.79803,3.32821,7.81561,3.66182,7.7255,5.00084,4.75576
90,TCF7L1,11.751,13.6998,51.7263,15.9373,2.74681,11.0725,23.802,7.43368,12.2126,26.9459,12.9167
91,TFAP2B,1.18026,1.27913,2.54938,0.330716,0.0328593,0.0319616,0.241457,1.03148,1.31903,2.17153,2.29971
92,THBS4,8.67223,28.9139,0.667736,2.8859,13.4075,7.02478,7.56554,2.33005,9.05913,16.24,0.902938
93,TNFAIP8,5.97248,21.5253,12.4301,7.56284,33.4226,23.985,14.5838,10.1745,19.7065,15.6913,10.2742
94,TNFSF10,24.8142,12.1125,14.402,23.8705,54.1136,8.09372,14.1526,13.3069,15.2118,19.8522,8.05405
95,TRIM68,7.67148,6.38965,4.73203,2.62711,1.62023,0.829583,3.72164,1.67709,4.55783,4.04067,5.42481
96,TSC22D3,7.24202,20.7125,3.04296,4.91444,17.584,8.6376,12.506,11.9395,47.9444,20.4103,12.8591
97,UBD,0.0,5.42e-51,6.24666,0.0,86.1823,40.1572,2.27631,0.0,12.4914,8.18793,0.0
98,UGT2B28,0.0,0.678299,0.0,0.0,0.0,0.0,0.21224,0.163083,0.0330028,1.83604,0.0
99,XBP1,26.3139,39.1318,60.9409,47.1995,27.2668,116.723,33.6367,56.2418,87.5133,31.2455,63.0414
100,ZCCHC24,0.75321,1.3042,0.188213,0.869927,0.0,0.578819,0.876461,1.66138,1.67888,0.122868,3.65675
