,gene_short_name,V515-06187-A1,17-00212-8_S3Aligned_cufflinks,17-00114-7_S13_cufflinks,TNT-141,TNT-58,17-00100-2_S17Aligned_cufflinks,TNT-224,TNT-41,TNT-277,17-00118-2_S5Aligned_cufflinks,17-00165-0_S10Aligned_cufflinks
60,KYNU,14.7879,97.4717,16.3914,11.4561,9.771410000000001,26.6823,20.3852,5.3043,57.3483,4.379630000000001,11.1346
61,LBP,0.573258,18.7281,0.0,0.40336900000000003,0.0,0.8672129999999999,3.627,1.2441,0.0,0.6302840000000001,0.460236
62,LHFP,2.0952,2.08498,1.9279700000000002,0.261223,0.0553289,1.0104,1.07754,1.33469,2.84979,6.1212800000000005,1.9569299999999998
63,MFAP4,1.60954,6.34898,13.999,16.8245,0.0,1.15642,1.8773799999999998,6.62759,10.7208,30.8398,6.5050300000000005
64,MIA,21.0747,2.07213,22.0073,0.0,8.05077,2.57247,0.9400120000000001,43.488,0.0,10.3012,26.5327
65,MID1,36.2366,11.1729,15.6825,5.32941,23.0528,19.8566,19.0041,22.2624,9.22419,13.2023,10.6828
66,MYBL1,4.603619999999999,4.7565,14.8261,1.07033,23.7178,7.9371100000000006,3.09212,19.1092,8.94398,1.04872,27.0975
67,NEK2,17.1321,4.376930000000001,2.65817,12.3271,101.637,13.3532,11.4109,16.5811,2.3382,0.0,16.908
68,NTN3,0.023557599999999998,0.016492700000000002,0.0,0.0,0.0,0.0,0.0,0.098189,0.0,0.10363599999999999,0.09080039999999999
69,OGN,1.27872,17.1544,24.1344,26.7541,15.4139,1.71931,45.6164,17.5867,21.9407,18.294,8.876610000000001
70,PI3,0.0,2.95712,5.54214,0.0,1.67842,35.6836,1.89675,0.405905,0.0,12.3687,4.34973
71,PLEKHB1,14.583,0.291418,5.00022,0.0,3.9863699999999995,0.354532,0.140173,3.4508900000000002,0.175991,2.82605,8.26421
72,PMAIP1,1.6239299999999999,0.701642,0.19425,13.7808,0.0,5.2159,13.1738,3.41365,6.5842,1.26956,0.650526
73,PSMB9,0.0,0.0,17.1742,4.59655,1.84833,0.0,10.1559,19.2126,10.9249,7.70055,0.0
74,PTGDS,1.49063,14.6355,2.11065,0.0,0.0,1.79285,0.288846,1.31059,24.8969,15.6347,14.0798
75,RARRES3,10.7933,22.884,13.1396,51.7933,0.0,33.1648,18.9184,9.089089999999999,17.8497,1.02773,23.4369
76,RTP4,0.772275,1.14486,0.9233870000000001,1.1391799999999999,0.0,1.6506900000000002,2.87871,6.97178,0.0,0.0,1.85726
77,S100A1,196.638,0.346523,184.77,0.0,5.7632699999999994,9.94192,38.8232,15.2162,0.0,3.69956,103.93
78,S100A7,6.579160000000001,115.285,0.0,19.2989,5.43066,171.572,80.8664,0.0,0.0,37.0075,17.0718
79,S100A8,3.4999599999999997,11.5963,1.42492,3.4862,0.0,37.7124,275.425,2.234,0.0,37.781,20.8239
80,SCRG1,23.221999999999998,0.0353548,0.9965639999999999,0.0,6.731510000000001,0.020760900000000002,1.7016200000000001,5.2875,0.0,0.0,5.4534199999999995
81,SEMA3C,89.189,53.0699,33.7191,156.839,5.29232,52.284,45.6935,23.3876,65.9215,46.8309,24.186999999999998
82,SERHL2,5.02658,256.397,18.7642,3.32934,0.873811,1.62858,1.8443200000000002,3.43356,1.0151700000000001,9.31367,11.0512
83,SFRP1,35.3095,0.426925,15.6747,1.24034,1.5655,0.9832989999999999,0.31843499999999997,38.3568,5.733619999999999,13.2394,14.3896
84,SIDT1,0.9090090000000001,14.2961,7.32397,72.2701,0.0,2.97838,13.8929,1.50153,24.6341,21.2172,4.71277
85,SOX10,3.84721,0.04504930000000001,4.06913,2.96958,3.6267099999999997,0.0116108,0.0,1.1078299999999999,0.0,6.1676,6.15337
86,SPDEF,0.141878,9.11262,1.04377,1.04922,0.0,0.0,2.45309,0.0,0.146751,1.19861,2.14608
