,gene_short_name,V515-06187-A1,TNT-239,TNT-299,TNT-117,17-00159-1_S1Aligned_cufflinks,TNT-271,TNT-281,TNT-310,TNT-224,17-00163-6_S7Aligned_cufflinks,17-00152-9_S4Aligned_cufflinks
0,ABCA8,1.07397,6.3693599999999995,8.87917,14.5549,1.78272,19.3019,39.0365,1.50603,11.0932,0.7701479999999999,0.0
1,ADRA2A,0.196819,0.621933,0.321954,1.06228,0.424612,0.10425,0.0,0.0916352,0.5215270000000001,0.0657186,0.0
2,AKAP12,3.7524300000000004,7.243539999999999,8.3169,1.6917400000000002,1.9295900000000001,9.75869,10.6971,5.4899,12.9614,1.2357,0.0
3,ALDH3B2,34.613,6.832489999999999,2.22473,20.3454,6.39422,0.048503899999999996,4.0044699999999995,18.7299,4.94473,2.97506,159.809
4,APOD,101.54799999999999,13.232000000000001,26.3483,63.9205,18.7033,18.8019,0.10930699999999999,9.0727,72.6231,57.5143,103.494
5,ART3,19.2103,0.155376,47.8547,17.0419,4.7039800000000005,8.40444,34.497,0.270129,2.7877400000000003,80.791,69.9625
6,ASPN,31.1651,7.229310000000001,14.6382,23.7047,19.8562,13.9833,7.35584,70.5823,241.52200000000002,20.2771,0.0
7,AZGP1,64.9749,20.3111,144.884,11.4011,48.381,22.8252,48.4283,4.2314300000000005,3.9754199999999997,59.9678,8.79505
8,BLVRB,6.57613,1.9114400000000002,1.49672,1.5270299999999999,2.25105,2.31812,0.0,1.0593700000000001,3.5285300000000004,8.241610000000001,3.61882
9,C7,0.29143,63.4141,4.52315,0.964774,1.47221,16.2719,18.9547,2.8178799999999997,1.91188,1.01661,15.638
10,CCL5,1.03708,6.15495,6.02102,24.8368,6.76955,5.6622,6.88903,16.908,3.2060000000000004,0.0,0.0
11,CD36,36.5005,25.2455,80.6752,19.3201,5.67052,17.8922,17.1781,12.1829,20.0619,19.9552,0.0
12,CD52,5.15236,884.803,14.2911,108.542,14.8266,56.5306,13.2159,40.1669,21.1463,4.53303,95.8765
13,CDC20,19.1111,8.33313,4.88095,11.3241,11.107999999999999,15.4698,44.7677,24.5544,10.5139,33.2568,0.0
14,CHI3L1,52.4824,5.80837,21.8619,49.0583,50.8293,2.46457,10.2393,23.7297,3.66954,183.889,21.7065
15,COL2A1,124.822,0.441904,8.712819999999999,0.0492249,0.035312300000000005,2.82534,6.1441099999999995,0.467588,0.014313,8.5081,0.0
16,COL5A1,145.37,4.27042,36.7694,36.8377,52.708999999999996,17.2159,57.647,116.302,156.747,40.8437,18.0897
17,COL5A2,202.313,7.0651600000000006,49.6448,37.1575,119.37100000000001,18.8124,29.8201,217.037,292.85200000000003,41.0361,0.0
18,CRAT,3.09639,1.24437,4.597519999999999,2.27399,18.9193,3.4731,0.0595784,4.10859,4.7487900000000005,9.7429,0.0
19,CROT,17.2031,13.1914,13.238,7.6070199999999994,9.75512,12.1045,6.07646,3.20186,20.3725,5.1833,85.5425
20,CXCL10,2.29941,30.7011,37.0993,122.946,25.0864,37.9725,63.3418,111.71700000000001,35.6,24.1237,0.0
21,CXCL11,0.642556,4.0889999999999995,5.7525699999999995,9.78471,19.2674,13.7021,0.8563930000000001,9.69977,6.50349,1.88411,0.0
22,CXCL13,0.0413495,181.287,4.014880000000001,37.6351,8.60834,40.998000000000005,61.5422,12.3011,3.2785800000000003,1.7244700000000002,0.0
23,CYP4F8,0.048019099999999995,0.0,2.01316,0.355451,0.0,3.5366800000000005,1.1115700000000002,0.0,0.064249,0.0,0.0
24,DBI,412.371,81.9375,210.795,76.2147,107.402,128.253,104.124,156.67,71.4454,307.908,0.0
25,DEFB1,3.16262,5.28242,1.58477,1.9851400000000001,3.3835800000000003,3.92841,0.755909,1.00589,75.0567,0.14658,0.0
26,DHCR24,38.1374,9.51047,7.01083,32.4208,27.97,7.864560000000001,11.9895,31.9861,35.0216,62.1057,18.8087
27,DUSP5,2.6614299999999997,2.56,4.161490000000001,8.2184,2.6006400000000003,3.62355,1.57865,13.7116,13.804,0.552712,0.0
28,FABP7,2.25652,4.89626,8.852910000000001,0.985374,3.4121699999999997,5.5578199999999995,59.3406,1.2193399999999999,0.0,5.85038,0.0
29,FASN,124.609,4.16085,2.40165,9.33763,88.7778,6.34887,21.6485,3.16328,2.27257,95.661,133.656
30,FGFR4,2.32432,0.31004699999999996,2.10462,0.0,0.47645200000000004,2.49633,10.5211,0.08141480000000001,1.20116,4.11049,0.0
31,FGL2,2.48121,12.4948,4.40214,10.2123,6.804760000000001,6.751810000000001,6.78257,4.93389,5.29089,1.78384,0.0
32,FOXA1,1.38574,0.0622759,1.74342,0.275353,1.33065,4.95611,1.55029,1.50615,35.7877,0.108081,20.6189
33,FOXC1,9.10755,21.1296,41.9665,43.8821,35.2897,67.9424,8.70012,11.1416,9.267430000000001,78.4953,3.16898
34,GABRP,8.66089,204.747,3.8757300000000003,1315.98,225.11,86.5647,175.713,187.597,0.360717,542.8330000000001,52.1578
35,GALNT7,12.4003,36.8265,14.0614,12.4562,24.6473,16.9407,8.255519999999999,19.2626,97.6033,33.3183,12.9507
36,GBP1,41.394,123.15799999999999,101.95700000000001,140.22299999999998,275.592,131.35,535.638,338.00300000000004,95.76700000000001,46.4511,0.0
37,GCHFR,0.42253100000000005,0.276966,0.0,0.348706,0.160495,0.113979,0.0,0.17893900000000001,0.12175799999999999,0.465567,0.0
38,GPR87,0.9514879999999999,2.76913,3.18233,1.68203,0.10430199999999999,3.4406199999999996,0.519255,3.6051699999999998,5.18365,0.133773,0.0
39,GZMB,1.4986,17.8403,1.1810200000000002,24.1368,4.56122,7.384860000000001,6.77791,30.9291,3.7382199999999997,1.03451,0.0
40,HGD,4.21735,0.9746299999999999,5.35348,0.9588110000000001,0.833944,29.4843,8.127139999999999,1.62972,6.23131,24.1865,0.0
41,HTRA1,91.2943,14.7131,29.4327,17.8627,47.9099,12.6539,9.95982,34.0357,140.532,14.6065,0.0
42,IDO1,0.29142399999999996,11.0866,5.30639,24.9349,19.2801,23.1689,24.7108,38.4846,23.0307,1.14673,0.0
43,IGFBP4,13.3498,0.24547800000000003,0.510139,1.7579099999999999,7.13662,0.158976,0.5106609999999999,0.379314,1.9677200000000001,4.64398,0.0
44,IGHM,55.218999999999994,235.71400000000003,3.53685,803.919,0.0,56.023,213.67,16.8415,13.8008,18.7739,36.7639
45,IGJ,20.0186,255.014,33.8066,225.572,77.3318,155.781,378.825,50.8293,39.1471,13.3345,0.0
46,IGKC,182.34599999999998,1565.35,90.5595,5939.7,14095.2,924.153,2270.71,198.732,711.2360000000001,961.8710000000001,613.677
