,gene_short_name,V515-06187-A1,17-00140-2_S2_cufflinks,17-00166-3_S11Aligned_cufflinks,TNT-166,TNT-121,TNT-304,TNT-111,TNT-4,17-00280-7_S4Aligned_cufflinks,TNT-238,TNT-65
89,SRPX,12.4869,3.01984,1.95249,6.65442,4.75572,1.76454,9.55792,6.64019,1.21131,1.62707,1.93659
90,TCF7L1,11.751,11.4746,15.9373,16.6514,11.4588,9.31606,3.05407,7.72303,5.66091,5.73333,6.70851
91,TFAP2B,1.18026,0.613329,0.330716,0.0,0.0,0.318333,60.1361,7.52846,14.087,0.0,6.92479
92,THBS4,8.67223,1.39697,2.8859,39.9089,30.4901,5.10417,24.2651,4.58691,4.36571,5.51876,4.33286
93,TNFAIP8,5.97248,22.7301,7.56284,9.97907,7.65783,31.3755,12.6779,26.519,16.454,103.533,12.5995
94,TNFSF10,24.8142,44.791,23.8705,30.8127,34.2835,16.7768,20.7587,23.4715,132.384,60.8272,7.56815
95,TRIM68,7.67148,2.501,2.62711,3.2868,0.305368,1.01046,7.69963,0.779116,8.45792,2.7255,4.91971
96,TSC22D3,7.24202,2.33293,4.91444,13.0726,15.8148,3.52469,47.5759,19.5717,9.54262,9.88904,13.0211
97,UBD,0.0,0.0,0.0,3.85e-284,0.669742,5.88761,1.09897,6.7378,0.0,63.7004,0.0
98,UGT2B28,0.0,0.0,0.0,0.0429629,13.3265,0.0,259.096,70.8305,0.102638,0.0371477,8.16426
99,XBP1,26.3139,48.3852,47.1995,31.0008,33.0322,47.3865,180.636,57.555,304.504,27.5281,36.2975
100,ZCCHC24,0.75321,0.389981,0.869927,1.46109,0.183032,0.0,2.02662,1.65927,0.520663,0.0,0.147691
