gene_short_name,Sample1,TNT-289,TNT-58,17-00121-8_S12_cufflinks,17-00114-7_S13_cufflinks,TNT-195,TNT-44,TNT-293,TNT-85,TNT-33,TNT-318
SRPX,6.14,14.1535,0.102861,14.9014,6.34974,13.5443,14.3073,1.01191,2.96741,4.34368,4.89765
TCF7L1,5.14,13.4957,22.6994,18.4465,8.07737,6.93266,8.50101,2.28561,10.6981,13.4634,28.1337
TFAP2B,0.05,0.445715,2.55401,5.71247,0.327111,4.9751,2.00691,93.3454,0.306106,0.0871335,0.236125
THBS4,25.63,25.1457,1.68743,2.38517,4.39824,19.324,63.4373,5.02284,13.8041,74.9931,6.8529
TNFAIP8,12.28,15.142,8.26238,9.13379,19.3631,63.4308,29.6814,9.34912,22.5981,59.3159,23.671
TNFSF10,13.36,14.0271,9.4525,39.5965,13.6293,44.5186,31.8392,83.9819,15.7083,46.6286,15.4007
TRIM68,3.74,7.17307,0.251423,3.06494,2.5373900000000003,2.8009,10.9883,2.4563200000000003,2.11095,2.47509,2.08187
TSC22D3,12.84,22.6667,0.0487917,52.072,16.6763,30.3757,16.5943,10.5057,2.68451,29.4275,10.0065
UBD,11.46,0.301306,0.0,0.0,0.0,22.4284,7.67732,3.78e-11,5.77332,47.994,50.1398
UGT2B28,0.09,1.26947,0.0,2.56628,0.0,0.0,12.458,0.08143539999999999,0.0,0.165279,0.0408627
XBP1,85.13,37.5827,29.2347,159.843,73.4973,124.742,57.6598,139.92,41.7376,141.18,29.8963
ZCCHC24,1.74,1.77067,0.00572394,1.6559099999999998,0.843194,1.40477,3.90767,0.298602,0.259422,1.07989,0.360548
