,gene_short_name,V515-06187-A1,TNT-304,TNT-41,17-00156-7_S13Aligned_cufflinks,17-00270-5_S14Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks,TNT-186,TNT-300,17-00110-9_S15Aligned_cufflinks,TNT-67,TNT-154
0,ABCA8,1.07397,3.65161,13.0061,0.0,2.10963,0.969992,7.3715399999999995,2.02342,0.943892,38.3062,0.0856442
1,ADRA2A,0.196819,0.0,1.04865,0.0,0.785147,0.11788299999999999,0.8646780000000001,0.019426099999999998,0.184313,0.801187,0.0192695
2,AKAP12,3.7524300000000004,1.8245099999999999,7.11901,1.81444,3.9364199999999996,3.1793,15.2398,1.30359,0.618114,27.6458,2.75083
3,ALDH3B2,34.613,1.69334,1.4853,0.0,173.954,9.692,4.60629,11.2568,21.1902,33.9557,2.17118
4,APOD,101.54799999999999,171.87900000000002,56.6557,147.881,1702.36,100.42200000000001,97.3845,4.160830000000001,0.8471620000000001,850.293,28.4883
5,ART3,19.2103,181.128,59.7037,0.0,0.0,2.1157,63.2559,547.518,1.7045400000000002,0.535039,83.5134
6,ASPN,31.1651,54.125,247.642,0.943362,97.1702,23.3006,390.19,11.5862,8.79653,175.454,41.7317
7,AZGP1,64.9749,300.948,16.7207,99.7284,433.668,21.4744,1.162,175.447,71.6802,391.01300000000003,496.663
8,BLVRB,6.57613,4.18302,12.3493,0.0,17.5144,1.61289,0.0,0.0,3.21779,3.14037,4.764390000000001
9,C7,0.29143,1.8841599999999998,0.657578,0.0,0.913499,0.0133464,9.532119999999999,0.34566199999999997,0.145938,52.2921,0.06028340000000001
10,CCL5,1.03708,9.38296,16.4867,0.0,0.0,1.7161099999999998,13.7499,3.9392199999999997,0.0,15.48,28.65
11,CD36,36.5005,40.2595,79.5482,0.0,5.78937,9.85445,39.8265,11.0441,4.6544,175.37400000000002,27.1698
12,CD52,5.15236,85.9483,49.562,0.0,25.8947,2.0975200000000003,29.1361,21.7633,4.91219,39.5948,2.16431
13,CDC20,19.1111,16.8101,9.8534,0.0,2.98538,18.1155,11.82,26.3353,36.4559,0.48260699999999995,5.5199300000000004
14,CHI3L1,52.4824,5.51471,62.4796,0.0,16.8958,5.95113,4.8263300000000005,65.2282,0.8237700000000001,4.42293,10.7803
15,COL2A1,124.822,219.15099999999998,31.3989,19.4398,0.0,1.56677,8.11158,0.035179699999999994,20.099,0.0,0.08732410000000002
16,COL5A1,145.37,19.8955,194.514,17.3758,159.398,99.6617,194.264,35.0878,58.6796,143.662,42.7856
17,COL5A2,202.313,47.714,290.284,4.19188,332.476,144.19,232.826,51.2796,36.052,330.43,47.9239
18,CRAT,3.09639,1.28039,10.8437,0.0,35.1876,1.68144,4.23051,1.56885,7.7762199999999995,8.76498,2.39557
19,CROT,17.2031,4.937469999999999,4.9685,0.0,61.1756,13.1921,17.5123,8.746210000000001,4.61565,12.809000000000001,14.3596
20,CXCL10,2.29941,191.918,100.35799999999999,0.0,47.1377,3.2994,6.97502,153.815,4.36531,8.316880000000001,33.6507
21,CXCL11,0.642556,27.7435,17.9766,0.0,17.4057,0.923691,4.2247,16.6523,0.758763,1.3431600000000001,4.87385
22,CXCL13,0.0413495,38.1041,9.70889,0.0,13.6215,0.491278,2.33203,23.0488,0.6656380000000001,2.82177,0.332221
23,CYP4F8,0.048019099999999995,0.0,0.33720500000000003,0.0,2.87166,0.0,0.358575,0.119626,0.0,0.0558274,0.0
24,DBI,412.371,151.89700000000002,121.199,289.493,458.19199999999995,144.903,100.988,118.947,126.947,146.65200000000002,147.326
25,DEFB1,3.16262,3.25182,1.04105,0.0,2.34702,7.1645199999999996,0.0,17.0221,0.0,0.5832109999999999,0.0
26,DHCR24,38.1374,9.19186,16.0402,54.2997,130.19799999999998,68.2719,3.76716,98.1209,56.8192,58.5741,11.695
27,DUSP5,2.6614299999999997,0.5457,6.1327300000000005,0.0,3.94306,1.50819,1.65471,4.9109,1.6976,10.2672,2.10403
28,FABP7,2.25652,18.7847,2.74168,0.0,202.65,8.46856,6.08378,0.577967,0.0770102,0.504147,0.357028
29,FASN,124.609,2.77579,9.581660000000001,38.7403,778.4830000000001,52.0136,21.0554,30.4868,174.738,33.9861,52.6081
30,FGFR4,2.32432,0.0,2.54454,21.8094,0.55462,1.10201,0.5648810000000001,2.06335,3.48613,2.0723599999999998,0.327716
31,FGL2,2.48121,4.1749,5.03298,5.3298,10.955,1.70668,3.35606,5.92215,1.53472,8.229280000000001,4.60628
32,FOXA1,1.38574,2.8839599999999996,0.137919,0.0,98.2355,0.169467,0.0,3.2480700000000002,94.6264,41.2711,0.0
33,FOXC1,9.10755,23.4572,29.7138,41.8526,1.00065,116.096,30.2613,25.3759,158.749,9.42451,26.0512
34,GABRP,8.66089,963.3739999999999,693.341,467.371,1.14783,400.965,336.445,1312.73,4.8082199999999995,101.90700000000001,827.9060000000001
35,GALNT7,12.4003,22.0505,14.8009,0.0,43.2333,22.6302,17.261,28.9779,60.2869,43.7686,27.9426
36,GBP1,41.394,130.41299999999998,198.987,0.0,151.737,38.8152,31.443,381.344,51.5421,116.33,106.42200000000001
37,GCHFR,0.42253100000000005,0.0,1.48478,0.0,2.0417099999999997,0.259813,0.0,0.0,0.7533340000000001,0.176906,0.0
38,GPR87,0.9514879999999999,11.4268,1.2325700000000002,0.0,1.74747,0.842406,0.0,1.8344,0.0,0.16933,7.91863
39,GZMB,1.4986,2.90341,2.83215,0.0,6.61711,2.0079700000000003,1.2492299999999998,2.3361099999999997,2.38321,1.42534,16.5766
40,HGD,4.21735,0.424599,2.83641,509.63800000000003,27.7762,0.573859,0.0,2.68364,3.19875,22.0706,0.0
41,HTRA1,91.2943,30.6134,105.02,22.5573,156.50799999999998,101.75399999999999,107.346,15.2161,9.9117,211.365,15.4234
42,IDO1,0.29142399999999996,6.730410000000001,11.853,81.5059,19.0683,1.78266,4.64251,58.7348,3.8729,1.9392099999999999,0.0
43,IGFBP4,13.3498,0.532935,6.11079,0.0,22.6642,10.0909,11.6178,0.976242,21.2055,4.4985599999999994,0.0520306
44,IGHM,55.218999999999994,58.2375,119.191,0.0,377.42400000000004,0.0,35.694,81.722,70.363,336.39300000000003,104.77600000000001
45,IGJ,20.0186,358.417,43.2346,45.924,149.07399999999998,23.2122,13.7983,477.129,33.6758,2010.26,46.9569
46,IGKC,182.34599999999998,2858.74,735.3989999999999,5465.48,8345.27,420.755,604.516,3901.31,1866.18,9916.74,1253.87
47,IL23A,0.049007300000000004,0.20618899999999998,0.0998765,0.0,0.0,0.0,0.0,0.0811747,0.15148,0.110175,0.0
48,IL33,0.8833290000000001,0.159485,1.35198,0.0,1.6797900000000001,0.0,9.130989999999999,0.46980500000000003,0.338005,13.0023,0.0
49,INPP4B,37.1722,7.3277,9.88193,106.64399999999999,53.968999999999994,3.8836699999999995,38.1567,13.55,11.4627,53.3911,27.0667
50,ITM2A,5.13433,14.73,5.75863,0.0,6.668019999999999,0.9300889999999999,20.666999999999998,11.405999999999999,2.72788,35.0003,0.0
51,JAM2,11.2143,3.37066,6.846610000000001,0.0,14.5784,5.13911,9.36512,1.8518599999999998,2.65935,22.9359,0.47656099999999996
