,gene_short_name,V515-06187-A1,TNT-289,TNT-83,TNT-82,TNT-225,TNT-56,TNT-282,17-00157-0_S11Aligned_cufflinks,17-00166-3_S11Aligned_cufflinks,TNT-79,TNT-121
60,KYNU,14.7879,2.97186,11.6398,5.72783,19.8934,60.5616,6.11862,21.981,6.43355,2.35815,1.53855
61,LBP,0.573258,1.05612,3.66205,1.98815,0.0337865,3.02324,50.1772,2.21989,0.121301,0.166403,0.938862
62,LHFP,2.0952,0.903817,2.28782,0.487527,0.92133,1.42748,0.274286,1.74013,0.924778,0.659155,1.08578
63,MFAP4,1.60954,2.56142,3.27463,2.20211,2.71187,8.58787,3.46157,7.00268,2.07641,0.33054,3.12375
64,MIA,21.0747,27.1029,0.59864,100.141,3.69805,0.0,22.4521,91.9118,15.2975,21.456,10.0155
65,MID1,36.2366,51.5347,14.9831,29.3436,31.1013,17.1153,27.0078,38.3648,34.6828,32.2369,37.5389
66,MYBL1,4.60362,20.0227,13.5443,39.9538,11.1978,15.0244,1.09933,14.6385,64.6053,36.9854,21.0121
67,NEK2,17.1321,22.2645,10.8591,17.8017,16.6841,25.9521,11.9491,9.50352,26.2258,21.0285,23.5503
68,NTN3,0.0235576,0.0385849,0.0,0.0,0.0,0.0,0.0,0.0290064,0.0,0.0,0.0
69,OGN,1.27872,137.401,8.2237,16.5448,18.6864,48.4188,5.10016,8.20645,1.13902,6.74862,347.382
70,PI3,0.0,0.655293,0.271929,11.2038,0.351765,0.792696,111.991,1.08444,0.255808,0.596709,1.10013
71,PLEKHB1,14.583,0.181805,0.557688,4.00297,0.585629,0.0,1.64256,5.81267,6.75251,2.83392,2.79989
72,PMAIP1,1.62393,6.14423,0.719421,8.2696,4.02694,0.0,1.82572,1.60111,3.39642,2.22611,1.15643
73,PSMB9,0.0,15.8159,21.4879,8.1736,6.16222,5.67696,29.4268,9.59711,0.0,13.778,12.0092
74,PTGDS,1.49063,1.28009,0.75678,0.361893,1.73676,3.40536,0.0,8.94655,1.67329,0.10526,2.60818
75,RARRES3,10.7933,14.9686,169.065,11.6381,10.7116,35.2318,101.685,5.33786,26.6514,23.8117,3.96567
76,RTP4,0.772275,4.98935,5.00847,0.418178,1.93616,0.165472,6.15777,0.359175,5.59083,0.735006,2.66109
77,S100A1,196.638,17.868,4.87729,6.23529,16.3815,0.0,1.77668,43.4994,129.177,11.3904,2.87935
78,S100A7,6.57916,0.475356,0.174539,11.176,0.36267,11.3459,318.707,1.15754,4.80324,0.0,0.0
79,S100A8,3.49996,2.62304,1.39343,8.25177,1.96069,30.4107,366.359,2.80385,5.70424,0.245116,0.0
80,SCRG1,23.222,4.28357,0.287289,16.9336,19.2951,0.0,1.61784,5.63649,0.663198,14.0368,11.3018
81,SEMA3C,89.189,22.1075,15.3978,59.9662,29.3055,104.979,59.1956,113.926,13.7459,30.6627,75.8396
82,SERHL2,5.02658,5.33505,142.226,6.88061,1.07147,12.1442,2.15706,3.74914,17.3606,7.42684,4.62032
83,SFRP1,35.3095,29.3637,0.416292,11.0022,11.2392,4.78919,4.15131,15.0663,9.12729,8.06581,22.1675
84,SIDT1,0.909009,0.705832,16.3553,1.21553,2.56792,24.3258,5.48231,1.31951,2.2453,0.512936,5.70291
85,SOX10,3.84721,1.40946,0.0883835,2.68954,1.36651,0.0,0.0744644,6.69312,7.36076,0.356422,2.33552
86,SPDEF,0.141878,0.139067,11.802,0.0,0.0600407,1.59912,0.115434,0.0915142,0.251675,0.0,1.25775
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.0,7.65229,0.357226,0.0,0.0,0.0
88,SPTLC2,28.7351,40.9009,99.8843,31.9076,50.3319,52.2154,178.102,40.6082,34.4548,30.6108,46.7418
89,SRPX,12.4869,14.1535,2.11423,3.4502,5.677,5.61139,0.979694,11.5373,1.95249,2.00317,4.75572
90,TCF7L1,11.751,13.4957,5.28734,5.74527,4.43431,5.55876,1.45767,9.27533,15.9373,4.14436,11.4588
