,gene_short_name,V515-06187-A1,17-00166-3_S11Aligned_cufflinks,TNT-322,TNT-20,17-00165-0_S10Aligned_cufflinks,TNT-318,17-00105-7_S10_cufflinks,TNT-293,17-00159-1_S1Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks,TNT-157
56,KRT16,91.0343,133.633,89.57,1116.79,40.376,77.0578,52.2307,0.450311,27.661,944.346,29.9302
57,KRT17,105.347,144.903,75.4316,49.2694,147.688,62.6391,336.693,0.10699,192.048,1387.34,93.4954
58,KRT6A,54.2242,26.9924,9.45253,2374.3,13.0532,98.0292,27.6181,1.64438,30.5498,2603.4,114.328
59,KRT6B,86.6584,13.1079,11.8312,288.196,102.079,85.4541,8.2555,0.044044,245.352,326.775,58.34
60,KYNU,14.7879,6.43355,5.0327,106.761,11.1346,6.83481,3.08382,31.2463,9.28449,45.4193,10.0651
61,LBP,0.573258,0.121301,0.742749,0.341148,0.460236,0.759896,0.0,4.93654,0.196241,1.76553,10.5957
62,LHFP,2.0952,0.924778,0.848601,1.57651,1.95693,0.526876,7.95848,0.488182,0.894104,0.613725,0.326932
63,MFAP4,1.60954,2.07641,0.916599,4.79959,6.50503,1.666,23.1121,0.652204,0.823587,0.874124,5.34585
64,MIA,21.0747,15.2975,37.434,0.284109,26.5327,17.5343,1.86336,0.51859,0.942924,4.06612,1.63317
65,MID1,36.2366,34.6828,25.2335,14.5635,10.6828,25.3114,11.2098,21.0676,10.7215,21.615,9.65455
66,MYBL1,4.60362,64.6053,49.1399,2.23413,27.0975,57.4527,2.16644,23.7944,10.0835,13.8818,114.391
67,NEK2,17.1321,26.2258,19.8866,14.7128,16.908,38.9334,3.87849,25.7407,16.537,19.2704,25.8249
68,NTN3,0.0235576,0.0,0.0,0.0,0.0908004,0.0,0.0638543,0.0,0.0553104,0.0595422,0.0
69,OGN,1.27872,1.13902,23.0471,26.1384,8.87661,7.74081,25.744,19.9502,0.708249,15.2553,24.9941
70,PI3,0.0,0.255808,0.17783,4.28964,4.34973,0.47272,1.07606,0.630875,1.86329,46.1418,17.863
71,PLEKHB1,14.583,6.75251,0.544358,0.305631,8.26421,1.25835,0.847489,0.13943,3.64876,0.0651375,0.0
72,PMAIP1,1.62393,3.39642,5.09102,2.01131,0.650526,5.03438,0.531778,0.839744,2.72951,10.0438,1.51596
73,PSMB9,0.0,0.0,4.20788,9.26477,0.0,28.5825,0.0,8.91372,0.0,0.0,9.36826
74,PTGDS,1.49063,1.67329,0.515843,1.01545,14.0798,0.449394,11.2347,0.314559,1.85197,1.18425,7.61933
75,RARRES3,10.7933,26.6514,4.93264,28.9533,23.4369,33.635,14.9961,43.7136,16.1216,2.42794,22.5854
76,RTP4,0.772275,5.59083,3.03186,0.251186,1.85726,8.07012,1.25012,2.4733,4.29513,0.174918,4.38526
77,S100A1,196.638,129.177,36.3341,3.73478,103.93,45.1651,0.517951,0.361616,3.22839,20.9965,0.0
78,S100A7,6.57916,4.80324,0.0,115.03,17.0718,1.41924,0.777217,6.68707,21.2915,271.001,7.96798
79,S100A8,3.49996,5.70424,0.869452,113.947,20.8239,2.3352,0.306788,2.92903,3.98419,100.677,1.94246
80,SCRG1,23.222,0.663198,24.5745,2.24224,5.45342,2.32151,0.0,1.0085,0.152753,0.0193065,0.697447
