,gene_short_name,V515-06187-A1,TNT-138,17-00099-0_S15_cufflinks,TNT-220,17-00143-5_S2Aligned_cufflinks,TNT-275,TNT-311,TNT-41,TNT-259,TNT-54,17-00118-2_S5Aligned_cufflinks
91,TFAP2B,1.18026,1.48915,1.62638,3.98359,34.9977,0.61462,0.183917,0.412276,0.0328593,13.5869,10.5496
92,THBS4,8.67223,24.1,3.04118,29.7523,0.592485,14.4432,47.667,16.1641,13.4075,94.121,0.844511
93,TNFAIP8,5.97248,28.0107,33.5137,45.6794,7.87435,33.8904,21.8018,13.7256,33.4226,40.9456,12.507
94,TNFSF10,24.8142,37.2177,12.9194,33.2544,18.7849,12.908,25.8363,115.984,54.1136,35.323,13.4055
95,TRIM68,7.67148,5.03407,2.67702,1.17435,6.18412,0.257472,1.64633,4.9053,1.62023,1.61214,0.51408
96,TSC22D3,7.24202,13.725,26.8364,5.49314,43.2554,22.2448,4.78071,15.5388,17.584,38.0792,41.9399
97,UBD,0.0,9.7009,14.5019,16.25,0.0,14.192,3.54236,9.98192,86.1823,33.4749,0.0
98,UGT2B28,0.0,0.0,0.0,0.0,0.0956985,0.261173,0.409168,0.0847062,0.0,0.0,0.0
99,XBP1,26.3139,133.375,79.0623,26.5347,330.697,54.7944,28.2336,23.1296,27.2668,99.5383,82.6609
100,ZCCHC24,0.75321,0.0,0.100439,0.641638,0.280101,0.0777878,0.539957,0.70298,0.0,0.589845,1.23345
