,gene_short_name,V515-06187-A1,17-00132-8_S16Aligned_cufflinks,TNT-82,TNT-76,TNT-313,TNT-69,TNT-154,17-00111-2_S4_cufflinks,17-00116-9_S2Aligned_cufflinks,TNT-310,17-00252-2_S13Aligned_cufflinks
87,SPRR1B,0.0944781,7.15657,0.0,0.0,0.0,0.0,0.0,93.0754,20.3387,0.118248,0.0
88,SPTLC2,28.7351,23.3392,31.9076,40.9352,27.6522,27.3687,34.4312,32.5144,34.1525,30.5086,45.0153
89,SRPX,12.4869,11.9724,3.4502,8.16291,3.32821,3.85464,5.56226,8.0017,25.4276,3.37921,2.65072
90,TCF7L1,11.751,7.31608,5.74527,26.0239,11.0725,21.0061,28.9403,5.32251,17.4147,5.79892,5.74571
91,TFAP2B,1.18026,0.0,0.378274,0.0480311,0.0319616,1.01875,0.0,1.07807,7.85881,0.420905,22.5216
92,THBS4,8.67223,9.82158,5.24717,26.1723,7.02478,18.6862,46.2432,2.12714,10.1741,3.69999,15.5802
93,TNFAIP8,5.97248,25.2074,12.5866,13.5345,23.985,11.3972,15.5569,14.428,9.37209,21.7827,11.3768
94,TNFSF10,24.8142,8.99834,9.16731,11.8922,8.09372,9.12321,40.4481,21.9902,43.2856,30.3236,41.5292
95,TRIM68,7.67148,1.59547,0.680226,1.46487,0.829583,1.05924,0.70638,4.82695,3.76877,3.65989,5.67096
96,TSC22D3,7.24202,18.3978,16.1831,27.685,8.6376,2.52544,0.0,105.067,24.8325,11.0228,17.9219
97,UBD,0.0,13.8943,1.03575,15.4731,40.1572,20.0174,16.3976,0.0,0.0,94.0798,0.0
98,UGT2B28,0.0,0.0,0.0,0.0,0.0,2.47028,0.0,0.0354788,0.934496,0.318409,1.4067
99,XBP1,26.3139,45.1453,13.4489,64.7398,116.723,21.5179,50.7742,74.466,183.032,28.2853,392.314
100,ZCCHC24,0.75321,3.27612,0.289876,1.41876,0.578819,0.144769,0.0,3.40631,2.31948,0.14841,1.66041
