,gene_short_name,V515-06187-A1,TNT-328,TNT-311,TNT-80,TNT-300,17-00258-5_S5Aligned_cufflinks,17-00163-6_S7Aligned_cufflinks,17-00280-7_S4Aligned_cufflinks,TNT-223,TNT-278,TNT-154
53,KIAA1324,6.46799,14.6388,7.696439999999999,94.6725,3.78249,8.89978,29.0089,106.109,101.822,46.4182,3.6749199999999997
54,KMO,1.44589,1.46333,0.66819,33.757,2.60659,4.74365,3.8963099999999997,17.2094,124.265,103.88600000000001,0.0
55,KRT14,118.37100000000001,230.732,7.60157,5.44961,1.1598,49.9799,12.3077,20.0869,0.0,0.0,22.4748
56,KRT16,91.0343,56.5354,29.1762,6.32739,18.1238,123.37,331.452,0.9753379999999999,4.82541,0.0,48.4438
57,KRT17,105.34700000000001,3.7010099999999997,16.9229,10.6754,14.628,98.3899,128.648,40.3273,4.72114,0.0,146.226
58,KRT6A,54.2242,54.6293,1.9605599999999999,0.308611,56.762,74.7498,7.01012,2.1787400000000003,18.7566,12.7373,83.6546
59,KRT6B,86.6584,3.74309,4.66101,1.8245099999999999,75.3859,53.5423,36.4685,5.99876,4.75327,0.0,216.34799999999998
60,KYNU,14.7879,2.66025,6.33676,21.3514,25.2282,9.58681,17.2676,40.2252,86.6903,42.7789,9.76652
61,LBP,0.573258,0.20719,0.15220699999999998,1.27204,12.2516,0.358738,0.215567,0.0778297,18.9415,0.812294,10.0094
62,LHFP,2.0952,0.23956799999999998,0.938242,1.01609,0.553075,2.79094,0.448266,1.07837,0.20118699999999998,0.438417,0.145005
63,MFAP4,1.60954,2.3709,2.46772,3.7110300000000005,0.09322489999999999,10.5279,0.8498379999999999,2.88714,0.228023,1.54269,5.3912
64,MIA,21.0747,32.4655,0.679179,0.0,0.23780500000000002,14.3733,47.2477,0.8504440000000001,0.0,0.0,0.0
65,MID1,36.2366,3.49747,20.1731,17.8698,20.0863,12.8176,28.5098,1.8419299999999998,6.942819999999999,7.24832,0.0374986
66,MYBL1,4.603619999999999,11.888,35.6761,9.316239999999999,8.29579,40.251999999999995,82.4844,3.99811,6.41105,5.53364,21.4126
67,NEK2,17.1321,4.76664,26.2121,33.0849,38.2809,14.2971,32.5305,16.8509,1.32151,6.9343,33.9301
68,NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.029489799999999997,0.0,0.0959572,0.0,0.0,0.0
69,OGN,1.27872,26.9071,19.2765,24.4999,9.317730000000001,4.57913,1.08168,1.52814,23.7732,21.2801,27.0642
70,PI3,0.0,0.0,0.104431,0.0,0.0,0.0,4.07075,0.167212,0.0,0.0,0.0
71,PLEKHB1,14.583,0.613881,0.0,2.1926900000000002,1.02945,13.993,2.10874,1.5825799999999999,0.0,0.284093,0.46933199999999997
72,PMAIP1,1.6239299999999999,0.0,4.56386,0.0,3.43615,2.15123,1.47062,1.77395,0.0,0.808025,0.0
73,PSMB9,0.0,0.301134,4.98019,11.7228,13.1326,0.0,7.113580000000001,0.0,2.2066,4.4101,12.6717
74,PTGDS,1.49063,2.12735,0.644267,3.91785,0.60036,7.08018,1.03946,5.35736,0.046410599999999996,1.8187200000000001,3.71266
75,RARRES3,10.7933,2.52434,11.1266,64.2713,45.0648,23.5313,2.74916,45.1096,5.725569999999999,13.9324,0.0
76,RTP4,0.772275,0.0,1.10953,5.03062,16.0639,3.0802400000000003,2.11816,3.0403599999999997,0.0,0.08686039999999999,2.4872900000000002
77,S100A1,196.638,17.5934,2.51417,8.52798,18.1472,179.938,210.674,1.5461799999999999,11.2886,0.915583,11.4917
78,S100A7,6.579160000000001,0.0,305.178,143.445,6.39159,0.36102399999999996,4.38432,1.52681,2883.09,2.87785,0.0
79,S100A8,3.4999599999999997,3.32571,25.4144,2.6507,12.3968,2.18289,24.6743,28.2072,208.519,3.13544,2.37332
80,SCRG1,23.221999999999998,40.7982,2.59455,6.72893,0.527354,5.63925,55.2941,0.11776500000000001,0.0,4.0824300000000004,8.04444
81,SEMA3C,89.189,9.95055,13.1071,28.6527,6.19792,11.4289,13.6893,21.9289,182.94,21.9546,15.6864
82,SERHL2,5.02658,0.6588109999999999,2.84307,8.24695,2.8854900000000003,14.0748,2.30145,72.8702,5.80047,23.6951,0.266631
83,SFRP1,35.3095,24.6403,36.9399,0.560566,7.01728,20.2949,1.5730600000000001,0.32416300000000003,0.0,0.24418499999999999,0.300806
84,SIDT1,0.9090090000000001,1.07031,1.0950799999999998,15.5163,4.66646,6.00681,0.5139630000000001,22.2534,84.0145,19.3007,0.799825
85,SOX10,3.84721,0.8844200000000001,0.974734,0.0,1.22571,10.7546,0.0,0.0778642,0.0,0.0,1.1984
86,SPDEF,0.141878,0.061257900000000004,0.13159,6.83263,0.378686,0.68243,0.223563,12.1178,2.5880799999999997,1.6802599999999999,2.7313400000000003
87,SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,0.308586,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,10.6137,32.6182,67.5695,104.515,36.547,32.8332,55.1443,55.0856,47.7442,34.4312
89,SRPX,12.4869,11.3068,3.64121,1.1818799999999998,1.1670399999999999,3.4638,1.92123,1.21131,3.35209,1.06881,5.56226
90,TCF7L1,11.751,8.466569999999999,9.57248,7.0518600000000005,16.0625,9.43708,26.805,5.660909999999999,1.08168,0.853785,28.9403
91,TFAP2B,1.18026,0.8045359999999999,0.183917,107.23,0.0,0.438146,0.956076,14.087,83.7343,82.1722,0.0
92,THBS4,8.67223,6.2626,47.667,37.9981,0.41319300000000003,5.44268,1.21156,4.36571,87.3978,6.88127,46.2432
93,TNFAIP8,5.97248,5.01769,21.8018,47.828,18.8236,14.6041,8.02079,16.454,41.4164,31.3622,15.5569
94,TNFSF10,24.8142,4.20929,25.8363,74.6867,48.8902,16.7985,3.33955,132.384,55.0767,57.7496,40.4481
95,TRIM68,7.67148,0.21750500000000003,1.6463299999999998,2.5768299999999997,1.68145,3.2025099999999997,0.8307700000000001,8.45792,5.11825,0.47893100000000005,0.70638
96,TSC22D3,7.24202,6.003909999999999,4.78071,17.4109,12.245,11.6497,18.3645,9.54262,11.1697,20.531999999999996,0.0
97,UBD,0.0,0.0,3.54236,20.8482,12.4107,0.0,0.0,0.0,0.267461,6.17614,16.3976
98,UGT2B28,0.0,0.0,0.409168,0.332913,0.08589010000000001,0.0,0.0,0.10263800000000001,0.26037,23.4067,0.0
99,XBP1,26.3139,16.6502,28.2336,120.91799999999999,57.6415,61.1886,39.7686,304.504,421.015,130.299,50.7742
100,ZCCHC24,0.75321,0.0197941,0.539957,0.155914,0.0,1.27759,0.257006,0.520663,0.0473286,0.07908939999999999,0.0
