,gene_short_name,V515-06187-A1,TNT-20,TNT-158,17-00280-7_S4Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks,TNT-98,TNT-166,TNT-44,17-00212-8_S3Aligned_cufflinks,17-00099-0_S15_cufflinks,TNT-238
49,INPP4B,37.1722,100.885,19.4816,28.0165,7.95597,53.2174,18.4035,35.38,32.4049,10.0338,43.5411
50,ITM2A,5.13433,9.31718,7.52579,17.5325,8.61838,25.0447,7.833489999999999,43.8775,13.1332,12.7708,50.0355
51,JAM2,11.2143,7.333810000000001,5.915369999999999,25.3646,3.97655,5.26081,3.25852,28.1835,12.1372,2.30041,6.92667
52,KCNK5,7.320460000000001,0.0980816,1.91029,0.34133600000000003,4.97692,0.592298,7.58505,1.2931700000000002,0.226162,0.46282,1.7426099999999998
53,KIAA1324,6.46799,31.418000000000003,3.68074,106.109,0.90376,18.4207,63.5315,12.3385,22.5651,3.25853,8.14788
54,KMO,1.44589,14.145999999999999,4.77716,17.2094,3.05037,5.56081,2.3807400000000003,3.68019,51.953,15.1432,20.1133
55,KRT14,118.37100000000001,210.06099999999998,36.2754,20.0869,0.9092540000000001,10.8085,47.2158,92.8815,13.2923,11.9138,4.36773
56,KRT16,91.0343,1116.79,7.42116,0.9753379999999999,36.6867,53.1245,133.144,149.575,5.29504,114.52,33.8557
57,KRT17,105.34700000000001,49.2694,136.091,40.3273,137.314,24.3857,245.90099999999998,173.196,25.5607,198.33,28.5257
58,KRT6A,54.2242,2374.3,12.5419,2.1787400000000003,10.3745,776.28,76.9669,57.7713,18.327,94.1318,70.3375
59,KRT6B,86.6584,288.19599999999997,5.4740400000000005,5.99876,105.963,46.1464,116.964,33.1355,7.05858,156.107,46.361999999999995
60,KYNU,14.7879,106.76100000000001,4.4076900000000006,40.2252,6.34854,34.9034,3.64302,9.041360000000001,97.4717,8.68389,17.213
61,LBP,0.573258,0.341148,0.0,0.0778297,0.24971,6.07525,0.718695,0.73285,18.7281,1.6406,0.965151
62,LHFP,2.0952,1.57651,1.16419,1.07837,0.46170900000000004,0.42182200000000003,3.7082599999999997,5.4203,2.08498,1.3793,2.15408
63,MFAP4,1.60954,4.79959,0.0,2.88714,1.0224799999999998,1.8283599999999998,7.150110000000001,8.7876,6.34898,4.0017,5.6763
64,MIA,21.0747,0.284109,4.20826,0.8504440000000001,0.5800109999999999,0.0,53.5438,13.4092,2.07213,0.289898,3.15825
65,MID1,36.2366,14.5635,24.2952,1.8419299999999998,11.5278,26.0626,39.7655,18.9785,11.1729,4.405469999999999,15.5065
66,MYBL1,4.603619999999999,2.23413,82.296,3.99811,10.6239,4.37374,21.8306,42.4586,4.7565,11.605,13.2892
67,NEK2,17.1321,14.7128,63.4262,16.8509,26.3562,6.4425300000000005,6.9051,15.4104,4.376930000000001,26.0897,13.6131
68,NTN3,0.023557599999999998,0.0,0.0,0.0959572,0.0,0.0,0.0,0.0,0.016492700000000002,0.042039599999999996,0.0
69,OGN,1.27872,26.1384,27.0655,1.52814,1.35366,30.8342,8.7343,26.9847,17.1544,0.687581,10.1206
70,PI3,0.0,4.28964,4.7016,0.167212,1.8968599999999998,24.7948,1.22656,0.0,2.95712,9.48978,45.6396
71,PLEKHB1,14.583,0.305631,9.21203,1.5825799999999999,5.0627699999999995,0.0,3.8521099999999997,4.90876,0.291418,1.5546,0.23344499999999999
72,PMAIP1,1.6239299999999999,2.01131,0.0,1.77395,2.45811,0.0,0.803867,1.00094,0.701642,2.37763,4.7049900000000004
73,PSMB9,0.0,9.26477,8.527289999999999,0.0,0.0,22.5962,12.0206,8.41277,0.0,0.0,36.7315
74,PTGDS,1.49063,1.01545,0.41365100000000005,5.35736,1.8430900000000001,9.09855,1.78555,4.868469999999999,14.6355,9.95073,15.4675
75,RARRES3,10.7933,28.9533,12.6827,45.1096,6.713660000000001,32.007,9.4068,29.4438,22.884,10.4301,25.5765
76,RTP4,0.772275,0.251186,1.4921200000000001,3.0403599999999997,3.2141900000000003,1.8151,1.5382799999999999,0.707379,1.14486,0.575191,3.27616
77,S100A1,196.638,3.73478,24.8818,1.5461799999999999,13.8277,0.38298899999999997,35.0289,16.0569,0.346523,0.167765,1.30119
78,S100A7,6.579160000000001,115.03,0.0,1.52681,16.7462,55.8724,1.92766,5.847,115.285,159.537,1.9110599999999998
79,S100A8,3.4999599999999997,113.947,0.47805200000000003,28.2072,7.4687399999999995,18.9458,0.512749,5.58615,11.5963,102.79299999999999,64.4657
80,SCRG1,23.221999999999998,2.2422400000000002,10.0471,0.11776500000000001,0.353705,0.540506,8.70316,8.82788,0.0353548,0.180404,0.6098020000000001
81,SEMA3C,89.189,90.54299999999999,60.6751,21.9289,5.61644,61.4877,16.292,55.7138,53.0699,15.1164,5.10211
82,SERHL2,5.02658,53.8477,0.80852,72.8702,2.62127,8.79175,1.3535,0.26898299999999997,256.397,11.3393,2.9445099999999997
83,SFRP1,35.3095,0.547809,22.7723,0.32416300000000003,9.885769999999999,3.23093,95.0425,12.8129,0.426925,0.25972399999999995,3.2549900000000003
84,SIDT1,0.9090090000000001,38.2892,0.340445,22.2534,0.6342270000000001,18.52,4.05504,13.0942,14.2961,14.5501,32.8407
85,SOX10,3.84721,0.257498,3.99361,0.0778642,7.16494,0.545676,4.6980699999999995,1.10416,0.04504930000000001,0.0,0.8245290000000001
86,SPDEF,0.141878,4.703180000000001,0.803342,12.1178,0.302264,0.787379,1.8141900000000002,0.8678819999999999,9.11262,0.731248,0.268316
87,SPRR1B,0.09447810000000001,5.43696,12.3582,0.0,0.52413,0.0,0.0,0.0,0.06539339999999999,6.107130000000001,0.47053999999999996
88,SPTLC2,28.7351,83.8432,48.0065,55.1443,49.6177,27.576,44.4199,29.1229,69.0722,46.0317,46.953
89,SRPX,12.4869,10.2693,3.1099900000000003,1.21131,1.60124,3.13155,6.65442,14.3073,3.76485,0.586912,1.62707
90,TCF7L1,11.751,1.9552599999999998,23.0176,5.660909999999999,12.7575,6.33703,16.6514,8.50101,2.6816,6.95985,5.7333300000000005
91,TFAP2B,1.18026,0.908734,0.6508619999999999,14.087,0.0538654,1.95417,0.0,2.00691,28.0595,1.62638,0.0
92,THBS4,8.67223,98.0214,4.14394,4.36571,0.485063,5.17795,39.9089,63.4373,10.1305,3.0411799999999998,5.518759999999999
93,TNFAIP8,5.97248,22.5543,20.5731,16.454,9.44032,32.1947,9.97907,29.6814,23.0422,33.5137,103.53299999999999
94,TNFSF10,24.8142,44.2258,8.43641,132.384,32.8667,88.3038,30.8127,31.8392,48.7501,12.9194,60.8272
95,TRIM68,7.67148,5.24492,3.30925,8.45792,0.76994,3.16214,3.2868,10.9883,7.4270000000000005,2.67702,2.7255
96,TSC22D3,7.24202,28.9779,1.1964700000000001,9.54262,9.99221,13.0232,13.0726,16.5943,18.1725,26.8364,9.88904
97,UBD,0.0,0.7690520000000001,3.13763,0.0,0.0,90.6399,3.849999999999998e-284,7.67732,0.0,14.5019,63.7004
98,UGT2B28,0.0,13.4235,1.31145,0.10263800000000001,0.0,0.0,0.042962900000000005,12.458,2.89132,0.0,0.0371477
99,XBP1,26.3139,40.8036,31.5778,304.504,57.7395,162.27700000000002,31.0008,57.6598,136.75,79.0623,27.5281
100,ZCCHC24,0.75321,1.27769,0.0,0.520663,0.34524299999999997,0.351353,1.46109,3.9076699999999995,1.17116,0.100439,0.0
