,gene_short_name,V515-06187-A1,17-00122-1_S1_cufflinks,TNT-182,TNT-139,17-00103-7_S3Aligned_cufflinks,TNT-209,TNT-57,TNT-111,TNT-283,TNT-123,17-00159-1_S1Aligned_cufflinks
57,KRT17,105.34700000000001,111.463,365.74,220.483,888.039,14.5962,701.9860000000001,4.03414,8.14209,21.0044,192.048
58,KRT6A,54.2242,98.3427,53.3406,172.75400000000002,14.0728,23.0089,57.0774,2.37252,13.9138,38.9155,30.5498
59,KRT6B,86.6584,39.5837,46.4606,73.2841,25.4113,35.6332,140.572,1.76653,0.5083479999999999,7.53217,245.352
60,KYNU,14.7879,13.9844,12.2051,2.42706,14.0936,20.5119,10.002,172.138,4.35554,7.171539999999999,9.28449
61,LBP,0.573258,0.0,12.4536,0.856867,18.0162,0.266536,0.338633,32.7845,0.041098,3.1313400000000002,0.196241
62,LHFP,2.0952,0.971894,1.32484,0.7534930000000001,1.44218,0.986658,1.29417,2.58615,1.06431,0.700106,0.8941040000000001
63,MFAP4,1.60954,0.646041,2.04239,1.29656,11.969000000000001,1.31587,5.1227599999999995,10.3604,0.188581,0.711885,0.8235870000000001
64,MIA,21.0747,2.24355,6.42661,42.9602,0.0,2.02941,0.850025,0.0,1.9076,3.80292,0.942924
65,MID1,36.2366,19.3349,24.2511,13.3447,16.711,13.1301,33.3046,15.5697,134.299,29.3874,10.7215
66,MYBL1,4.603619999999999,3.20131,19.1182,54.0697,2.44602,20.9162,10.4917,3.49325,5.02566,111.205,10.0835
67,NEK2,17.1321,9.729460000000001,12.3498,89.38,16.632,8.198960000000001,35.0042,4.20757,32.5632,33.2685,16.537
68,NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0553104
69,OGN,1.27872,0.491951,8.4231,11.8601,33.1891,16.9272,16.0085,13.2351,17.6911,18.6286,0.708249
70,PI3,0.0,13.0826,5.8118,0.749434,56.2403,36.0043,0.744111,0.0,0.836548,0.281125,1.8632900000000001
71,PLEKHB1,14.583,0.0,0.536067,1.25768,7.593939999999999,0.9378920000000001,5.52137,0.639033,1.33354,0.239575,3.64876
72,PMAIP1,1.6239299999999999,0.701753,0.49776400000000004,5.27086,1.49607,3.86427,3.21203,0.33408899999999997,1.46853,1.6800599999999999,2.72951
73,PSMB9,0.0,0.0,10.517000000000001,8.619110000000001,0.0,39.4181,3.9861800000000005,4.54106,33.3966,5.92243,0.0
74,PTGDS,1.49063,10.8266,1.53705,3.6436800000000003,1.97478,10.7944,0.8711840000000001,0.542022,0.60063,17.2444,1.8519700000000001
75,RARRES3,10.7933,3.24346,40.3436,18.0742,16.534000000000002,21.1557,4.60827,30.5666,64.8345,7.29205,16.1216
76,RTP4,0.772275,0.0,1.94452,6.42063,0.8455010000000001,4.54023,3.89184,0.783504,2.64071,1.06162,4.29513
77,S100A1,196.638,0.0,7.35982,45.0482,0.319159,2.1962200000000003,39.311,0.248466,2.17375,46.336999999999996,3.22839
78,S100A7,6.579160000000001,7.52054,4.83983,7.319660000000001,0.0,1.53294,1.0745200000000001,1.10461,0.0,25.5385,21.2915
79,S100A8,3.4999599999999997,12.2914,3.06508,2.84797,7.16315,71.2434,0.912848,5.80152,1.97965,3.59375,3.9841900000000003
80,SCRG1,23.221999999999998,0.0,2.32754,0.985764,0.0,0.817431,51.566,1.19671,0.09951310000000001,27.9532,0.152753
81,SEMA3C,89.189,58.1962,33.6478,22.0941,30.594,13.7044,14.4221,36.4009,4.05474,16.9621,5.02335
82,SERHL2,5.02658,9.48451,2.16735,2.80262,2.41013,1.66477,2.41741,546.021,18.7518,1.43949,1.77492
83,SFRP1,35.3095,0.7392770000000001,9.46982,15.2094,2.36344,1.9717,41.9017,2.2210799999999997,0.0,31.8088,5.7912
84,SIDT1,0.9090090000000001,11.5365,1.16947,1.9708900000000003,3.21991,28.4101,1.0019,22.7282,23.4269,1.94103,3.4989800000000004
85,SOX10,3.84721,1.4270100000000001,1.41359,3.85785,0.0,0.28170300000000004,4.406619999999999,0.122019,0.0,0.757518,6.330019999999999
86,SPDEF,0.141878,1.55112,0.0,0.6927949999999999,0.08195319999999999,0.04498080000000001,0.026727499999999998,8.59881,7.9692,0.285567,0.23276
