,gene_short_name,V515-06187-A1,17-00123-8_S16Aligned_cufflinks,17-00109-8_S14Aligned_cufflinks,TNT-271,17-00116-9_S2Aligned_cufflinks,TNT-219,TNT-209,TNT-81,TNT-282,17-00252-2_S13Aligned_cufflinks,TNT-201
60,KYNU,14.7879,11.4566,11.2024,11.4863,6.18401,8.8547,20.5119,5.33408,6.11862,44.1455,2.62625
61,LBP,0.573258,0.122071,0.334001,1.15844,0.0,0.0,0.266536,0.150571,50.1772,6.03514,0.99451
62,LHFP,2.0952,1.63633,5.09697,0.986343,5.35082,1.40999,0.986658,0.672579,0.274286,1.97984,0.828257
63,MFAP4,1.60954,17.9225,33.1626,0.80546,25.4718,8.48944,1.31587,1.4602,3.46157,4.70685,5.27245
64,MIA,21.0747,11.4061,0.0,3.92295,11.8188,1.07783,2.02941,0.780207,22.4521,0.644031,9.45003
65,MID1,36.2366,30.2846,24.305,12.7798,23.0088,3.86644,13.1301,14.4472,27.0078,3.51415,69.4015
66,MYBL1,4.60362,4.08454,9.16538,22.5291,2.02718,9.22631,20.9162,99.5216,1.09933,2.22804,42.8867
67,NEK2,17.1321,16.9986,0.0,25.2859,0.774146,6.11541,8.19896,58.8953,11.9491,6.4397,21.1913
68,NTN3,0.0235576,0.0802801,0.164755,0.0300728,0.0,0.0,0.0,0.0,0.0,0.230461,0.0
69,OGN,1.27872,11.4043,69.1051,16.0821,78.5414,9.62504,16.9272,6.71681,5.10016,6.22191,8.84056
70,PI3,0.0,4.22017,42.1368,0.380187,12.7654,0.0,36.0043,0.210946,111.991,0.0,0.0
71,PLEKHB1,14.583,2.32813,0.0,1.52853,1.59507,0.163102,0.937892,1.09671,1.64256,0.809535,4.58273
72,PMAIP1,1.62393,5.81066,0.0,3.59811,0.32492,5.16143,3.86427,4.08651,1.82572,0.213336,5.05632
73,PSMB9,0.0,0.0,0.0,11.5524,0.0,11.1204,39.4181,20.2986,29.4268,0.0,5.58187
74,PTGDS,1.49063,13.9522,15.7746,4.04427,21.3059,11.7022,10.7944,3.21588,0.0,2.37524,0.552674
75,RARRES3,10.7933,34.8346,4.08928,18.4448,19.6742,45.042,21.1557,17.2398,101.685,26.589,16.6005
76,RTP4,0.772275,0.785719,0.0,4.43542,0.674889,2.86061,4.54023,4.62512,6.15777,1.25284,2.466
