,gene_short_name,V515-06187-A1,TNT-272,TNT-81,TNT-282,17-00113-4_S11_cufflinks,TNT-269,TNT-16,TNT-53,TNT-322,TNT-265,17-00140-2_S2_cufflinks
63,MFAP4,1.60954,3.68584,1.4602,3.46157,8.52027,0.951592,33.4724,1.21515,0.916599,3.21895,5.13046
64,MIA,21.0747,16.5155,0.780207,22.4521,5.36339,5.15897,0.250469,8.06811,37.434,2.32658,10.8721
65,MID1,36.2366,35.9257,14.4472,27.0078,19.5958,20.813,17.0436,10.9874,25.2335,7.78904,28.4416
66,MYBL1,4.60362,8.01273,99.5216,1.09933,34.5411,21.5336,5.06878,145.508,49.1399,65.958,24.7996
67,NEK2,17.1321,14.4268,58.8953,11.9491,35.7282,19.2192,4.06294,78.344,19.8866,24.9457,46.8643
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0,0.0,0.0499616,0.0,0.0,0.167211
69,OGN,1.27872,4.63833,6.71681,5.10016,9.56079,10.316,107.645,18.1887,23.0471,9.22293,1.7513
70,PI3,0.0,1.75987,0.210946,111.991,14.1712,1.10054,0.0,4.59305,0.17783,0.138156,13.2193
71,PLEKHB1,14.583,4.17103,1.09671,1.64256,1.27312,1.49254,0.257994,0.313393,0.544358,1.90916,1.48628
72,PMAIP1,1.62393,6.87497,4.08651,1.82572,13.1758,4.10292,0.652403,3.49543,5.09102,3.11746,8.42044
73,PSMB9,0.0,9.40904,20.2986,29.4268,0.0,11.1926,2.22437,6.66335,4.20788,35.3842,0.0
74,PTGDS,1.49063,0.752749,3.21588,0.0,4.56134,1.94719,3.89858,0.588428,0.515843,15.2188,16.1707
75,RARRES3,10.7933,20.9999,17.2398,101.685,5.6112,17.6594,35.4638,7.36159,4.93264,46.8306,4.27915
76,RTP4,0.772275,0.749472,4.62512,6.15777,3.38501,2.94246,0.473043,2.73071,3.03186,11.5963,13.7556
77,S100A1,196.638,6.65775,7.54413,1.77668,4.30015,8.73881,0.428082,28.8386,36.3341,4.29134,15.8769
78,S100A7,6.57916,239.183,2.04606,318.707,0.277898,2.95783,2.50147,226.527,0.0,22.3707,301.482
79,S100A8,3.49996,259.716,3.01338,366.359,5.84994,3.39661,10.1171,44.2431,0.869452,1.86021,151.92
80,SCRG1,23.222,1.5624,48.1519,1.61784,0.0855807,1.87914,4.35705,6.45002,24.5745,0.439987,0.17457
81,SEMA3C,89.189,33.857,6.0655,59.1956,31.7723,25.4501,79.0897,8.49986,24.3407,22.3716,72.0489
82,SERHL2,5.02658,2.16369,2.5315,2.15706,1.81287,3.41625,185.252,0.96246,6.08545,2.64179,8.46437
83,SFRP1,35.3095,6.14424,12.993,4.15131,1.93791,3.45491,1.82529,17.0348,26.554,0.189268,2.53916
84,SIDT1,0.909009,1.06168,4.27793,5.48231,1.03892,4.39133,17.5978,1.47696,1.77926,23.2043,3.1283
85,SOX10,3.84721,1.368,3.87501,0.0744644,1.62839,0.850839,0.0722504,2.81897,2.17461,1.01938,5.45062
86,SPDEF,0.141878,0.0265239,0.0297448,0.115434,0.0,0.0780796,16.2187,0.0299376,0.516921,0.0799588,0.141015
87,SPRR1B,0.0944781,0.0,0.0,7.65229,0.0,0.486325,0.0,0.0,0.0,0.0,137.288
88,SPTLC2,28.7351,34.3879,32.8837,178.102,37.4772,49.8859,298.634,25.3893,35.8602,39.5264,33.5879
