,gene_short_name,V515-06187-A1,TNT-141,TNT-210,17-00116-9_S2Aligned_cufflinks,TNT-138,TNT-177,TNT-321,TNT-217,TNT-195,TNT-270,17-00156-7_S13Aligned_cufflinks
50,ITM2A,5.13433,0.0,39.1693,74.617,42.6476,0.0,8.807739999999999,54.1887,29.3389,3.5192099999999997,0.0
51,JAM2,11.2143,2.19326,9.67866,38.1645,0.342646,0.0,21.0118,6.64111,18.4024,5.26089,0.0
52,KCNK5,7.320460000000001,0.0817072,0.5835279999999999,0.880842,1.8769900000000002,9.51881,0.20702399999999999,0.535433,0.025733199999999998,0.0564726,1.21499
53,KIAA1324,6.46799,24.0352,23.6154,38.8219,10.5216,52.1132,3.4121599999999996,8.98162,8.69715,91.0199,148.542
54,KMO,1.44589,13.9778,28.6846,3.63311,21.1807,1.26288,5.43145,11.5546,17.7686,63.0281,0.0
55,KRT14,118.37100000000001,19.0054,2.74332,216.08,12.127,321.084,0.558435,0.375188,11.6825,0.044037400000000004,598.006
56,KRT16,91.0343,0.0,23.75,257.9,186.521,110.288,0.667732,0.0,5.14653,0.556193,806.332
57,KRT17,105.34700000000001,3.52294,30.2448,579.0319999999999,58.2138,538.0169999999999,0.23003200000000001,4.22886,44.1026,2.66424,533.669
58,KRT6A,54.2242,20.8774,107.251,954.628,86.6856,53.19,0.310825,4.91217,7.37833,12.0715,2951.55
59,KRT6B,86.6584,0.022899700000000002,120.655,358.395,18.7345,256.01599999999996,0.199049,0.0,22.689,1.7819200000000002,870.998
60,KYNU,14.7879,11.4561,31.8261,6.18401,8.65265,14.4053,4.2388699999999995,16.5639,7.339639999999999,368.811,0.0
61,LBP,0.573258,0.40336900000000003,1.41346,0.0,0.05631569999999999,4.68855,0.29225500000000004,1.05449,0.0,115.524,0.0
62,LHFP,2.0952,0.261223,1.50736,5.35082,0.295337,0.100909,0.10813800000000001,5.05722,0.234188,0.41279,0.0
63,MFAP4,1.60954,16.8245,2.77163,25.4718,2.89731,2.17422,0.0,8.69345,10.6199,0.0702492,0.0
64,MIA,21.0747,0.0,30.7945,11.8188,9.04942,138.006,2.7576,0.0,0.558431,0.0,0.0
65,MID1,36.2366,5.32941,25.749000000000002,23.0088,40.5075,14.6245,7.1310199999999995,8.06621,16.7236,3.5689599999999997,0.0
66,MYBL1,4.603619999999999,1.07033,11.9977,2.02718,41.9956,10.595999999999998,16.0403,17.1522,57.5484,4.90067,0.0
67,NEK2,17.1321,12.3271,18.4369,0.774146,25.5223,77.8594,22.3191,5.67865,22.1877,4.39891,0.0
68,NTN3,0.023557599999999998,0.0,0.035751,0.0,0.0,0.0,0.057666699999999994,0.0,0.0,0.0,0.0
69,OGN,1.27872,26.7541,3.78341,78.5414,9.72322,16.3848,21.7832,18.8553,40.6724,3.5064300000000004,0.0
70,PI3,0.0,0.0,0.0,12.7654,0.0,0.0,1.18232,0.0,0.19831500000000002,1.7993400000000002,0.0
71,PLEKHB1,14.583,0.0,1.56536,1.59507,8.74156,3.74115,0.24111999999999997,1.13715,0.389207,0.0,0.0
72,PMAIP1,1.6239299999999999,13.7808,3.09234,0.32492,0.75427,0.0,5.21404,0.0,2.54785,1.02141,0.0
73,PSMB9,0.0,4.59655,18.2534,0.0,16.2295,5.711130000000001,10.169,36.9087,22.4078,5.21137,0.0
74,PTGDS,1.49063,0.0,13.040999999999999,21.3059,0.0,2.28153,0.17015999999999998,30.906,17.0388,0.19447,48.2798
75,RARRES3,10.7933,51.7933,110.446,19.6742,32.1944,0.518451,9.3398,14.4303,39.2069,54.2952,12.3192
76,RTP4,0.772275,1.1391799999999999,2.80194,0.6748890000000001,3.7061800000000003,0.0,0.9759120000000001,9.09239,2.39704,0.515617,0.0
77,S100A1,196.638,0.0,5.722569999999999,2.97989,10.0642,36.82,0.0,1.4650299999999998,8.99812,0.7173039999999999,17.41
78,S100A7,6.579160000000001,19.2989,13.8936,13.0315,0.0,0.0,0.0,0.0,10.7501,6.2457400000000005,0.0
