,gene_short_name,V515-06187-A1,TNT-139,TNT-50,TNT-83,TNT-218,17-00127-8_S3Aligned_cufflinks,TNT-76,TNT-58,TNT-269,17-00110-9_S15Aligned_cufflinks,TNT-214
77,S100A1,196.638,45.0482,57.1312,4.87729,2.1712599999999997,0.0,2.02478,5.7632699999999994,8.73881,17.525,11.3813
78,S100A7,6.579160000000001,7.319660000000001,21.4672,0.174539,6.70688,0.0,1.7490299999999999,5.43066,2.95783,0.0,2.55438
79,S100A8,3.4999599999999997,2.84797,4.7933699999999995,1.39343,5.3621300000000005,0.0,8.5793,0.0,3.39661,1.75952,0.49825600000000003
80,SCRG1,23.221999999999998,0.985764,0.9672209999999999,0.28728899999999996,2.0477,0.0,0.15075,6.731510000000001,1.8791400000000003,0.0,5.00511
81,SEMA3C,89.189,22.0941,140.37,15.3978,54.7683,11.4171,31.7132,5.29232,25.4501,13.6146,11.3266
82,SERHL2,5.02658,2.80262,12.6058,142.226,0.398353,0.0,2.36334,0.873811,3.41625,3.3723199999999998,1.6351200000000001
83,SFRP1,35.3095,15.2094,16.7954,0.416292,9.11303,2.21414,10.8045,1.5655,3.45491,11.7983,25.2839
84,SIDT1,0.9090090000000001,1.9708900000000003,1.63791,16.3553,10.4605,0.0,2.9025,0.0,4.39133,26.2512,4.16664
85,SOX10,3.84721,3.85785,0.0526336,0.0883835,0.09406239999999999,7.96475,4.684069999999999,3.6267099999999997,0.8508389999999999,13.8201,0.46237700000000004
86,SPDEF,0.141878,0.6927949999999999,3.06071,11.802,0.0,0.0,0.0,0.0,0.0780796,10.8008,0.552673
87,SPRR1B,0.09447810000000001,0.0,0.10400699999999999,0.0,0.0,0.0,0.0,0.0,0.486325,0.0,0.0
88,SPTLC2,28.7351,99.0664,168.345,99.8843,33.454,75.7357,40.9352,4.23276,49.8859,18.5445,58.1008
89,SRPX,12.4869,7.10769,3.51456,2.11423,0.6244350000000001,0.0,8.16291,0.102861,4.5408,0.814167,0.9009450000000001
90,TCF7L1,11.751,12.025,8.4502,5.28734,16.0211,18.2386,26.0239,22.6994,7.46634,26.4978,5.4955300000000005
91,TFAP2B,1.18026,1.54039,6.84501,91.2466,0.0511936,1.05255,0.0480311,2.55401,0.547532,19.6334,0.0
92,THBS4,8.67223,16.9838,6.72779,8.67857,4.25511,0.0,26.1723,1.68743,32.1965,2.78039,9.84095
93,TNFAIP8,5.97248,18.1646,16.5976,26.934,37.9827,30.9,13.5345,8.26238,20.2453,10.863,15.2486
94,TNFSF10,24.8142,42.7781,21.0228,50.7573,30.9646,12.2587,11.8922,9.4525,17.3422,10.6811,16.9577
95,TRIM68,7.67148,0.0549879,2.0903099999999997,3.34384,3.6204699999999996,0.0,1.4648700000000001,0.251423,1.25878,4.71341,2.6401
96,TSC22D3,7.24202,0.42588000000000004,16.4595,77.8816,13.5572,0.0,27.685,0.0487917,6.35501,6.786910000000001,7.05311
97,UBD,0.0,10.9428,1.46836,1.8077400000000001,85.5883,1.54253,15.4731,0.0,20.2151,0.0,28.6271
98,UGT2B28,0.0,0.0,0.036528,0.0177382,0.0,0.0,0.0,0.0,1.55169,0.0,0.0
99,XBP1,26.3139,92.5017,53.3026,206.047,25.345,25.4364,64.7398,29.2347,81.4529,58.4986,46.6396
100,ZCCHC24,0.75321,2.05055,2.49551,4.52648,0.351457,0.0,1.41876,0.00572394,0.41810299999999995,0.532574,0.00335999
