,gene_short_name,V515-06187-A1,TNT-167,TNT-138,17-00143-5_S2Aligned_cufflinks,17-00100-2_S17Aligned_cufflinks,TNT-321,TNT-277,TNT-217,TNT-26,TNT-166,TNT-204
80,SCRG1,23.222,0.0,9.10434,0.0,0.0207609,2.90619,0.0,0.0,28.1591,8.70316,0.700362
81,SEMA3C,89.189,29.3804,48.4115,17.3161,52.284,5.44746,65.9215,0.384932,41.0773,16.292,55.0883
82,SERHL2,5.02658,475.086,0.0,16.2918,1.62858,0.718039,1.01517,6.73379,3.61966,1.3535,56.482
83,SFRP1,35.3095,4.29796,29.8529,0.528364,0.983299,11.2555,5.73362,3.47615,4.2071,95.0425,1.93916
84,SIDT1,0.909009,43.6153,4.34556,14.89,2.97838,2.17142,24.6341,41.6228,1.23219,4.05504,17.7867
85,SOX10,3.84721,2.04258,2.89194,0.0,0.0116108,1.45691,0.0,0.696051,2.23205,4.69807,0.0
86,SPDEF,0.141878,18.284,3.11461,15.935,0.0,0.0,0.146751,0.452909,0.592224,1.81419,5.67909
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0649554,0.0,0.0,0.0,0.0,0.0,1.11173
88,SPTLC2,28.7351,100.115,28.2666,94.7651,34.5352,12.506,43.5769,37.9831,38.188,44.4199,38.3141
89,SRPX,12.4869,3.04974,3.70946,0.776788,2.21329,1.2381,6.43555,3.18607,10.7936,6.65442,1.88131
90,TCF7L1,11.751,7.44906,39.6483,14.8675,7.3748,15.7481,1.6715,4.03289,4.24741,16.6514,2.498
91,TFAP2B,1.18026,88.6032,1.48915,34.9977,1.80719,0.0,8.63893,0.0,0.561269,0.0,27.5623
92,THBS4,8.67223,13.5348,24.1,0.592485,3.80087,20.2648,20.1354,8.61506,10.4444,39.9089,52.0386
93,TNFAIP8,5.97248,26.9164,28.0107,7.87435,11.0254,25.2009,99.2981,114.787,5.72812,9.97907,55.4688
94,TNFSF10,24.8142,7.97765,37.2177,18.7849,45.96,16.3129,34.8402,38.1127,11.9174,30.8127,27.04
95,TRIM68,7.67148,3.56293,5.03407,6.18412,5.43264,0.240721,0.298528,2.09101,2.65182,3.2868,2.84899
96,TSC22D3,7.24202,81.2312,13.725,43.2554,6.84425,0.752439,9.40428,49.9032,11.3808,13.0726,16.318
97,UBD,0.0,1.58e-09,9.7009,0.0,0.0,41.4485,30.8867,47.6368,1.8393,3.85e-284,35.4542
98,UGT2B28,0.0,364.95,0.0,0.0956985,0.0,0.262825,1.26802,0.0,0.0,0.0429629,0.492406
99,XBP1,26.3139,79.6914,133.375,330.697,66.946,23.6254,32.9098,35.8761,30.2075,31.0008,341.116
100,ZCCHC24,0.75321,0.764751,0.0,0.280101,1.10658,0.411487,0.173812,1.33689,1.37962,1.46109,1.14291
