,gene_short_name,V515-06187-A1,TNT-201,TNT-33,TNT-186,TNT-167,TNT-218,17-00159-1_S1Aligned_cufflinks,TNT-14,17-00105-7_S10_cufflinks,17-00131-5_S8Aligned_cufflinks,TNT-24
86,SPDEF,0.141878,1.48852,7.13518,1.47995,18.284000000000002,0.0,0.23276,1.77865,0.0,0.05445850000000001,0.433642
87,SPRR1B,0.09447810000000001,1.12615,0.0,0.0,0.0,0.0,2.6653700000000002,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,55.1168,86.3208,30.6768,100.115,33.454,39.8789,50.5338,15.1177,20.6005,59.4068
89,SRPX,12.4869,4.59853,4.34368,11.4884,3.0497400000000003,0.6244350000000001,1.9009200000000002,1.23219,10.6326,0.210772,5.288819999999999
90,TCF7L1,11.751,18.7519,13.4634,17.1422,7.44906,16.0211,7.081860000000001,51.7263,13.3002,38.0919,13.9768
91,TFAP2B,1.18026,0.514811,0.0871335,0.129733,88.6032,0.0511936,0.0,2.5493799999999998,1.07282,0.0,0.23612399999999997
92,THBS4,8.67223,13.2923,74.9931,28.225,13.5348,4.25511,1.5831600000000001,0.667736,4.27227,0.5885859999999999,4.62645
93,TNFAIP8,5.97248,10.9691,59.3159,3.41552,26.9164,37.9827,14.9388,12.4301,6.5877,18.0039,29.7009
94,TNFSF10,24.8142,31.0437,46.6286,29.4987,7.97765,30.9646,22.6113,14.402000000000001,8.1043,282.779,125.454
95,TRIM68,7.67148,0.516001,2.4750900000000002,8.30637,3.56293,3.6204699999999996,2.6750599999999998,4.73203,2.83981,5.80985,3.02313
96,TSC22D3,7.24202,7.32937,29.4275,1.6837,81.2312,13.5572,6.06061,3.04296,25.9435,4.80127,28.3699
97,UBD,0.0,3.42841,47.994,3.0822700000000003,1.58e-09,85.5883,0.0,6.246659999999999,0.0,36.2625,82.3521
98,UGT2B28,0.0,1.67524,0.165279,0.0,364.95,0.0,0.0552717,0.0,0.0,0.103177,0.0
99,XBP1,26.3139,37.2038,141.18,24.5811,79.6914,25.345,111.005,60.9409,24.8762,41.0862,91.0118
100,ZCCHC24,0.75321,0.154573,1.07989,0.581619,0.7647510000000001,0.351457,0.399621,0.18821300000000002,3.8414599999999997,0.8660549999999999,1.52345
