,gene_short_name,V515-06187-A1,TNT-111,TNT-53,TNT-94,17-00174-6_S15Aligned_cufflinks,TNT-310,TNT-100,TNT-50,17-00122-1_S1_cufflinks,TNT-265,TNT-4
90,TCF7L1,11.751,3.05407,23.572,8.26598,3.74559,5.79892,12.9741,8.4502,29.4036,5.04884,7.72303
91,TFAP2B,1.18026,60.1361,0.612569,19.4703,11.5213,0.420905,0.287497,6.84501,0.117817,0.0699716,7.52846
92,THBS4,8.67223,24.2651,5.73771,6.38352,2.54931,3.69999,8.39324,6.72779,7.53628,1.13356,4.58691
93,TNFAIP8,5.97248,12.6779,18.9355,10.5429,14.5558,21.7827,48.5812,16.5976,13.5491,93.1282,26.519
94,TNFSF10,24.8142,20.7587,29.5446,35.5034,48.0731,30.3236,108.079,21.0228,12.4991,48.2169,23.4715
95,TRIM68,7.67148,7.69963,0.2459,0.0,7.05044,3.65989,0.272175,2.09031,2.71829,1.81994,0.779116
96,TSC22D3,7.24202,47.5759,11.5905,12.0391,19.1824,11.0228,10.1657,16.4595,1.84071,13.4299,19.5717
97,UBD,0.0,1.09897,146.91,80.8682,0.0,94.0798,41.9058,1.46836,0.0,25.0035,6.7378
98,UGT2B28,0.0,259.096,1.3952,0.0529599,0.0391407,0.318409,0.0,0.036528,0.0,0.0886665,70.8305
99,XBP1,26.3139,180.636,37.965,38.7536,57.3706,28.2853,163.35,53.3026,41.883,42.5204,57.555
100,ZCCHC24,0.75321,2.02662,0.0592135,0.0,0.433047,0.14841,0.65349,2.49551,0.204038,0.398274,1.65927
