,gene_short_name,V515-06187-A1,TNT-6,TNT-26,TNT-201,17-00160-1_S2Aligned_cufflinks,17-00166-3_S11Aligned_cufflinks,TNT-49,TNT-3,17-00121-8_S12_cufflinks,TNT-18,TNT-115
70,PI3,0.0,0.0,3.94404,0.0,1.8968599999999998,0.255808,28.9086,0.0,4.09301,0.105544,0.239601
71,PLEKHB1,14.583,0.0,1.0292700000000001,4.582730000000001,5.0627699999999995,6.752510000000001,0.130964,0.0,1.9737900000000002,3.08625,0.0
72,PMAIP1,1.6239299999999999,0.52918,5.10806,5.0563199999999995,2.45811,3.3964199999999996,0.0,2.36542,0.931723,2.0914,1.4331
73,PSMB9,0.0,7.200660000000001,3.9728199999999996,5.581869999999999,0.0,0.0,9.547880000000001,8.96825,0.0,12.9038,33.166
74,PTGDS,1.49063,0.382259,0.7358520000000001,0.552674,1.8430900000000001,1.6732900000000002,8.61149,3.9356,21.2047,1.8083599999999997,1.7184700000000002
75,RARRES3,10.7933,11.9073,3.30263,16.6005,6.713660000000001,26.6514,4.62095,0.382705,41.5227,22.4368,87.5903
76,RTP4,0.772275,0.166381,0.268113,2.4659999999999997,3.2141900000000003,5.59083,0.0,1.10019,0.45024200000000003,0.788525,9.50501
77,S100A1,196.638,0.18227100000000002,4.30791,58.3911,13.8277,129.17700000000002,5.705830000000001,1.16293,7.334110000000001,2.43927,10.6195
78,S100A7,6.579160000000001,7.0736,4.4318800000000005,0.0,16.7462,4.80324,130.787,0.0,0.154637,0.0,519.99
79,S100A8,3.4999599999999997,0.6591670000000001,4.205,0.64226,7.4687399999999995,5.70424,87.3694,0.998749,4.58775,2.46168,96.5914
80,SCRG1,23.221999999999998,0.367952,28.1591,26.926,0.353705,0.663198,0.0,0.417468,0.037281800000000004,3.5533,0.127307
81,SEMA3C,89.189,22.884,41.0773,7.6334,5.61644,13.7459,34.3299,11.8076,122.44,31.6493,9.35257
82,SERHL2,5.02658,894.96,3.6196599999999997,4.88326,2.62127,17.3606,1.0178399999999999,3.5335699999999997,22.6899,0.0,5.03873
83,SFRP1,35.3095,3.34294,4.2071,44.181000000000004,9.885769999999999,9.127289999999999,3.58035,0.159813,22.2943,3.7535,4.03801
84,SIDT1,0.9090090000000001,29.5009,1.23219,2.67896,0.6342270000000001,2.2453,9.38234,0.0,9.90997,4.20869,8.53938
85,SOX10,3.84721,0.120566,2.23205,4.45913,7.16494,7.360760000000001,0.8943270000000001,0.0,5.7557,0.339244,0.812829
86,SPDEF,0.141878,21.656999999999996,0.592224,1.48852,0.302264,0.251675,0.043974099999999995,0.0,3.26226,0.0,0.27778
87,SPRR1B,0.09447810000000001,1.3745,0.0,1.12615,0.52413,0.0,0.0,0.0,0.10971800000000001,0.19237200000000002,0.0
88,SPTLC2,28.7351,95.8327,38.188,55.1168,49.6177,34.4548,8.47609,34.0779,47.5721,16.2373,74.6543
89,SRPX,12.4869,3.8595,10.7936,4.59853,1.60124,1.95249,10.3912,5.38411,14.9014,2.9196299999999997,1.54925
90,TCF7L1,11.751,4.03833,4.2474099999999995,18.7519,12.7575,15.9373,39.6384,3.12443,18.4465,13.6733,3.03016
91,TFAP2B,1.18026,147.877,0.5612689999999999,0.514811,0.0538654,0.330716,3.7353400000000003,0.0,5.71247,0.026442700000000003,0.0
92,THBS4,8.67223,37.4631,10.4444,13.2923,0.485063,2.8859,1.3951200000000001,0.079968,2.38517,24.2912,5.97353
93,TNFAIP8,5.97248,11.5332,5.72812,10.9691,9.44032,7.56284,9.34008,20.1621,9.13379,30.5044,44.1196
94,TNFSF10,24.8142,40.0102,11.9174,31.0437,32.8667,23.8705,49.6164,5.4336400000000005,39.5965,65.3121,75.9663
95,TRIM68,7.67148,13.4917,2.6518200000000003,0.516001,0.76994,2.62711,0.0474908,2.86079,3.06494,3.00034,2.44961
96,TSC22D3,7.24202,41.1453,11.3808,7.32937,9.99221,4.91444,18.7024,3.62291,52.071999999999996,3.9134800000000003,16.9798
97,UBD,0.0,4.799999999999999e-35,1.8393,3.42841,0.0,0.0,60.5991,1.89398,0.0,30.6124,76.5536
98,UGT2B28,0.0,513.99,0.0,1.67524,0.0,0.0,0.0,0.0416066,2.56628,3.1528400000000003,0.0
99,XBP1,26.3139,199.648,30.2075,37.2038,57.7395,47.1995,44.2997,43.9749,159.843,30.2895,97.6865
100,ZCCHC24,0.75321,2.6067,1.37962,0.154573,0.34524299999999997,0.869927,0.0,1.21215,1.6559099999999998,0.12075899999999999,0.691361
