,gene_short_name,V515-06187-A1,TNT-281,17-00165-0_S10Aligned_cufflinks,TNT-122,17-00123-8_S16Aligned_cufflinks,17-00127-8_S3Aligned_cufflinks,TNT-311,17-00258-5_S5Aligned_cufflinks,TNT-183,TNT-76,17-00100-2_S17Aligned_cufflinks
91,TFAP2B,1.18026,0.00802045,1.31903,94.7121,0.268108,1.05255,0.183917,0.438146,12.5701,0.0480311,1.80719
92,THBS4,8.67223,2.93782,9.05913,246.52,6.37277,0.0,47.667,5.44268,8.89122,26.1723,3.8008699999999997
93,TNFAIP8,5.97248,22.9848,19.7065,30.0768,15.8607,30.9,21.8018,14.6041,22.5994,13.5345,11.0254
94,TNFSF10,24.8142,43.6615,15.2118,33.9192,39.6627,12.2587,25.8363,16.7985,69.7579,11.8922,45.96
95,TRIM68,7.67148,13.5519,4.55783,11.3454,3.50305,0.0,1.6463299999999998,3.2025099999999997,3.20096,1.4648700000000001,5.43264
96,TSC22D3,7.24202,6.87321,47.9444,29.7131,23.0082,0.0,4.78071,11.6497,19.8955,27.685,6.84425
97,UBD,0.0,137.485,12.4914,3.1804900000000003,0.0,1.54253,3.54236,0.0,9.87965,15.4731,0.0
98,UGT2B28,0.0,5.3234,0.0330028,0.597445,0.053475,0.0,0.409168,0.0,23.7089,0.0,0.0
99,XBP1,26.3139,35.2366,87.5133,280.469,49.1615,25.4364,28.2336,61.1886,278.695,64.7398,66.946
100,ZCCHC24,0.75321,0.0,1.67888,3.13315,1.25453,0.0,0.539957,1.27759,2.17403,1.41876,1.10658
