,gene_short_name,V515-06187-A1,TNT-100,17-00141-7_S14Aligned_cufflinks,TNT-92,TNT-76,17-00118-2_S5Aligned_cufflinks,TNT-218,17-00132-8_S16Aligned_cufflinks,TNT-82,TNT-267,TNT-1
59,KRT6B,86.6584,77.5874,46.9562,9.26859,530.7869999999999,58.21,47.0151,27.5115,47.1176,1.70068,30.131999999999998
60,KYNU,14.7879,8.12335,4.16904,12.4711,9.09878,4.379630000000001,9.0285,10.0373,5.72783,144.863,371.408
61,LBP,0.573258,0.0556399,0.05971219999999999,0.143624,0.510202,0.6302840000000001,0.642543,0.0,1.98815,0.0,0.31748899999999997
62,LHFP,2.0952,1.13224,3.25874,0.553532,1.54434,6.1212800000000005,0.639737,5.4873400000000006,0.48752700000000004,0.00944402,0.81526
63,MFAP4,1.60954,4.33022,13.5576,4.86294,2.12753,30.8398,2.82112,19.1872,2.20211,0.0,0.5645439999999999
64,MIA,21.0747,1.9664400000000002,9.901530000000001,21.7525,6.86349,10.3012,26.1396,0.0,100.141,0.0,0.406346
65,MID1,36.2366,10.3217,32.269,22.1864,43.0015,13.2023,13.0964,9.59732,29.3436,1.0105,34.466
66,MYBL1,4.603619999999999,28.7094,16.2934,59.4487,16.8039,1.04872,7.97081,1.53662,39.9538,6.360469999999999,1.11174
67,NEK2,17.1321,17.3282,11.1588,6.27886,29.3384,0.0,5.3237,0.682503,17.8017,0.0,8.00005
68,NTN3,0.023557599999999998,0.0,0.294553,0.0,0.0,0.10363599999999999,0.0487584,0.0,0.0,0.0,0.0
69,OGN,1.27872,16.1288,18.2678,38.5116,11.7997,18.294,10.2367,7.98102,16.5448,77.2047,3.9428199999999998
70,PI3,0.0,4.06093,0.24203400000000003,4.07739,74.0994,12.3687,25.1613,0.0,11.2038,0.0,1.17309
71,PLEKHB1,14.583,0.902408,9.12156,1.19539,3.5639,2.82605,2.25284,0.0,4.0029699999999995,0.0,1.82197
72,PMAIP1,1.6239299999999999,2.55461,0.24055700000000002,0.914623,0.9790120000000001,1.26956,1.89773,0.0,8.2696,0.0,1.5458100000000001
73,PSMB9,0.0,17.9413,0.0,15.3154,14.6465,7.70055,22.0108,0.0,8.1736,10.8514,51.6017
74,PTGDS,1.49063,2.2711799999999998,6.30433,1.74508,1.42082,15.6347,3.1605,18.3436,0.36189299999999996,4.4359,0.0
75,RARRES3,10.7933,34.1245,8.45957,21.3796,13.0092,1.02773,48.2855,14.6898,11.6381,0.643687,214.764
76,RTP4,0.772275,4.4314599999999995,0.7670399999999999,3.1673,1.6689,0.0,4.38933,1.0854,0.418178,0.0,1.68055
