,gene_short_name,V515-06187-A1,TNT-141,17-00163-6_S7Aligned_cufflinks,TNT-138,TNT-210,TNT-311,TNT-45,TNT-197,17-00097-1_S9_cufflinks,TNT-275,TNT-81
67,NEK2,17.1321,12.3271,32.5305,25.5223,18.4369,26.2121,13.142000000000001,41.9641,23.2843,35.4596,58.8953
68,NTN3,0.023557599999999998,0.0,0.0,0.0,0.035751,0.0,0.0,0.0,0.175515,0.0,0.0
69,OGN,1.27872,26.7541,1.08168,9.72322,3.78341,19.2765,6.62343,20.8286,0.632217,16.5318,6.716810000000001
70,PI3,0.0,0.0,4.07075,0.0,0.0,0.104431,39.2395,70.1415,2.08188,32.9457,0.210946
71,PLEKHB1,14.583,0.0,2.10874,8.74156,1.56536,0.0,2.29668,1.18679,0.949499,1.08019,1.09671
72,PMAIP1,1.6239299999999999,13.7808,1.47062,0.75427,3.09234,4.56386,1.8095400000000001,17.1524,2.63308,18.0211,4.08651
73,PSMB9,0.0,4.59655,7.113580000000001,16.2295,18.2534,4.98019,12.4823,7.267119999999999,0.0,8.420060000000001,20.2986
74,PTGDS,1.49063,0.0,1.03946,0.0,13.040999999999999,0.644267,0.506409,0.36841999999999997,0.5857060000000001,0.9673149999999999,3.21588
75,RARRES3,10.7933,51.7933,2.74916,32.1944,110.446,11.1266,19.0444,5.24148,7.35418,17.9254,17.2398
76,RTP4,0.772275,1.1391799999999999,2.11816,3.7061800000000003,2.80194,1.10953,3.73465,0.0,0.724984,1.2294100000000001,4.62512
77,S100A1,196.638,0.0,210.674,10.0642,5.722569999999999,2.51417,3.91214,2.86215,5.58359,1.16736,7.54413
78,S100A7,6.579160000000001,19.2989,4.38432,0.0,13.8936,305.178,5.92037,3.16166,0.5287649999999999,90.0918,2.0460599999999998
79,S100A8,3.4999599999999997,3.4862,24.6743,3.7069900000000002,8.24156,25.4144,35.7846,19.1241,3.62696,122.693,3.0133799999999997
80,SCRG1,23.221999999999998,0.0,55.2941,9.104339999999999,0.396997,2.59455,2.241,6.33004,0.143501,5.177980000000001,48.1519
81,SEMA3C,89.189,156.839,13.6893,48.4115,62.8637,13.1071,66.4924,19.5544,46.9475,17.9353,6.0655
82,SERHL2,5.02658,3.32934,2.30145,0.0,3.14037,2.84307,1.33335,0.29822600000000005,9.03314,0.578943,2.5315
83,SFRP1,35.3095,1.24034,1.5730600000000001,29.8529,17.6487,36.9399,21.9643,8.08381,31.8986,3.5965800000000003,12.993
84,SIDT1,0.9090090000000001,72.2701,0.5139630000000001,4.34556,18.0737,1.0950799999999998,3.27007,1.70233,1.4220700000000002,1.18936,4.2779300000000005
85,SOX10,3.84721,2.96958,0.0,2.89194,0.505514,0.974734,1.7930400000000002,0.0,0.0,0.0,3.87501
86,SPDEF,0.141878,1.04922,0.223563,3.11461,0.225649,0.13159,0.33255100000000004,0.0,0.7834220000000001,0.0,0.0297448
87,SPRR1B,0.09447810000000001,0.0,0.308586,0.0,0.5695319999999999,0.0,0.0,0.18815199999999999,0.0,0.0,0.0
88,SPTLC2,28.7351,39.1107,32.8332,28.2666,86.4089,32.6182,47.2347,20.6077,44.3926,34.6502,32.8837
89,SRPX,12.4869,2.33744,1.92123,3.70946,2.24911,3.64121,3.6817900000000003,3.03199,5.55629,3.03912,2.22247
90,TCF7L1,11.751,5.11118,26.805,39.6483,6.50692,9.57248,8.33778,11.6431,21.8613,10.4131,9.41361
91,TFAP2B,1.18026,5.01163,0.956076,1.48915,1.14647,0.183917,0.199188,2.15162,0.418495,0.6146199999999999,0.25997
92,THBS4,8.67223,63.14,1.21156,24.1,2.7887299999999997,47.667,2.1029,10.4635,1.0911799999999998,14.4432,1.31731
93,TNFAIP8,5.97248,12.9335,8.02079,28.0107,128.994,21.8018,27.8568,34.4778,9.78406,33.8904,19.5884
94,TNFSF10,24.8142,72.8703,3.33955,37.2177,70.8588,25.8363,22.0889,12.9188,6.811710000000001,12.908,29.7736
95,TRIM68,7.67148,0.048427,0.8307700000000001,5.03407,2.30429,1.6463299999999998,1.82696,0.0,0.781292,0.257472,0.859196
96,TSC22D3,7.24202,3.74531,18.3645,13.725,4.66311,4.78071,5.146669999999999,12.3722,8.16817,22.2448,13.9806
97,UBD,0.0,3.378,0.0,9.7009,48.9351,3.54236,35.8375,11.2956,0.0,14.192,51.0129
98,UGT2B28,0.0,0.0,0.0,0.0,0.0,0.409168,0.236981,0.0,0.573986,0.261173,0.0
99,XBP1,26.3139,222.104,39.7686,133.375,35.0833,28.2336,94.0816,68.1152,43.428000000000004,54.7944,57.2937
100,ZCCHC24,0.75321,0.0,0.257006,0.0,0.0,0.539957,0.53233,0.0,0.9831700000000001,0.0777878,0.298537
