,gene_short_name,V515-06187-A1,17-00280-7_S4Aligned_cufflinks,TNT-76,TNT-204,TNT-310,TNT-259,17-00141-7_S14Aligned_cufflinks,TNT-16,TNT-33,TNT-139,17-00252-2_S13Aligned_cufflinks
72,PMAIP1,1.6239299999999999,1.77395,0.9790120000000001,5.34089,17.9833,3.9463199999999996,0.24055700000000002,0.652403,0.451036,5.27086,0.21333600000000003
73,PSMB9,0.0,0.0,14.6465,13.0232,17.6594,29.5826,0.0,2.22437,22.3417,8.619110000000001,0.0
74,PTGDS,1.49063,5.35736,1.42082,5.47321,0.832665,4.47236,6.30433,3.8985800000000004,13.792,3.6436800000000003,2.3752400000000002
75,RARRES3,10.7933,45.1096,13.0092,41.4027,19.9078,27.7703,8.45957,35.4638,33.844,18.0742,26.589000000000002
76,RTP4,0.772275,3.0403599999999997,1.6689,2.81104,5.4329,6.60475,0.7670399999999999,0.47304300000000005,1.43055,6.42063,1.25284
77,S100A1,196.638,1.5461799999999999,2.02478,0.0,1.8748,2.36985,76.9885,0.42808199999999996,30.7494,45.0482,19.0594
78,S100A7,6.579160000000001,1.52681,1.7490299999999999,3.4990099999999997,493.525,0.0,1.7232900000000002,2.50147,0.0,7.319660000000001,90.7809
79,S100A8,3.4999599999999997,28.2072,8.5793,8.7204,160.404,14.6467,0.295455,10.1171,0.204478,2.84797,24.2471
80,SCRG1,23.221999999999998,0.11776500000000001,0.15075,0.700362,0.0,12.0923,0.362433,4.35705,1.67508,0.985764,0.0471849
81,SEMA3C,89.189,21.9289,31.7132,55.0883,20.3951,46.0447,75.3746,79.0897,20.5231,22.0941,158.167
82,SERHL2,5.02658,72.8702,2.36334,56.482,2.09642,0.0,5.89006,185.252,7.812710000000001,2.80262,399.14599999999996
83,SFRP1,35.3095,0.32416300000000003,10.8045,1.9391599999999998,1.07838,0.399455,6.9682,1.82529,42.2408,15.2094,0.42449799999999993
84,SIDT1,0.9090090000000001,22.2534,2.9025,17.7867,3.3972300000000004,18.1512,5.71251,17.5978,12.8335,1.9708900000000003,21.9994
