,gene_short_name,V515-06187-A1,17-00123-8_S16Aligned_cufflinks,TNT-281,TNT-152,TNT-14,TNT-122,17-00152-9_S4Aligned_cufflinks,TNT-158,17-00119-5_S5_cufflinks,TNT-139,17-00174-6_S15Aligned_cufflinks
79,S100A8,3.49996,1.82827,14.3193,29.2772,8.07722,479.663,0.0,0.478052,1.28559,2.84797,589.559
80,SCRG1,23.222,0.0491506,0.372302,6.28695,4.0537,7.69588,0.0,10.0471,0.0,0.985764,0.046442
81,SEMA3C,89.189,60.4379,32.1716,68.4341,7.38516,121.884,13.8256,60.6751,4.72481,22.0941,30.0744
82,SERHL2,5.02658,4.08928,0.112596,270.479,11.0643,33.662,0.0,0.80852,7.02274,2.80262,16.4697
83,SFRP1,35.3095,2.2113,4.82991,8.47137,12.4205,11.1975,0.0,22.7723,1.51569,15.2094,6.85617
84,SIDT1,0.909009,5.97505,5.19909,30.1822,4.10468,14.3831,147.595,0.340445,21.6157,1.97089,1.85686
85,SOX10,3.84721,0.258799,0.0,0.0,3.30603,0.074546,2.55568,3.99361,0.786433,3.85785,0.0243124
86,SPDEF,0.141878,0.409478,0.0,4.88874,1.77865,5.45354,4.64858,0.803342,4.46731,0.692795,0.604543
87,SPRR1B,0.0944781,0.0,0.0904638,0.0,0.0,0.0,0.0,12.3582,0.0,0.0,267.837
88,SPTLC2,28.7351,30.4775,43.3611,82.232,50.5338,60.5191,0.0,48.0065,46.6552,99.0664,60.9163
89,SRPX,12.4869,5.96584,0.0,7.04573,1.23219,10.919,0.0,3.10999,4.45723,7.10769,13.6723
90,TCF7L1,11.751,20.1422,4.37187,3.51488,51.7263,3.87754,43.2203,23.0176,8.2904,12.025,3.74559
91,TFAP2B,1.18026,0.268108,0.00802045,41.8386,2.54938,94.7121,0.0,0.650862,2.94134,1.54039,11.5213
92,THBS4,8.67223,6.37277,2.93782,80.985,0.667736,246.52,0.0,4.14394,0.898207,16.9838,2.54931
93,TNFAIP8,5.97248,15.8607,22.9848,33.7402,12.4301,30.0768,0.0,20.5731,45.9788,18.1646,14.5558
94,TNFSF10,24.8142,39.6627,43.6615,54.9682,14.402,33.9192,1.52524,8.43641,74.206,42.7781,48.0731
95,TRIM68,7.67148,3.50305,13.5519,10.6999,4.73203,11.3454,0.0,3.30925,1.85303,0.0549879,7.05044
96,TSC22D3,7.24202,23.0082,6.87321,85.877,3.04296,29.7131,0.0,1.19647,21.5401,0.42588,19.1824
97,UBD,0.0,0.0,137.485,4.33349,6.24666,3.18049,0.0,3.13763,0.0,10.9428,0.0
98,UGT2B28,0.0,0.053475,5.3234,60.8148,0.0,0.597445,0.0,1.31145,0.0,0.0,0.0391407
99,XBP1,26.3139,49.1615,35.2366,158.579,60.9409,280.469,116.27,31.5778,74.226,92.5017,57.3706
100,ZCCHC24,0.75321,1.25453,0.0,4.15671,0.188213,3.13315,0.0,0.0,0.877364,2.05055,0.433047
