,gene_short_name,V515-06187-A1,TNT-271,TNT-30,TNT-304,17-00258-5_S5Aligned_cufflinks,TNT-231,TNT-204,TNT-81,17-00166-3_S11Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks,TNT-245
81,SEMA3C,89.189,5.74939,72.1543,1.96994,11.4289,97.5067,55.0883,6.0655,13.7459,5.61644,53.3267
82,SERHL2,5.02658,7.25241,2.18186,1.30511,14.0748,3.99712,56.482,2.5315,17.3606,2.62127,6.5431
83,SFRP1,35.3095,14.8229,17.7648,23.9901,20.2949,2.70922,1.93916,12.993,9.12729,9.88577,0.0
84,SIDT1,0.909009,10.5153,1.85744,1.73806,6.00681,8.15287,17.7867,4.27793,2.2453,0.634227,15.6307
85,SOX10,3.84721,0.85607,4.68053,0.549191,10.7546,0.0,0.0,3.87501,7.36076,7.16494,0.0
86,SPDEF,0.141878,1.04728,0.263268,0.485162,0.68243,3.13514,5.67909,0.0297448,0.251675,0.302264,0.0
87,SPRR1B,0.0944781,0.0,0.494599,0.0,0.0,0.0,1.11173,0.0,0.0,0.52413,0.0
88,SPTLC2,28.7351,37.9832,40.6402,22.3435,36.547,25.4481,38.3141,32.8837,34.4548,49.6177,36.6645
89,SRPX,12.4869,2.86267,7.81561,1.76454,3.4638,2.24238,1.88131,2.22247,1.95249,1.60124,0.502636
90,TCF7L1,11.751,16.9241,23.802,9.31606,9.43708,5.53084,2.498,9.41361,15.9373,12.7575,4.09108
91,TFAP2B,1.18026,3.51015,0.241457,0.318333,0.438146,1.15365,27.5623,0.25997,0.330716,0.0538654,0.586359
92,THBS4,8.67223,10.0297,7.56554,5.10417,5.44268,10.1966,52.0386,1.31731,2.8859,0.485063,1.95089
93,TNFAIP8,5.97248,31.349,14.5838,31.3755,14.6041,21.7562,55.4688,19.5884,7.56284,9.44032,68.8324
94,TNFSF10,24.8142,24.6704,14.1526,16.7768,16.7985,21.3015,27.04,29.7736,23.8705,32.8667,44.0606
95,TRIM68,7.67148,4.6321,3.72164,1.01046,3.20251,2.10719,2.84899,0.859196,2.62711,0.76994,1.58243
96,TSC22D3,7.24202,10.3469,12.506,3.52469,11.6497,8.55024,16.318,13.9806,4.91444,9.99221,13.0707
97,UBD,0.0,10.8372,2.27631,5.88761,0.0,79.92,35.4542,51.0129,0.0,0.0,35.3229
98,UGT2B28,0.0,9.48852,0.21224,0.0,0.0,0.0,0.492406,0.0,0.0,0.0,0.617993
99,XBP1,26.3139,22.5333,33.6367,47.3865,61.1886,187.4,341.116,57.2937,47.1995,57.7395,112.543
100,ZCCHC24,0.75321,0.361983,0.876461,0.0,1.27759,0.0315651,1.14291,0.298537,0.869927,0.345243,0.0
