,gene_short_name,V515-06187-A1,17-00159-1_S1Aligned_cufflinks,TNT-157,TNT-133,TNT-50,TNT-94,TNT-270,TNT-79,17-00131-5_S8Aligned_cufflinks,TNT-121,TNT-183
65,MID1,36.2366,10.7215,9.65455,23.5989,33.7614,8.96421,3.56896,32.2369,43.2326,37.5389,5.79772
66,MYBL1,4.60362,10.0835,114.391,3.46601,31.0013,26.6594,4.90067,36.9854,1.97273,21.0121,13.9755
67,NEK2,17.1321,16.537,25.8249,10.8658,14.2564,67.4823,4.39891,21.0285,10.8881,23.5503,18.5088
68,NTN3,0.0235576,0.0553104,0.0,0.0,0.0,0.0,0.0,0.0,0.0259023,0.0,0.0278068
69,OGN,1.27872,0.708249,24.9941,87.2186,7.41343,14.1949,3.50643,6.74862,0.273895,347.382,7.74605
70,PI3,0.0,1.86329,17.863,0.0,0.342042,0.0,1.79934,0.596709,18.6768,1.10013,3.05344
71,PLEKHB1,14.583,3.64876,0.0,0.0,0.336417,2.42649,0.0,2.83392,2.03643,2.79989,0.494162
72,PMAIP1,1.62393,2.72951,1.51596,0.0,1.51222,14.323,1.02141,2.22611,2.45003,1.15643,0.22707
73,PSMB9,0.0,0.0,9.36826,8.88371,3.58191,0.784733,5.21137,13.778,0.0,12.0092,37.2284
74,PTGDS,1.49063,1.85197,7.61933,2.50168,1.76951,0.819273,0.19447,0.10526,0.348463,2.60818,3.28185
75,RARRES3,10.7933,16.1216,22.5854,1.15928,6.06596,0.0,54.2952,23.8117,51.4591,3.96567,103.154
76,RTP4,0.772275,4.29513,4.38526,0.834423,2.39764,0.0518934,0.515617,0.735006,3.67307,2.66109,2.3872
77,S100A1,196.638,3.22839,0.0,2.52791,57.1312,0.552142,0.717304,11.3904,4.78204,2.87935,0.564313
78,S100A7,6.57916,21.2915,7.96798,0.0,21.4672,0.0,6.24574,0.0,1.1964,0.0,40.2684
79,S100A8,3.49996,3.98419,1.94246,0.0,4.79337,0.0,65.1642,0.245116,1.6705,0.0,131.956
80,SCRG1,23.222,0.152753,0.697447,0.0877133,0.967221,3.22388,4.2639,14.0368,0.0,11.3018,1.51841
81,SEMA3C,89.189,5.02335,20.029,120.158,140.37,14.8,80.1454,30.6627,24.4515,75.8396,23.6015
82,SERHL2,5.02658,1.77492,2.29392,15.5356,12.6058,0.0,532.459,7.42684,3.3933,4.62032,20.5574
83,SFRP1,35.3095,5.7912,5.69443,8.57477,16.7954,3.6155,1.61611,8.06581,5.26698,22.1675,2.33003
84,SIDT1,0.909009,3.49898,5.13203,19.9844,1.63791,2.89244,23.9854,0.512936,6.67357,5.70291,16.7941
85,SOX10,3.84721,6.33002,0.515416,0.0,0.0526336,0.108668,0.0149695,0.356422,0.0,2.33552,0.464487
86,SPDEF,0.141878,0.23276,0.352868,3.02298,3.06071,0.191206,2.37184,0.0,0.0544585,1.25775,8.69953
87,SPRR1B,0.0944781,2.66537,0.0,0.0,0.104007,0.0,0.0,0.0,0.0,0.0,0.103411
88,SPTLC2,28.7351,39.8789,23.1361,69.4324,168.345,58.4078,55.7678,30.6108,20.6005,46.7418,75.6745
89,SRPX,12.4869,1.90092,3.4083,4.51251,3.51456,0.0,0.486246,2.00317,0.210772,4.75572,1.61665
