,gene_short_name,V515-06187-A1,17-00113-4_S11_cufflinks,TNT-41,TNT-133,TNT-54,TNT-82,17-00125-8_S13Aligned_cufflinks,TNT-202,TNT-283,TNT-310,TNT-115
53,KIAA1324,6.46799,10.0233,15.395,116.535,125.743,43.3188,28.0925,30.8297,38.4246,3.7069300000000003,1.5275
54,KMO,1.44589,13.7969,2.2197299999999998,5.83209,17.2072,2.22004,10.8902,4.14027,6.845339999999999,8.79561,5.41624
55,KRT14,118.37100000000001,161.559,514.252,0.109117,10.1796,4.04266,151.061,5.13657,0.7119479999999999,12.8933,0.551354
56,KRT16,91.0343,25.2559,95.7477,3.40006,0.225316,47.1869,34.7157,16.1524,2.65956,383.517,9.47135
57,KRT17,105.34700000000001,332.38800000000003,410.975,3.03741,15.9813,92.72399999999999,587.053,9.91089,8.14209,521.369,2.63747
58,KRT6A,54.2242,16.0704,262.42,20.4893,3.2096400000000003,80.6555,103.81,86.5851,13.9138,634.612,4.88946
59,KRT6B,86.6584,38.2187,98.6809,0.0,3.3842800000000004,47.1176,47.9742,77.1575,0.5083479999999999,361.065,4.7401599999999995
60,KYNU,14.7879,23.7754,5.3043,6.90752,14.6996,5.72783,3.69438,4.772880000000001,4.35554,19.1746,10.3495
61,LBP,0.573258,0.52182,1.2441,0.0,0.036197599999999996,1.98815,0.0,0.29684099999999997,0.041098,1.3441100000000001,1.5258399999999999
62,LHFP,2.0952,0.965126,1.33469,1.2399200000000001,1.9761799999999998,0.48752700000000004,13.5338,0.392373,1.06431,1.09806,0.43419399999999997
63,MFAP4,1.60954,8.52027,6.62759,20.6094,15.402000000000001,2.20211,19.9395,0.311481,0.188581,1.66199,2.83094
64,MIA,21.0747,5.36339,43.488,0.0,10.6721,100.141,4.536519999999999,2.7299999999999985e-291,1.9076,16.102999999999998,0.0
65,MID1,36.2366,19.5958,22.2624,23.5989,9.3377,29.3436,11.1666,20.6841,134.299,14.1269,4.80063
66,MYBL1,4.603619999999999,34.5411,19.1092,3.46601,17.2978,39.9538,0.8439909999999999,230.329,5.02566,30.6222,40.5034
67,NEK2,17.1321,35.7282,16.5811,10.8658,3.0213,17.8017,0.0,47.6521,32.5632,33.0367,29.8304
68,NTN3,0.023557599999999998,0.0,0.098189,0.0,0.0,0.0,0.72148,0.0,0.0,0.0,0.0
69,OGN,1.27872,9.560789999999999,17.5867,87.2186,47.7903,16.5448,24.712,12.3851,17.6911,9.56982,5.27671
70,PI3,0.0,14.1712,0.405905,0.0,0.144572,11.2038,0.0,17.4779,0.836548,21.9419,0.239601
71,PLEKHB1,14.583,1.27312,3.4508900000000002,0.0,3.18058,4.0029699999999995,0.0,1.01767,1.33354,0.5283220000000001,0.0
72,PMAIP1,1.6239299999999999,13.1758,3.41365,0.0,3.87836,8.2696,15.6384,6.59513,1.46853,17.9833,1.4331
73,PSMB9,0.0,0.0,19.2126,8.88371,21.6541,8.1736,0.0,17.354,33.3966,17.6594,33.166
74,PTGDS,1.49063,4.56134,1.31059,2.50168,13.7563,0.36189299999999996,12.2808,1.9078,0.60063,0.832665,1.7184700000000002
75,RARRES3,10.7933,5.6112,9.089089999999999,1.1592799999999999,34.8722,11.6381,24.4087,7.53713,64.8345,19.9078,87.5903
76,RTP4,0.772275,3.38501,6.97178,0.8344229999999999,0.464337,0.418178,0.9377049999999999,0.217629,2.64071,5.4329,9.50501
77,S100A1,196.638,4.30015,15.2162,2.52791,3.7649800000000004,6.23529,11.2292,16.643,2.17375,1.8748,10.6195
78,S100A7,6.579160000000001,0.277898,0.0,0.0,0.0,11.175999999999998,0.0,10.9899,0.0,493.525,519.99
