,gene_short_name,V515-06187-A1,TNT-113,17-00252-2_S13Aligned_cufflinks,TNT-133,TNT-217,TNT-201,17-00121-8_S12_cufflinks,TNT-283,TNT-311,17-00143-5_S2Aligned_cufflinks,TNT-49
0,ABCA8,1.07397,6.8020000000000005,10.1006,75.7969,13.4229,6.476459999999999,43.7288,5.2258,34.8692,0.809124,46.919
1,ADRA2A,0.196819,1.08531,0.666199,0.598187,1.51081,0.195692,1.4831299999999998,0.0,0.0496502,0.07267710000000001,0.128019
2,AKAP12,3.7524300000000004,12.1145,3.59153,6.895230000000001,11.1246,12.689,26.8543,3.43169,15.4658,0.951425,3.20903
3,ALDH3B2,34.613,4.95691,57.0737,15.4526,0.0,8.55663,14.3473,2.4243200000000003,0.5624600000000001,19.1452,9.3486
4,APOD,101.54799999999999,207.709,2264.75,152.924,29.5742,127.635,574.763,134.119,582.871,10.9531,473.105
5,ART3,19.2103,4.94533,2.61983,16.1857,9.09987,64.8882,0.115521,1.3833,379.806,0.422378,31.5205
6,ASPN,31.1651,14.3444,17.5097,99.3177,13.1715,46.2732,30.3876,148.766,46.0267,3.69349,46.012
7,AZGP1,64.9749,17.8315,375.78,81.6664,0.26194,651.6469999999999,177.34599999999998,6.21353,580.643,85.8713,53.7874
8,BLVRB,6.57613,3.42228,9.26335,3.9630300000000003,0.6578510000000001,2.21732,5.304819999999999,3.29221,0.5977600000000001,3.8142199999999997,0.257732
9,C7,0.29143,1.1787,11.5843,10.3059,94.6797,4.18576,23.1979,1.21194,8.6817,0.026338599999999997,3.14767
10,CCL5,1.03708,31.8243,0.0,11.4843,21.6272,3.4542599999999997,0.0,13.0437,2.70085,1.59721,50.3871
11,CD36,36.5005,31.2782,40.6657,123.501,26.1072,37.1595,104.969,37.5269,25.2541,30.0312,71.9816
12,CD52,5.15236,157.061,19.3989,56.1498,592.516,17.2804,9.90376,9.26877,21.335,2.29825,92.3369
13,CDC20,19.1111,50.0459,2.81438,9.27248,11.5408,15.1737,0.207432,9.884360000000001,8.48748,48.5456,4.09511
14,CHI3L1,52.4824,12.6521,2.7861,0.874603,1.3713799999999998,27.7612,9.01373,1.1316899999999999,0.922415,0.326855,14.0802
15,COL2A1,124.822,0.0,0.157048,0.0,1.01694,0.10346400000000001,1.51601,1.11024,0.0,0.014987299999999999,26.9015
16,COL5A1,145.37,13.4753,57.8154,68.0468,14.6414,60.1661,34.9603,30.5437,45.4507,70.9135,37.8918
17,COL5A2,202.313,46.0854,105.309,83.052,14.9289,118.01899999999999,40.3863,90.4159,72.8625,19.6112,53.004
18,CRAT,3.09639,19.5146,30.4788,2.03308,2.88125,6.1247300000000005,4.42961,1.0920100000000001,0.434016,16.3546,1.2801200000000001
19,CROT,17.2031,14.5467,37.0803,6.0225,7.566439999999999,3.2792,20.8255,7.69125,4.08553,21.1097,0.6217159999999999
