,gene_short_name,V515-06187-A1,TNT-209,TNT-328,TNT-121,TNT-50,17-00105-7_S10_cufflinks,TNT-297,TNT-69,TNT-304,TNT-201,TNT-154
51,JAM2,11.2143,8.83228,0.0612626,8.22005,6.59347,18.7018,8.94908,5.17669,3.37066,5.22017,0.476561
52,KCNK5,7.32046,0.888863,4.45511,0.970977,0.660506,2.18497,0.779464,1.70494,0.620442,1.12651,0.0198674
53,KIAA1324,6.46799,7.93069,14.6388,48.6457,4.37915,1.93052,31.6459,19.3855,17.9592,17.717,3.67492
54,KMO,1.44589,15.3557,1.46333,10.4129,11.1279,0.752159,5.40338,4.38137,5.78913,5.45015,0.0
55,KRT14,118.371,2.35315,230.732,12.2244,1233.01,75.4352,119.134,60.1135,8.99563,150.591,22.4748
56,KRT16,91.0343,18.1525,56.5354,8.0908,553.128,52.2307,22.9168,49.5287,29.6355,70.8838,48.4438
57,KRT17,105.347,14.5962,3.70101,0.144039,379.872,336.693,238.324,14.8796,10.112,169.791,146.226
58,KRT6A,54.2242,23.0089,54.6293,15.0652,1349.87,27.6181,138.198,58.98,1.43897,13.4392,83.6546
59,KRT6B,86.6584,35.6332,3.74309,7.64591,247.092,8.2555,52.0512,7.04081,9.09909,14.2342,216.348
60,KYNU,14.7879,20.5119,2.66025,1.53855,7.27038,3.08382,11.5655,3.73245,4.4863,2.62625,9.76652
61,LBP,0.573258,0.266536,0.20719,0.938862,0.417463,0.0,0.152604,0.491035,0.307366,0.99451,10.0094
62,LHFP,2.0952,0.986658,0.239568,1.08578,2.67659,7.95848,1.35016,0.595998,0.0947361,0.828257,0.145005
63,MFAP4,1.60954,1.31587,2.3709,3.12375,5.69762,23.1121,1.71721,0.351571,0.0,5.27245,5.3912
64,MIA,21.0747,2.02941,32.4655,10.0155,3.17113,1.86336,16.0349,34.2175,13.4175,9.45003,0.0
65,MID1,36.2366,13.1301,3.49747,37.5389,33.7614,11.2098,65.2174,20.8948,11.3562,69.4015,0.0374986
66,MYBL1,4.60362,20.9162,11.888,21.0121,31.0013,2.16644,61.0025,59.0741,64.9785,42.8867,21.4126
67,NEK2,17.1321,8.19896,4.76664,23.5503,14.2564,3.87849,34.9499,36.3432,21.4632,21.1913,33.9301
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0638543,0.0,0.0,0.0,0.0,0.0
69,OGN,1.27872,16.9272,26.9071,347.382,7.41343,25.744,11.4075,15.7295,6.47238,8.84056,27.0642
70,PI3,0.0,36.0043,0.0,1.10013,0.342042,1.07606,0.636018,0.0,0.0,0.0,0.0
71,PLEKHB1,14.583,0.937892,0.613881,2.79989,0.336417,0.847489,8.1823,0.470364,0.441845,4.58273,0.469332
72,PMAIP1,1.62393,3.86427,0.0,1.15643,1.51222,0.531778,2.39667,2.08326,2.78943,5.05632,0.0
73,PSMB9,0.0,39.4181,0.301134,12.0092,3.58191,0.0,13.9884,5.87836,8.81251,5.58187,12.6717
74,PTGDS,1.49063,10.7944,2.12735,2.60818,1.76951,11.2347,11.6725,0.59451,0.406698,0.552674,3.71266
75,RARRES3,10.7933,21.1557,2.52434,3.96567,6.06596,14.9961,19.2644,4.41082,21.8538,16.6005,0.0
76,RTP4,0.772275,4.54023,0.0,2.66109,2.39764,1.25012,1.57226,0.749702,5.27146,2.466,2.48729
77,S100A1,196.638,2.19622,17.5934,2.87935,57.1312,0.517951,14.5831,23.4472,40.8906,58.3911,11.4917
78,S100A7,6.57916,1.53294,0.0,0.0,21.4672,0.777217,0.262958,1.43858,0.0,0.0,0.0
79,S100A8,3.49996,71.2434,3.32571,0.0,4.79337,0.306788,3.72412,0.300674,5.27527,0.64226,2.37332
80,SCRG1,23.222,0.817431,40.7982,11.3018,0.967221,0.0,15.7144,12.8088,76.7889,26.926,8.04444
81,SEMA3C,89.189,13.7044,9.95055,75.8396,140.37,36.7929,11.818,61.7731,1.96994,7.6334,15.6864
82,SERHL2,5.02658,1.66477,0.658811,4.62032,12.6058,2.4453,3.68198,1.48836,1.30511,4.88326,0.266631
83,SFRP1,35.3095,1.9717,24.6403,22.1675,16.7954,3.78211,40.8617,59.0984,23.9901,44.181,0.300806
84,SIDT1,0.909009,28.4101,1.07031,5.70291,1.63791,2.94982,2.16657,1.39344,1.73806,2.67896,0.799825
85,SOX10,3.84721,0.281703,0.88442,2.33552,0.0526336,1.75675,2.94014,1.60505,0.549191,4.45913,1.1984
86,SPDEF,0.141878,0.0449808,0.0612579,1.25775,3.06071,0.0,0.387559,0.25425,0.485162,1.48852,2.73134
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.104007,0.0,0.0,0.0,0.0,1.12615,0.0
88,SPTLC2,28.7351,66.6195,10.6137,46.7418,168.345,15.1177,36.4933,27.3687,22.3435,55.1168,34.4312
89,SRPX,12.4869,1.62465,11.3068,4.75572,3.51456,10.6326,2.91066,3.85464,1.76454,4.59853,5.56226
90,TCF7L1,11.751,5.12794,8.46657,11.4588,8.4502,13.3002,11.6125,21.0061,9.31606,18.7519,28.9403
91,TFAP2B,1.18026,0.315354,0.804536,0.0,6.84501,1.07282,0.54202,1.01875,0.318333,0.514811,0.0
92,THBS4,8.67223,11.9925,6.2626,30.4901,6.72779,4.27227,11.2152,18.6862,5.10417,13.2923,46.2432
93,TNFAIP8,5.97248,134.107,5.01769,7.65783,16.5976,6.5877,20.7664,11.3972,31.3755,10.9691,15.5569
94,TNFSF10,24.8142,74.1737,4.20929,34.2835,21.0228,8.1043,18.3052,9.12321,16.7768,31.0437,40.4481
95,TRIM68,7.67148,0.417851,0.217505,0.305368,2.09031,2.83981,4.2845,1.05924,1.01046,0.516001,0.70638
96,TSC22D3,7.24202,6.98571,6.00391,15.8148,16.4595,25.9435,24.3684,2.52544,3.52469,7.32937,0.0
97,UBD,0.0,70.7467,0.0,0.669742,1.46836,0.0,1.14499,20.0174,5.88761,3.42841,16.3976
98,UGT2B28,0.0,0.0,0.0,13.3265,0.036528,0.0,2.27661,2.47028,0.0,1.67524,0.0
99,XBP1,26.3139,30.3003,16.6502,33.0322,53.3026,24.8762,30.2841,21.5179,47.3865,37.2038,50.7742
100,ZCCHC24,0.75321,0.354545,0.0197941,0.183032,2.49551,3.84146,1.45124,0.144769,0.0,0.154573,0.0
