,gene_short_name,V515-06187-A1,17-00163-6_S7Aligned_cufflinks,TNT-192,TNT-167,TNT-197,TNT-27,TNT-14,TNT-41,TNT-252,TNT-281,17-00212-8_S3Aligned_cufflinks
57,KRT17,105.347,128.648,17.1917,7.34839,99.1239,34.4024,48.217,410.975,1.70607,219.024,25.5607
58,KRT6A,54.2242,7.01012,34.9008,41.3597,21.6429,5.02642,10.656,262.42,0.0,622.647,18.327
59,KRT6B,86.6584,36.4685,3.91155,0.0895952,41.4921,2.00673,4.38034,98.6809,0.0526903,180.32,7.05858
60,KYNU,14.7879,17.2676,80.8272,68.2565,13.5188,7.00892,2.87511,5.3043,29.8573,2.55798,97.4717
61,LBP,0.573258,0.215567,93.4457,9.54014,0.195841,0.265699,9.36242,1.2441,1.23834,0.296391,18.7281
62,LHFP,2.0952,0.448266,2.074,2.91939,0.523456,0.460742,0.444006,1.33469,0.400838,0.0228533,2.08498
63,MFAP4,1.60954,0.849838,3.82549,0.285096,0.0912683,1.22026,0.611251,6.62759,1.56435,0.112547,6.34898
64,MIA,21.0747,47.2477,0.0,0.0,9.51566,8.04966,13.5693,43.488,0.0,10.8148,2.07213
65,MID1,36.2366,28.5098,8.78539,0.998935,18.348,25.3831,27.3804,22.2624,6.97419,14.8445,11.1729
66,MYBL1,4.60362,82.4844,12.0674,18.9003,35.5855,40.9555,161.042,19.1092,22.9374,4.13731,4.7565
67,NEK2,17.1321,32.5305,1.18318,34.502,41.9641,16.6529,22.8411,16.5811,7.60347,30.6035,4.37693
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0,0.184201,0.098189,0.0,0.0,0.0164927
69,OGN,1.27872,1.08168,69.8515,10.6749,20.8286,15.0067,6.07508,17.5867,14.1862,36.5507,17.1544
70,PI3,0.0,4.07075,0.0,0.0,70.1415,0.0,0.327406,0.405905,0.0,15.133,2.95712
71,PLEKHB1,14.583,2.10874,0.0,2.0671,1.18679,2.16863,5.895,3.45089,0.264925,0.380533,0.291418
72,PMAIP1,1.62393,1.47062,0.0,0.0,17.1524,0.0,3.0045,3.41365,3.18964,10.6012,0.701642
73,PSMB9,0.0,7.11358,9.18446,4.53273,7.26712,2.14005,20.2724,19.2126,25.7982,40.9199,0.0
74,PTGDS,1.49063,1.03946,5.05302,0.0,0.36842,0.395128,2.6254,1.31059,13.8446,1.77386,14.6355
75,RARRES3,10.7933,2.74916,28.6045,13.385,5.24148,11.9753,10.9955,9.08909,33.9218,40.4701,22.884
76,RTP4,0.772275,2.11816,2.39055,0.0,0.0,3.24436,9.08781,6.97178,3.18352,4.15161,1.14486
77,S100A1,196.638,210.674,0.0,10.9158,2.86215,8.61718,69.4896,15.2162,0.289516,0.109232,0.346523
78,S100A7,6.57916,4.38432,48.572,0.0,3.16166,5.42274,2.50007,0.0,0.0,58.7633,115.285
79,S100A8,3.49996,24.6743,11.6298,40.9234,19.1241,2.32023,8.07722,2.234,0.927515,14.3193,11.5963
80,SCRG1,23.222,55.2941,0.0,0.0,6.33004,26.373,4.0537,5.2875,0.2654,0.372302,0.0353548
81,SEMA3C,89.189,13.6893,76.662,29.3804,19.5544,8.38648,7.38516,23.3876,3.39758,32.1716,53.0699
82,SERHL2,5.02658,2.30145,195.241,475.086,0.298226,15.212,11.0643,3.43356,2.05094,0.112596,256.397
83,SFRP1,35.3095,1.57306,23.7525,4.29796,8.08381,33.8663,12.4205,38.3568,0.86701,4.82991,0.426925
84,SIDT1,0.909009,0.513963,5.42047,43.6153,1.70233,0.953296,4.10468,1.50153,29.98,5.19909,14.2961
85,SOX10,3.84721,0.0,0.141943,2.04258,0.0,0.935596,3.30603,1.10783,0.0,0.0,0.0450493
86,SPDEF,0.141878,0.223563,2.99063,18.284,0.0,0.413431,1.77865,0.0,0.293069,0.0,9.11262
87,SPRR1B,0.0944781,0.308586,0.0,0.0,0.188152,0.0,0.0,0.0,0.0,0.0904638,0.0653934
