,gene_short_name,V515-06187-A1,TNT-313,TNT-2,17-00119-5_S5_cufflinks,TNT-289,TNT-240,TNT-271,17-00107-9_S10Aligned_cufflinks,TNT-104,TNT-225,17-00132-8_S16Aligned_cufflinks
73,PSMB9,0.0,16.606,30.6622,0.0,15.8159,13.8639,11.5524,0.0,1.03818,6.16222,0.0
74,PTGDS,1.49063,1.52534,33.7755,46.0158,1.28009,0.945333,4.04427,6.37324,3.24923,1.73676,18.3436
75,RARRES3,10.7933,18.193,58.6398,40.8124,14.9686,0.650348,18.4448,12.6041,0.484158,10.7116,14.6898
76,RTP4,0.772275,0.515246,2.85869,2.40448,4.98935,1.98636,4.43542,0.803098,0.141051,1.93616,1.0854
77,S100A1,196.638,38.1213,0.0,3.46,17.868,4.30047,3.97199,0.0,0.42918,16.3815,0.0
78,S100A7,6.57916,22.1324,0.0,0.0,0.475356,0.0,0.183064,6.51391,1.58306,0.36267,8.46634
79,S100A8,3.49996,77.2175,8.04674,1.28559,2.62304,9.6087,1.17487,27.7981,0.543271,1.96069,2.52279
80,SCRG1,23.222,1.39991,1.34104,0.0,4.28357,0.2811,12.0128,0.0,0.0664366,19.2951,0.0
81,SEMA3C,89.189,19.0473,20.5534,4.72481,22.1075,0.515182,5.74939,63.9728,302.366,29.3055,23.1293
82,SERHL2,5.02658,0.238502,0.260188,7.02274,5.33505,0.0,7.25241,1.83139,185.863,1.07147,10.0127
83,SFRP1,35.3095,14.1765,0.346055,1.51569,29.3637,4.98817,14.8229,1.20859,1.4594,11.2392,0.651243
84,SIDT1,0.909009,3.70818,29.3222,21.6157,0.705832,2.4719,10.5153,24.0965,37.3052,2.56792,8.83893
85,SOX10,3.84721,0.290165,0.0,0.786433,1.40946,0.229275,0.85607,0.0,0.0,1.36651,0.189706
86,SPDEF,0.141878,0.328509,4.22867,4.46731,0.139067,0.0,1.04728,0.0,4.93238,0.0600407,0.0
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.0,0.0,7.9079,0.0,0.0,7.15657
88,SPTLC2,28.7351,27.6522,51.4217,46.6552,40.9009,15.8622,37.9832,20.6055,128.374,50.3319,23.3392
89,SRPX,12.4869,3.32821,2.93003,4.45723,14.1535,0.236994,2.86267,9.57411,8.902,5.677,11.9724
90,TCF7L1,11.751,11.0725,2.31134,8.2904,13.4957,33.1589,16.9241,5.48526,4.85791,4.43431,7.31608
91,TFAP2B,1.18026,0.0319616,1.66301,2.94134,0.445715,0.0,3.51015,0.202828,92.3299,0.551706,0.0
92,THBS4,8.67223,7.02478,9.77135,0.898207,25.1457,0.373618,10.0297,33.2562,219.377,57.9839,9.82158
93,TNFAIP8,5.97248,23.985,42.9762,45.9788,15.142,15.1801,31.349,5.88908,15.4619,17.7713,25.2074
94,TNFSF10,24.8142,8.09372,17.5029,74.206,14.0271,34.5012,24.6704,27.9843,138.212,15.0652,8.99834
95,TRIM68,7.67148,0.829583,5.19011,1.85303,7.17307,0.0,4.6321,7.91414,0.804498,2.18322,1.59547
96,TSC22D3,7.24202,8.6376,39.5943,21.5401,22.6667,0.0,10.3469,13.8724,20.2465,21.8741,18.3978
97,UBD,0.0,40.1572,68.3213,0.0,0.301306,29.6678,10.8372,0.0,5.86496,3.05274,13.8943
98,UGT2B28,0.0,0.0,1.13481,0.0,1.26947,0.0187753,9.48852,0.0,2.69945,1.0251,0.0
99,XBP1,26.3139,116.723,142.807,74.226,37.5827,89.0039,22.5333,20.5809,740.561,46.1754,45.1453
100,ZCCHC24,0.75321,0.578819,1.45581,0.877364,1.77067,0.0,0.361983,1.1772,0.0629094,0.562095,3.27612
