,gene_short_name,V515-06187-A1,TNT-27,17-00104-2_S7Aligned_cufflinks,TNT-24,17-00159-1_S1Aligned_cufflinks,TNT-44,17-00114-7_S13_cufflinks,TNT-100,TNT-240,17-00152-9_S4Aligned_cufflinks,TNT-192
91,TFAP2B,1.18026,0.171971,0.615416,0.236124,0.0,2.00691,0.327111,0.287497,0.0,0.0,30.4718
92,THBS4,8.67223,4.17952,3.75493,4.62645,1.58316,63.4373,4.39824,8.39324,0.373618,0.0,94.5627
93,TNFAIP8,5.97248,3.46861,8.91414,29.7009,14.9388,29.6814,19.3631,48.5812,15.1801,0.0,26.2559
94,TNFSF10,24.8142,9.22564,7.52508,125.454,22.6113,31.8392,13.6293,108.079,34.5012,1.52524,58.4692
95,TRIM68,7.67148,5.14035,0.670595,3.02313,2.67506,10.9883,2.53739,0.272175,0.0,0.0,6.42502
96,TSC22D3,7.24202,2.81851,2.00415,28.3699,6.06061,16.5943,16.6763,10.1657,0.0,0.0,3.23766
97,UBD,0.0,8.23e-15,0.0,82.3521,0.0,7.67732,0.0,41.9058,29.6678,0.0,6.69419
98,UGT2B28,0.0,0.0,0.0,0.0,0.0552717,12.458,0.0,0.0,0.0187753,0.0,118.359
99,XBP1,26.3139,17.6839,18.1345,91.0118,111.005,57.6598,73.4973,163.35,89.0039,116.27,91.6678
100,ZCCHC24,0.75321,0.0,0.13893,1.52345,0.399621,3.90767,0.843194,0.65349,0.0,0.0,0.0678474
