,gene_short_name,V515-06187-A1,17-00125-8_S13Aligned_cufflinks,TNT-167,TNT-111,TNT-18,TNT-152,TNT-202,TNT-204,17-00163-6_S7Aligned_cufflinks,TNT-195,17-00123-8_S16Aligned_cufflinks
63,MFAP4,1.60954,19.9395,0.285096,10.3604,1.8374,15.2427,0.311481,1.26006,0.849838,10.6199,17.9225
64,MIA,21.0747,4.53652,0.0,0.0,14.3171,0.0,2.73e-291,0.902935,47.2477,0.558431,11.4061
65,MID1,36.2366,11.1666,0.998935,15.5697,8.87254,19.3272,20.6841,7.77771,28.5098,16.7236,30.2846
66,MYBL1,4.60362,0.843991,18.9003,3.49325,13.5046,2.0165,230.329,5.3623,82.4844,57.5484,4.08454
67,NEK2,17.1321,0.0,34.502,4.20757,7.85741,2.07293,47.6521,3.68013,32.5305,22.1877,16.9986
68,NTN3,0.0235576,0.72148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0802801
69,OGN,1.27872,24.712,10.6749,13.2351,42.3317,23.045,12.3851,18.2162,1.08168,40.6724,11.4043
70,PI3,0.0,0.0,0.0,0.0,0.105544,0.0,17.4779,0.0,4.07075,0.198315,4.22017
71,PLEKHB1,14.583,0.0,2.0671,0.639033,3.08625,0.0,1.01767,0.0,2.10874,0.389207,2.32813
72,PMAIP1,1.62393,15.6384,0.0,0.334089,2.0914,0.0,6.59513,5.34089,1.47062,2.54785,5.81066
73,PSMB9,0.0,0.0,4.53273,4.54106,12.9038,13.2313,17.354,13.0232,7.11358,22.4078,0.0
74,PTGDS,1.49063,12.2808,0.0,0.542022,1.80836,4.11461,1.9078,5.47321,1.03946,17.0388,13.9522
75,RARRES3,10.7933,24.4087,13.385,30.5666,22.4368,83.1112,7.53713,41.4027,2.74916,39.2069,34.8346
76,RTP4,0.772275,0.937705,0.0,0.783504,0.788525,0.0,0.217629,2.81104,2.11816,2.39704,0.785719
77,S100A1,196.638,11.2292,10.9158,0.248466,2.43927,0.0,16.643,0.0,210.674,8.99812,2.6816
78,S100A7,6.57916,0.0,0.0,1.10461,0.0,6.79278,10.9899,3.49901,4.38432,10.7501,0.0
79,S100A8,3.49996,17.6617,40.9234,5.80152,2.46168,29.2772,2.47669,8.7204,24.6743,16.3063,1.82827
80,SCRG1,23.222,0.0,0.0,1.19671,3.5533,6.28695,15.2656,0.700362,55.2941,5.83464,0.0491506
81,SEMA3C,89.189,33.3766,29.3804,36.4009,31.6493,68.4341,32.5006,55.0883,13.6893,37.1668,60.4379
82,SERHL2,5.02658,44.4878,475.086,546.021,0.0,270.479,0.991125,56.482,2.30145,1.57418,4.08928
83,SFRP1,35.3095,9.57648,4.29796,2.22108,3.7535,8.47137,4.3348,1.93916,1.57306,5.84876,2.2113
84,SIDT1,0.909009,10.0237,43.6153,22.7282,4.20869,30.1822,2.41152,17.7867,0.513963,4.88103,5.97505
85,SOX10,3.84721,3.93353,2.04258,0.122019,0.339244,0.0,0.713127,0.0,0.0,1.49964,0.258799
86,SPDEF,0.141878,3.79168,18.284,8.59881,0.0,4.88874,0.0501171,5.67909,0.223563,1.43333,0.409478
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.192372,0.0,0.731959,1.11173,0.308586,0.0,0.0
88,SPTLC2,28.7351,31.9106,100.115,153.029,16.2373,82.232,23.592,38.3141,32.8332,44.4492,30.4775
89,SRPX,12.4869,11.316,3.04974,9.55792,2.91963,7.04573,2.13951,1.88131,1.92123,13.5443,5.96584
