,gene_short_name,V515-06187-A1,17-00104-2_S7Aligned_cufflinks,TNT-35,TNT-274,TNT-56,TNT-311,17-00152-9_S4Aligned_cufflinks,TNT-278,17-00163-6_S7Aligned_cufflinks,TNT-252,17-00139-2_S9Aligned_cufflinks
61,LBP,0.573258,0.11828699999999999,83.8717,0.0905424,3.02324,0.15220699999999998,0.0,0.812294,0.215567,1.23834,1.8779
62,LHFP,2.0952,0.875301,2.93139,0.0521159,1.4274799999999999,0.938242,0.0,0.438417,0.448266,0.400838,0.5028779999999999
63,MFAP4,1.60954,1.09546,12.7635,0.786759,8.58787,2.46772,0.0,1.54269,0.8498379999999999,1.56435,0.451396
64,MIA,21.0747,1.31154,0.979784,34.0697,0.0,0.679179,0.0,0.0,47.2477,0.0,0.9413440000000001
65,MID1,36.2366,7.2523100000000005,15.4661,2.04568,17.1153,20.1731,0.0,7.24832,28.5098,6.974189999999999,7.90995
66,MYBL1,4.603619999999999,4.57247,5.6302900000000005,3.60008,15.0244,35.6761,0.0,5.53364,82.4844,22.9374,74.6586
67,NEK2,17.1321,16.4332,8.08047,63.7908,25.9521,26.2121,0.0,6.9343,32.5305,7.60347,41.9777
68,NTN3,0.023557599999999998,0.175048,0.0,0.0,0.0,0.0,1.92163,0.0,0.0,0.0,0.0
69,OGN,1.27872,0.290385,18.1458,18.3085,48.4188,19.2765,0.0,21.2801,1.08168,14.1862,2.70269
70,PI3,0.0,0.23979899999999998,5.2829999999999995,0.0,0.792696,0.104431,86.9353,0.0,4.07075,0.0,1.9945599999999999
71,PLEKHB1,14.583,0.9807030000000001,0.63253,1.83653,0.0,0.0,0.0,0.284093,2.10874,0.264925,0.203369
72,PMAIP1,1.6239299999999999,2.90099,0.874236,0.67479,0.0,4.56386,0.0,0.808025,1.47062,3.1896400000000003,12.390999999999998
73,PSMB9,0.0,0.0,26.5213,14.263,5.67696,4.98019,0.0,4.4101,7.113580000000001,25.7982,0.0
74,PTGDS,1.49063,2.26397,12.152999999999999,1.1581700000000001,3.40536,0.644267,0.0,1.8187200000000001,1.03946,13.8446,1.11693
75,RARRES3,10.7933,1.89975,98.7372,23.9283,35.2318,11.1266,0.0,13.9324,2.74916,33.9218,6.2457
76,RTP4,0.772275,0.151952,1.96157,6.0925,0.165472,1.10953,0.0,0.08686039999999999,2.11816,3.18352,1.01529
77,S100A1,196.638,0.0,1.32554,1.48327,0.0,2.51417,0.0,0.915583,210.674,0.289516,2.49971
78,S100A7,6.579160000000001,45.4113,248.222,0.0,11.3459,305.178,186.014,2.87785,4.38432,0.0,0.849959
79,S100A8,3.4999599999999997,19.8689,63.2431,1.33806,30.4107,25.4144,0.0,3.13544,24.6743,0.927515,2.9412599999999998
80,SCRG1,23.221999999999998,0.0,0.523831,2.34735,0.0,2.59455,0.0,4.0824300000000004,55.2941,0.2654,0.0
81,SEMA3C,89.189,42.2899,67.2934,5.41211,104.979,13.1071,13.8256,21.9546,13.6893,3.3975800000000005,38.9655
82,SERHL2,5.02658,3.2118599999999997,293.1,0.250193,12.1442,2.84307,0.0,23.6951,2.30145,2.05094,4.63755
83,SFRP1,35.3095,1.0608899999999999,5.3329699999999995,9.59906,4.7891900000000005,36.9399,0.0,0.24418499999999999,1.5730600000000001,0.8670100000000001,1.51994
84,SIDT1,0.9090090000000001,8.90804,22.7414,5.93605,24.3258,1.0950799999999998,147.595,19.3007,0.5139630000000001,29.98,0.872016
85,SOX10,3.84721,0.270609,0.107528,2.3584099999999997,0.0,0.974734,2.5556799999999997,0.0,0.0,0.0,0.24186300000000002
86,SPDEF,0.141878,0.0699543,5.95793,1.3269600000000001,1.59912,0.13159,4.64858,1.6802599999999999,0.223563,0.293069,0.058434900000000005
87,SPRR1B,0.09447810000000001,7.66609,0.15053,0.0,0.0,0.0,0.0,0.0,0.308586,0.0,0.0
88,SPTLC2,28.7351,27.6182,103.125,28.8158,52.2154,32.6182,0.0,47.7442,32.8332,69.7546,24.144000000000002
89,SRPX,12.4869,1.56102,4.10102,3.21448,5.61139,3.64121,0.0,1.06881,1.92123,1.39382,1.27999
90,TCF7L1,11.751,4.27422,4.14047,5.90954,5.5587599999999995,9.57248,43.2203,0.853785,26.805,1.03906,11.0243
91,TFAP2B,1.18026,0.615416,54.4317,6.5627,34.3267,0.183917,0.0,82.1722,0.956076,0.705329,0.257357
92,THBS4,8.67223,3.7549300000000003,12.3296,1.26906,23.8532,47.667,0.0,6.88127,1.21156,19.072,6.218719999999999
93,TNFAIP8,5.97248,8.91414,48.9079,21.9263,38.1764,21.8018,0.0,31.3622,8.02079,152.685,5.70276
94,TNFSF10,24.8142,7.52508,58.3945,43.8558,102.78,25.8363,1.52524,57.7496,3.33955,20.8352,48.6482
95,TRIM68,7.67148,0.6705949999999999,5.67323,0.9380930000000001,0.825205,1.6463299999999998,0.0,0.47893100000000005,0.8307700000000001,0.917264,0.120771
96,TSC22D3,7.24202,2.00415,97.5977,2.93125,28.3239,4.78071,0.0,20.531999999999996,18.3645,5.53498,3.85501
97,UBD,0.0,0.0,68.3502,0.0,13.7983,3.54236,0.0,6.17614,0.0,27.5734,0.0
98,UGT2B28,0.0,0.0,29.6108,1.94622,4.225169999999999,0.409168,0.0,23.4067,0.0,0.0,0.0
99,XBP1,26.3139,18.1345,194.516,67.6655,65.331,28.2336,116.27,130.299,39.7686,27.9228,18.3573
100,ZCCHC24,0.75321,0.13893,1.9920400000000003,0.0424641,0.152013,0.539957,0.0,0.07908939999999999,0.257006,0.291738,0.116612
